,SEPP1 (6414)
ACH-000004,0.00727938132736
ACH-000007,-0.17700804861699998
ACH-000009,-0.199317526268
ACH-000011,-0.017191286991
ACH-000012,-0.14424218069599998
ACH-000013,-0.102933018676
ACH-000014,-0.252369203906
ACH-000015,-0.302750894216
ACH-000017,-0.0876706292282
ACH-000018,-0.291760921285
ACH-000019,0.0426427828588
ACH-000021,0.0879126649763
ACH-000022,-0.214171431073
ACH-000025,-0.08570366960169999
ACH-000028,-0.129210881602
ACH-000030,-0.022149479521400003
ACH-000035,-0.09502662228910001
ACH-000036,-0.131259343207
ACH-000037,-0.16982435753699998
ACH-000039,-0.248857180936
ACH-000040,-0.238012469912
ACH-000041,-0.025443108538900003
ACH-000042,-0.300532862609
ACH-000045,0.0135982770099
ACH-000047,-0.261933957434
ACH-000052,-0.0248177510981
ACH-000053,-0.104173799665
ACH-000054,-0.162544973111
ACH-000055,-0.504456104038
ACH-000060,-0.221376871719
ACH-000067,-0.144833718231
ACH-000070,-0.249789129669
ACH-000075,-0.23438235231899998
ACH-000078,-0.319908696479
ACH-000082,-0.0380123402844
ACH-000085,0.0111243978415
ACH-000086,-0.17769376794199998
ACH-000087,0.11737785722300001
ACH-000092,-0.202006448353
ACH-000095,-0.0981841590706
ACH-000097,-0.173285025313
ACH-000098,-0.10093024505100001
ACH-000099,-0.214939304888
ACH-000108,-0.137030784132
ACH-000113,-0.08805055683910001
ACH-000115,-0.114845987241
ACH-000116,-0.130778252534
ACH-000118,-0.0390697321301
ACH-000120,0.0007401415849389998
ACH-000123,-0.057085188912899994
ACH-000127,-0.026037561095599997
ACH-000128,-0.09132712842049999
ACH-000132,-0.321186367723
ACH-000133,-0.125945880802
ACH-000137,-0.225173643394
ACH-000138,0.0316196626793
ACH-000142,-0.039117136828
ACH-000143,-0.29669472075500003
ACH-000146,-0.0725646749616
ACH-000148,-0.0983984165303
ACH-000150,-0.0461749134301
ACH-000152,-0.38079619408200005
ACH-000153,-0.0465204803641
ACH-000159,-0.130428442804
ACH-000160,0.04624594879840001
ACH-000163,-0.00726837119664
ACH-000167,-0.0649619510718
ACH-000168,0.07780534010960001
ACH-000169,-0.22164861187399998
ACH-000178,-0.210038261922
ACH-000182,-0.144017532719
ACH-000183,-0.20206907965100002
ACH-000188,0.118953709581
ACH-000189,-0.1835842233
ACH-000190,0.110962314669
ACH-000198,0.0732246071704
