,EHMT1 (79813)
ACH-000004,-0.37571740703
ACH-000007,-0.250902865861
ACH-000009,-0.24726943340100002
ACH-000011,-0.26598297278
ACH-000012,-0.19619687957100002
ACH-000013,-0.243381821576
ACH-000014,-0.40250862671800003
ACH-000015,-0.410383681267
ACH-000017,-0.06347601528590001
ACH-000018,-0.473913993381
ACH-000019,-0.25578991271699997
ACH-000021,-0.08044951224960001
ACH-000022,-0.341904064555
ACH-000025,-0.0628604643457
ACH-000028,-0.183119435601
ACH-000030,-0.212394047678
ACH-000035,0.103659295909
ACH-000036,-0.37793910189
ACH-000037,0.00659035856083
ACH-000039,0.0981167013586
ACH-000040,-0.08372792374060001
ACH-000041,-0.57198267709
ACH-000042,-0.573670595154
ACH-000045,-0.35728069446500005
ACH-000047,-0.212839252518
ACH-000052,-0.241954960754
ACH-000053,-0.410249654141
ACH-000054,-0.26369219467
ACH-000055,-0.118066576382
ACH-000060,-0.5197020922519999
ACH-000067,-0.366604733015
ACH-000070,-0.497125199536
ACH-000075,-0.200146423391
ACH-000078,-0.34768541081200005
ACH-000082,-0.0711766217357
ACH-000085,-0.20276867541700003
ACH-000086,-0.149759355569
ACH-000087,-0.580960204442
ACH-000092,-0.0601950956646
ACH-000095,-0.18664652341200003
ACH-000097,-0.0504021983947
ACH-000098,-0.030046928870599995
ACH-000099,-0.010809453367299998
ACH-000108,-0.109242336164
ACH-000113,-0.328562755177
ACH-000115,-0.49228863971500003
ACH-000116,-0.181871171372
ACH-000118,-0.305240999397
ACH-000120,-0.427648677659
ACH-000123,-0.32340257828499996
ACH-000127,-0.308670562604
ACH-000128,-0.5733439385019999
ACH-000132,-0.0985453740814
ACH-000133,-0.040492340512099996
ACH-000137,-0.276004757598
ACH-000138,-0.277734989644
ACH-000142,-0.242942089101
ACH-000143,-0.321564183331
ACH-000146,-0.225737950152
ACH-000148,-0.164072837233
ACH-000150,-0.14043590371200002
ACH-000152,-0.155039446943
ACH-000153,-0.229485617
ACH-000159,-0.181330602364
ACH-000160,0.07461042224489998
ACH-000163,-0.32917775539599997
ACH-000167,0.263438136034
