,PPP1R3E (90673)
ACH-000004,-0.163177875023
ACH-000007,-0.330509084472
ACH-000009,-0.29838924355700003
ACH-000011,-0.455988815943
ACH-000012,-0.254694729083
ACH-000013,-0.14225867526900002
ACH-000014,-0.35047473099200005
ACH-000015,-0.07968548390760001
ACH-000017,-0.28151054501600004
ACH-000018,-0.27306345691399997
ACH-000019,-0.686669655791
ACH-000021,-0.319471393233
ACH-000022,-0.153843090526
ACH-000025,-0.295343638935
ACH-000028,-0.281880366164
ACH-000030,-0.411118707422
ACH-000035,-0.211998433689
ACH-000036,-0.29522231384
ACH-000037,-0.277741662107
ACH-000039,-0.561450052346
ACH-000040,-0.37629763641
ACH-000041,-0.398438923032
ACH-000042,-0.130827088291
ACH-000045,-0.306357753362
ACH-000047,-0.25231497141
ACH-000052,-0.11821248302300001
ACH-000053,-0.347235896287
ACH-000054,-0.446499525069
ACH-000055,-0.36935190311899996
ACH-000060,-0.472311475571
ACH-000067,-0.269086171005
ACH-000070,-0.31090076452
ACH-000075,-0.306742315493
ACH-000078,-0.33845085284500004
ACH-000082,-0.445396428085
ACH-000085,0.0482631183524
ACH-000086,-0.380019823728
ACH-000087,-0.538186005789
ACH-000092,-0.476024686082
ACH-000095,-0.386055215492
ACH-000097,-0.33405121692899997
ACH-000098,-0.223230365745
ACH-000099,-0.333380514782
ACH-000108,-0.103404243762
ACH-000113,-0.206836920626
ACH-000115,-0.359637563002
ACH-000116,-0.428803993952
ACH-000118,-0.384515797641
ACH-000120,-0.35745387254
ACH-000123,-0.327554919053
ACH-000127,-0.328372213996
ACH-000128,-0.284266259061
ACH-000132,-0.132569137077
ACH-000133,-0.36719553247000003
ACH-000137,-0.25876377262
ACH-000138,-0.133247097008
ACH-000142,-0.26603192748300003
ACH-000143,-0.36704293237400004
ACH-000146,-0.317755264176
ACH-000148,-0.340190033284
ACH-000150,-0.13619516403100002
ACH-000152,-0.366848883887
ACH-000153,-0.923891131144
ACH-000159,-0.345003152133
ACH-000160,-0.775012086857
ACH-000163,-0.403010987737
ACH-000167,-0.476417802969
ACH-000168,-0.40884151169699995
ACH-000169,-0.290277573633
ACH-000178,-0.185030231983
ACH-000182,-0.192846202687
ACH-000183,-0.242523554114
ACH-000188,-0.193816791383
ACH-000189,-0.43082323219999996
ACH-000190,-0.25082343253199996
ACH-000198,-0.274749480555
ACH-000204,-0.15041392646500001
ACH-000206,-0.426834839484
ACH-000207,-0.305838641503
ACH-000211,-0.266860138719
ACH-000215,-0.271094072043
ACH-000221,-0.26818397059099996
ACH-000222,-0.285768682284
