,THTPA (79178)
ACH-000004,0.0572237644229
ACH-000007,-0.239995239062
ACH-000009,-0.247163040719
ACH-000011,-0.117742179368
ACH-000012,-0.233533432539
ACH-000013,-0.00601028558325
ACH-000014,-0.254916739127
ACH-000015,-0.0234144169715
ACH-000017,-0.296383303163
ACH-000018,-0.054493577427099996
ACH-000019,-0.231788252137
ACH-000021,-0.192250824708
ACH-000022,0.0309093878419
ACH-000025,-0.08783100779269999
ACH-000028,-0.238081961195
ACH-000030,-0.15666506352499998
ACH-000035,-0.109357945875
ACH-000036,-0.14071969605100001
ACH-000037,-0.08622549798410001
ACH-000039,-0.338497301418
ACH-000040,-0.0311872088857
ACH-000041,-0.0536749366065
ACH-000042,-0.00241494240433
ACH-000045,-0.0705399941333
ACH-000047,-0.085344098256
ACH-000052,-0.00197386959111
ACH-000053,-0.26278358649300004
ACH-000054,-0.10000014924100001
ACH-000055,-0.040652902686999996
ACH-000060,-0.397613723861
ACH-000067,-0.330974870101
ACH-000070,-0.0249176907183
ACH-000075,-0.273440132672
ACH-000078,-0.0729667920801
ACH-000082,-0.045078580127
ACH-000085,-0.103824321922
ACH-000086,-0.08025584395660001
ACH-000087,-0.12367266217499999
ACH-000092,-0.30892039409
ACH-000095,-0.205972408371
ACH-000097,-0.19917644455400002
ACH-000098,-0.22302766084399997
ACH-000099,-0.0861486719642
ACH-000108,-0.06549151429069999
ACH-000113,-0.042736316035699995
ACH-000115,-0.13702725663100002
ACH-000116,-0.162413449218
ACH-000118,-0.223170244789
ACH-000120,-0.0514169236959
ACH-000123,-0.144074592531
ACH-000127,-0.058666644239099994
ACH-000128,-0.0253902253736
ACH-000132,0.033899054158099996
ACH-000133,-0.248158260345
ACH-000137,-0.325451271177
ACH-000138,-0.0161449315531
ACH-000142,-0.032746237344
ACH-000143,-0.235127977222
ACH-000146,-0.018785985422799998
ACH-000148,-0.05310735702930001
ACH-000150,-0.032873982349200005
ACH-000152,-0.26682852671999996
ACH-000153,0.09889462756829999
ACH-000159,-0.145123228061
ACH-000160,-0.443655788755
ACH-000163,-0.009893578574379999
ACH-000167,-0.25102221318000006
ACH-000168,-0.0773907957631
ACH-000169,-0.174968861107
ACH-000178,-0.039411702412199996
ACH-000182,-0.146742864898
ACH-000183,-0.25582077346099996
ACH-000188,-0.14469015918199998
ACH-000189,-0.8079635424349999
ACH-000190,-0.0583717438995
ACH-000198,-0.13301391436100002
ACH-000204,0.0455371763569
ACH-000206,-0.20107153357700003
ACH-000207,-0.33192363090599997
ACH-000211,-0.14711439616900002
ACH-000215,-0.12529397057
ACH-000221,-0.0155203428058
ACH-000222,-0.178927085657
ACH-000223,-0.109338093068
ACH-000226,-0.224420809557
ACH-000227,0.194863234153
ACH-000228,-0.450949081562
ACH-000231,-0.14884293638499999
ACH-000232,-0.0815749075767
ACH-000233,-0.0023338930723099996
ACH-000234,-0.0557018107082
ACH-000235,-0.164325414782
ACH-000237,0.154650499178
ACH-000238,-0.17387218315000003
ACH-000243,-0.21465331243299998
ACH-000244,-0.156162755079
ACH-000246,-0.11174138265799999
ACH-000248,-0.0021757471026
ACH-000250,-0.123669750248
ACH-000251,-0.20534632875199998
ACH-000253,-0.057352917498000006
ACH-000255,-0.0429614207785
ACH-000256,-0.22754660064800003
ACH-000257,-0.17235248373599998
ACH-000258,0.045873957101499996
ACH-000259,-0.11205665133199999
ACH-000260,-0.254117868623
ACH-000261,-0.149159604857
ACH-000262,-0.113710461159
ACH-000263,-0.329791188585
ACH-000264,-0.262523603903
ACH-000265,-0.107631574343
ACH-000266,-0.186363384299
ACH-000272,-0.129486157639
ACH-000273,-0.16267673929999998
ACH-000274,-0.16590537161399999
ACH-000277,-0.022053615011
ACH-000278,-0.16291426330999997
ACH-000279,-0.104224238767
ACH-000280,-0.0792175498422
ACH-000281,0.058595466346699994
ACH-000288,-0.05067076566169999
ACH-000291,-0.162117611472
ACH-000293,-0.165231870485
ACH-000294,-0.151135479104
ACH-000295,-0.132792575996
ACH-000296,-0.0036964067252100003
ACH-000302,-0.0842210442678
ACH-000304,-0.102925882639
ACH-000307,-0.0509626123314
ACH-000308,-0.0991088556263
ACH-000310,-0.136858941663
ACH-000311,-0.061703624055599995
ACH-000312,-0.09527861471230001
ACH-000315,-0.165690548478
ACH-000316,-0.0966299726763
ACH-000317,-0.38069455916
ACH-000318,-0.438338527956
ACH-000319,0.0310243962396
ACH-000320,-0.215056684336
ACH-000322,-0.00117035539414
ACH-000323,-0.21062643104000003
ACH-000324,-0.128890413649
ACH-000329,-0.103263698087
ACH-000330,-0.0404430609176
ACH-000331,-0.18646749480799998
ACH-000332,-0.099878394206
ACH-000334,-0.34429544513800003
ACH-000335,-0.195238318205
ACH-000336,0.010758089014700002
ACH-000337,-0.41551939082500006
ACH-000339,-0.218065636833
ACH-000341,-0.11663673334899999
ACH-000348,-0.13715155822699998
ACH-000350,-0.0493340439104
ACH-000352,-0.120542334093
ACH-000356,-0.15672377701600002
ACH-000361,-0.24586544090100002
ACH-000362,-0.112632637223
ACH-000363,-0.20129065290399997
ACH-000364,-0.0566005351956
ACH-000365,-0.107432865557
ACH-000366,-0.198118580093
ACH-000368,-0.26671203628199996
ACH-000374,-0.0213697589134
ACH-000375,-0.055665429369
ACH-000376,-0.135049806036
ACH-000381,-0.266613881828
