,NDUFA2 (4695)
ACH-000004,-0.603091937851
ACH-000007,-0.829903667642
ACH-000009,-0.655624649577
ACH-000011,-0.315473914087
ACH-000012,-0.616688149067
ACH-000013,-0.571819234865
ACH-000014,-0.747552413344
ACH-000015,-0.809798780338
ACH-000017,-0.499354611364
ACH-000018,-0.470090964154
ACH-000019,-1.04040462349
ACH-000021,-0.559147936939
ACH-000022,-0.464340889028
ACH-000025,-0.656693047721
ACH-000028,-0.842627722036
ACH-000030,-0.606054528885
ACH-000035,-0.662944066071
ACH-000036,-0.321569035961
ACH-000037,-0.908923886164
ACH-000039,-0.6292685572010001
ACH-000040,-0.47816334560199997
ACH-000041,-0.45898712413099996
ACH-000042,-0.431329512588
ACH-000045,-0.767147560572
ACH-000047,-0.9908827798109999
ACH-000052,-0.614773253875
ACH-000053,-0.7078348572300001
ACH-000054,-1.0031669941299999
ACH-000055,-0.359774436328
ACH-000060,-0.441078711888
ACH-000067,-0.587173985632
ACH-000070,-0.653107826712
ACH-000075,-0.7562092751710001
ACH-000078,-0.691236486515
ACH-000082,-0.5299248444319999
ACH-000085,-0.470656387601
ACH-000086,-0.6920971079000001
ACH-000087,-0.7642188863070001
ACH-000092,-0.455526275369
ACH-000095,-0.395904976595
ACH-000097,-0.7076617996529999
ACH-000098,-0.563017689831
ACH-000099,-0.694385920265
ACH-000108,-0.277425610062
ACH-000113,-0.755205698945
ACH-000115,-0.638137222434
ACH-000116,-0.588592397794
ACH-000118,-0.9668087220039999
ACH-000120,-0.500615454715
ACH-000123,-0.521262655548
ACH-000127,-0.957001512832
ACH-000128,-0.7869944962350001
ACH-000132,-0.520412171108
ACH-000133,-0.54397093618
ACH-000137,-0.394871154831
ACH-000138,-0.7426735643269999
ACH-000142,-0.266428492344
ACH-000143,-0.597839733538
ACH-000146,-0.7678835860690001
ACH-000148,-0.612841807426
ACH-000150,-0.587722845054
ACH-000152,-0.506892317215
ACH-000153,-0.968332739059
ACH-000159,-0.673112223099
ACH-000160,-0.778282552535
ACH-000163,-0.552886224082
ACH-000167,-0.23281142553800002
ACH-000168,-0.265275955666
ACH-000169,-0.893050212304
ACH-000178,-0.484652882159
ACH-000182,-0.9450307007969999
ACH-000183,-0.7670144560780001
ACH-000188,-0.508958127803
ACH-000189,-0.277859313199
ACH-000190,-0.775288079252
ACH-000198,-0.7750191151610001
ACH-000204,-0.9024285779019999
ACH-000206,-0.217015532806
ACH-000207,-0.5237056483529999
ACH-000211,-0.631883384652
ACH-000215,-0.596916076239
ACH-000221,-0.969099499408
ACH-000222,-0.44380791582400003
ACH-000223,-0.662089217482
ACH-000226,-0.736486226728
ACH-000227,-0.60985057001
ACH-000228,-0.584694438656
ACH-000231,-0.37486553431
ACH-000232,-0.42525584998599997
ACH-000233,-0.675821576193
ACH-000234,-0.6970413649130001
ACH-000235,-0.521323463426
ACH-000237,-0.355850498669
ACH-000238,-0.847086006659
ACH-000243,-0.5834532024669999
ACH-000244,-0.473824064627
ACH-000246,-0.776428002529
ACH-000248,-0.229457528365
ACH-000250,-0.35382210718199997
ACH-000251,-0.587925088231
ACH-000253,-0.5909877578639999
ACH-000255,-0.583996062655
ACH-000256,-0.47748005856200004
ACH-000257,-0.703694471708
ACH-000258,-0.653215852911
ACH-000259,-0.551351873486
ACH-000260,-0.41592569176399996
ACH-000261,-0.504155954205
ACH-000262,-0.640185273278
ACH-000263,-0.304324085689
ACH-000264,-0.624832863174
ACH-000265,-0.7474634886079999
ACH-000266,-0.399348431632
ACH-000272,-0.7399814445540001
ACH-000273,-0.346512008716
ACH-000274,-0.500290799227
ACH-000277,-0.806846198136
ACH-000278,-0.363906497113
ACH-000279,-0.7657666180239999
ACH-000280,-0.686684663444
ACH-000281,-0.5981951538270001
ACH-000288,-0.5409679251699999
ACH-000291,-0.7219954947949999
ACH-000293,-0.683276414905
ACH-000294,0.0342310819049
ACH-000295,-0.44313758661200003
ACH-000296,-0.403341799278
ACH-000302,-0.66809232878
ACH-000304,-1.28542254268
ACH-000307,-0.442690802227
ACH-000308,-0.457638761361
ACH-000310,-0.373268160273
ACH-000311,-0.306196394056
ACH-000312,-0.772343965113
ACH-000315,-0.39511697272299995
ACH-000316,-0.757780834077
ACH-000317,-0.8789939450990001
ACH-000318,-0.48913818858499997
ACH-000319,-0.511986710668
ACH-000320,-0.584621460486
ACH-000322,-0.594970199167
ACH-000323,-0.5293837339940001
ACH-000324,-0.290195551383
ACH-000329,-1.15249914206
ACH-000330,-0.833180724685
ACH-000331,-0.485574777003
ACH-000332,-0.45524518931999997
ACH-000334,-0.654943139444
ACH-000335,-0.628827562292
ACH-000336,-0.964140869691
ACH-000337,-0.8544747104989999
ACH-000339,-0.6620798896360001
ACH-000341,-0.66826075848
ACH-000348,-0.8085624908
ACH-000350,-0.606611808044
ACH-000352,-0.76563130553
ACH-000356,-0.7174678919959999
ACH-000361,-0.809491365492
ACH-000362,-0.797170947882
ACH-000363,-0.905440391374
ACH-000364,-0.823950968661
ACH-000365,-0.816539864737
ACH-000366,-0.45423007395599996
ACH-000368,-0.420105496263
ACH-000374,-0.8739668753479999
ACH-000375,-0.554771319442
ACH-000376,-0.772060337281
ACH-000381,-0.6159075192719999
ACH-000383,-0.778402548862
ACH-000387,-0.36992866515199996
ACH-000389,-0.262218715032
ACH-000390,-0.726261506234
ACH-000393,-0.579513457293
