,LIMD1 (8994)
ACH-000004,-0.24826958822200001
ACH-000007,-0.219188174588
ACH-000009,-0.22600773946999997
ACH-000011,-0.407607056932
ACH-000012,-0.323386282307
ACH-000013,-0.20449404440699998
ACH-000014,-0.5017271754779999
ACH-000015,-0.27314128909400004
ACH-000017,-0.0970361314786
ACH-000018,-0.255077829104
ACH-000019,-0.237498023838
ACH-000021,-0.307326365942
ACH-000022,-0.294381758999
ACH-000025,-0.190429816897
ACH-000028,-0.154246846211
ACH-000030,-0.320769485541
ACH-000035,-0.353914061131
ACH-000036,-0.349793721861
ACH-000037,-0.23065460958200001
ACH-000039,-0.382972819645
ACH-000040,-0.34616331118500004
ACH-000041,-0.28506428819699997
ACH-000042,-0.465713437169
ACH-000045,-0.258340282711
ACH-000047,-0.139760639581
ACH-000052,-0.0862146128576
ACH-000053,-0.267411301496
ACH-000054,-0.179826132278
ACH-000055,-0.175192362703
ACH-000060,-0.507263955381
ACH-000067,-0.367180469918
ACH-000070,-0.325512298286
ACH-000075,-0.283653220601
ACH-000078,-0.26724295197
ACH-000082,-0.166569128049
ACH-000085,-0.24447207780699998
ACH-000086,-0.15443861833699998
ACH-000087,-0.31220883826400003
ACH-000092,-0.267696186818
ACH-000095,-0.329436244482
ACH-000097,-0.18347265155099998
ACH-000098,-0.24377126987
ACH-000099,-0.183666140799
ACH-000108,-0.37324968635300004
ACH-000113,-0.24930043548
ACH-000115,-0.44151663589100004
ACH-000116,-0.31868235706099995
ACH-000118,-0.302348683027
ACH-000120,-0.35408035568999996
ACH-000123,-0.27187348186099997
ACH-000127,-0.317381379287
ACH-000128,-0.401027242092
ACH-000132,-0.229945781505
ACH-000133,-0.282930345444
ACH-000137,-0.372847523071
ACH-000138,-0.198799599265
ACH-000142,-0.295105229197
ACH-000143,-0.282138679198
ACH-000146,-0.328183917929
ACH-000148,-0.08923111111410001
ACH-000150,-0.313501074604
ACH-000152,-0.161819183543
ACH-000153,-0.30784010935
ACH-000159,-0.21806660703400002
ACH-000160,0.11289415865999998
ACH-000163,-0.47351039818999996
ACH-000167,-0.0149127221186
ACH-000168,-0.145029339153
ACH-000169,-0.327938018966
ACH-000178,-0.150250701027
ACH-000182,-0.31682266816
ACH-000183,-0.33749686362400005
ACH-000188,-0.341084417611
ACH-000189,-0.247065626962
ACH-000190,0.093271843627
ACH-000198,-0.213091446359
ACH-000204,-0.35484058012100006
ACH-000206,-0.40173103276600003
ACH-000207,-0.374230974775
ACH-000211,-0.160414861222
ACH-000215,-0.29921352325399997
ACH-000221,-0.31565315085900003
ACH-000222,-0.364546290662
ACH-000223,-0.38384707633000004
ACH-000226,-0.28091410867
ACH-000227,-0.4413021146600001
ACH-000228,-0.35166539396200003
ACH-000231,-0.31554120038100003
ACH-000232,-0.320508997991
ACH-000233,-0.2434421937
ACH-000234,-0.426458933266
ACH-000235,-0.35578495061
ACH-000237,-0.222448387192
ACH-000238,-0.582854972703
ACH-000243,-0.273782704121
ACH-000244,-0.0686302300558
ACH-000246,-0.160152760776
ACH-000248,-0.0609001093769
ACH-000250,-0.37576277640199995
ACH-000251,-0.50634039374
ACH-000253,-0.23086101019400002
ACH-000255,-0.220118492208
ACH-000256,-0.362165240943
ACH-000257,-0.345192592321
ACH-000258,-0.5587745406669999
ACH-000259,-0.26072971673
ACH-000260,-0.324227950226
ACH-000261,-0.21652408847899998
ACH-000262,-0.238685756538
ACH-000263,-0.318380700751
ACH-000264,-0.30689841609499996
ACH-000265,-0.22964610906999997
ACH-000266,-0.360761238384
ACH-000272,-0.23540923577599998
ACH-000273,-0.208213170056
ACH-000274,-0.258726074208
ACH-000277,-0.203870348108
ACH-000278,-0.223365400471
ACH-000279,-0.306752270764
ACH-000280,-0.471688819511
ACH-000281,-0.38566488641999996
ACH-000288,-0.200267124174
ACH-000291,-0.191827202188
ACH-000293,-0.4708887044899999
ACH-000294,-0.27362259552900003
ACH-000295,-0.562579832094
ACH-000296,-0.192213538726
ACH-000302,-0.39404158849699994
ACH-000304,-0.183828223455
ACH-000307,-0.37652178302699996
ACH-000308,-0.19434573655999998
ACH-000310,-0.453264331874
ACH-000311,-0.18240868822700002
ACH-000312,-0.315515092644
ACH-000315,-0.136399559977
ACH-000316,-0.31915375681499997
ACH-000317,-0.461252457192
ACH-000318,-0.12948784837000002
ACH-000319,-0.234336186226
ACH-000320,-0.514411453631
ACH-000322,-0.03911973375680001
ACH-000323,-0.22349826576999998
ACH-000324,-0.363715853408
ACH-000329,-0.189678064282
ACH-000330,-0.246024161988
ACH-000331,-0.257187203235
ACH-000332,-0.412952570413
ACH-000334,-0.497007487254
ACH-000335,-0.5749558691359999
ACH-000336,-0.11418920326
ACH-000337,-0.40123643625699995
ACH-000339,-0.21786352848499999
ACH-000341,-0.437232965602
ACH-000348,-0.0436399487688
ACH-000350,-0.39357940169600003
ACH-000352,-0.218113969143
ACH-000356,-0.38208023001900004
ACH-000361,-0.21116011658599998
ACH-000362,-0.371470329415
ACH-000363,-0.273003433272
ACH-000364,-0.10871686054400001
ACH-000365,-0.31705104656399996
ACH-000366,-0.348463432001
ACH-000368,0.0374685658613
ACH-000374,-0.302391858964
ACH-000375,-0.31878438237
ACH-000376,-0.42259389279700005
ACH-000381,-0.280294765639
ACH-000383,-0.354711201571
ACH-000387,-0.299409867177
ACH-000389,-0.333245308003
ACH-000390,-0.261067995024
ACH-000393,-0.479215772226
ACH-000395,-0.454084944881
ACH-000397,-0.437122684115
ACH-000401,0.117469918113
ACH-000402,-0.5614533080899999
ACH-000403,-0.315419454
ACH-000404,-0.267014056339
ACH-000406,-0.357933895788
ACH-000407,-0.41401388991800003
ACH-000408,-0.26849741415600004
ACH-000410,-0.324502263477
ACH-000411,-0.383735767553
ACH-000414,-0.31667058385200003
ACH-000415,-0.399873379084
ACH-000416,-0.268754732524
ACH-000420,-0.480528865827
ACH-000421,-0.217337416663
ACH-000424,-0.27814410415199997
ACH-000425,-0.492097291079
ACH-000426,-0.402404753295
ACH-000427,-0.49604194007799995
ACH-000433,-0.31858260184099996
ACH-000436,-0.38031428326300004
ACH-000444,-0.133820821731
ACH-000445,-0.341704189467
ACH-000448,-0.365435662791
ACH-000450,-0.242144717282
ACH-000452,-0.478527363745
ACH-000454,-0.40024053397
ACH-000458,-0.270528341898
ACH-000459,-0.08767044726060001
ACH-000460,-0.370303342202
ACH-000461,-0.355034244141
ACH-000463,-0.23695112856400002
ACH-000464,-0.284160092275
ACH-000466,-0.41182900086499996
ACH-000467,-0.16595844350299999
ACH-000468,-0.47750431121799997
ACH-000469,0.0116722310188
ACH-000470,-0.402560801834
ACH-000471,-0.414265937337
ACH-000472,-0.29378224593
ACH-000473,-0.0103113186583
ACH-000475,-0.309205257609
ACH-000476,-0.406638802583
ACH-000477,-0.439096327217
ACH-000480,-0.397663220907
ACH-000481,-0.359637881412
ACH-000483,-0.322903211885
ACH-000484,-0.063882721841
ACH-000485,-0.215758324296
ACH-000486,-0.256242441323
ACH-000487,-0.286569336999
ACH-000488,-0.22099454383900002
ACH-000490,-0.22142767183200002
ACH-000491,-0.284871840679
ACH-000495,-0.443007749825
ACH-000496,-0.425460086449
ACH-000499,-0.20259761097600001
ACH-000500,0.46928233276799997
ACH-000502,-0.25943002497900003
ACH-000503,-0.43549325057800004
ACH-000505,-0.40877347788400004
ACH-000507,-0.23955486160599998
ACH-000510,-0.25509765740699997
