,KMT2D (8085)
ACH-000004,-0.967502597354
ACH-000007,-0.843839893147
ACH-000009,-1.18336917091
ACH-000011,-0.893528425821
ACH-000012,-0.574490633241
ACH-000013,-0.9136284894869999
ACH-000014,-0.776794580647
ACH-000015,-0.481780778553
ACH-000017,-0.986372255574
ACH-000018,-0.399345863376
ACH-000019,-0.974355429013
ACH-000021,-0.714301109463
ACH-000022,-0.209001729275
ACH-000025,-0.16194875631300001
ACH-000028,-0.980118990123
ACH-000030,-0.48545067730700003
ACH-000035,-0.9235722134550001
ACH-000036,-0.196313872236
ACH-000037,-0.671000818542
ACH-000039,-0.36195099655199997
ACH-000040,-0.12226496718499999
ACH-000041,-0.331123940279
ACH-000042,-0.252886699961
ACH-000045,-0.781046907058
ACH-000047,-0.610913028764
ACH-000052,-0.192347571719
ACH-000053,0.00762003299705
ACH-000054,-0.34882158387199996
ACH-000055,0.199991775398
ACH-000060,-0.615970276621
ACH-000067,-0.5973441572370001
ACH-000070,-0.8366022133069999
ACH-000075,-0.146103341222
ACH-000078,-0.5639678791170001
ACH-000082,0.24096897502599998
ACH-000085,-0.830246563164
ACH-000086,-0.5643889226259999
ACH-000087,-0.184224776514
ACH-000092,-0.677260776674
ACH-000095,-0.683900537968
ACH-000097,-0.902694406181
ACH-000098,-0.394407121854
ACH-000099,-0.31058307794100004
ACH-000108,-1.17549987177
ACH-000113,-1.05765149704
ACH-000115,-1.80160098815
ACH-000116,-0.8653186857590001
ACH-000118,-0.8181402400229999
ACH-000120,-0.461692209827
ACH-000123,-0.5994777049960001
ACH-000127,-0.43448202297
ACH-000128,-0.120818452789
ACH-000132,-1.01909836484
ACH-000133,-0.495351191878
ACH-000137,-0.198411321226
ACH-000138,-0.685313564548
ACH-000142,-0.896356448999
ACH-000143,0.054732332641400004
ACH-000146,-0.517989450861
ACH-000148,-0.34163158453500003
ACH-000150,-0.0584722349331
ACH-000152,-0.20474043357500002
ACH-000153,-0.189427473997
ACH-000159,-0.782340075036
ACH-000160,0.0430199428487
ACH-000163,0.125769402306
ACH-000167,0.43717054053599996
ACH-000168,-0.973692557439
ACH-000169,-0.550827656034
ACH-000178,-0.447846268181
ACH-000182,-0.409167032411
ACH-000183,-0.310330860517
ACH-000188,-0.37578320411399996
ACH-000189,-0.812611637815
ACH-000190,-0.169075316432
ACH-000198,-1.11361100183
ACH-000204,-0.46985379342100003
ACH-000206,-0.744991277969
ACH-000207,-0.9422869249889999
ACH-000211,-0.227763035861
ACH-000215,-0.12242840142999999
ACH-000221,-0.551208871676
ACH-000222,-0.998169913375
ACH-000223,-0.05438622825680001
ACH-000226,-0.514529124201
ACH-000227,-0.282778257749
ACH-000228,-0.300781209675
ACH-000231,-0.480854464963
ACH-000232,0.054190246321199995
ACH-000233,-0.48386107437
ACH-000234,-1.0251415136700002
ACH-000235,-0.653305884342
ACH-000237,-0.40774380297799995
ACH-000238,-0.11068012250800001
ACH-000243,-0.7698431578039999
ACH-000244,-0.499069641932
ACH-000246,-1.0434834527799999
ACH-000248,-0.8971081048880001
ACH-000250,-0.56226331147
ACH-000251,-0.800014894854
ACH-000253,-0.663794380035
ACH-000255,-0.0232873284596
ACH-000256,-0.419274832466
ACH-000257,-0.7086759834309999
ACH-000258,-0.7034599686849999
ACH-000259,-0.213059873358
ACH-000260,-0.447083386913
ACH-000261,-0.68826895435
ACH-000262,-0.671583605486
ACH-000263,-1.20976325756
ACH-000264,-0.774727734388
ACH-000265,-0.512530946505
ACH-000266,-0.593476902706
ACH-000272,-0.522013553904
ACH-000273,-0.204003367753
ACH-000274,-0.635230514627
ACH-000277,-1.26523245472
ACH-000278,-0.599968269709
ACH-000279,-0.34984432874899996
ACH-000280,-0.8996802486390001
ACH-000281,-0.596543555834
ACH-000288,-0.647870436566
ACH-000291,-0.7746539346100001
ACH-000293,-0.872489193336
ACH-000294,-0.912491033248
ACH-000295,-0.0531044514945
