,KRTCAP2 (200185)
ACH-000004,-0.013835388730600001
ACH-000007,-0.235046131498
ACH-000009,-0.615430605628
ACH-000011,-0.49535613593
ACH-000012,-0.460996691686
ACH-000013,-0.22987100072799999
ACH-000014,-0.275568934112
ACH-000015,-0.298653769515
ACH-000017,-0.34235430189000005
ACH-000018,0.0759870135162
ACH-000019,-0.44486335797300003
ACH-000021,-0.543618830809
ACH-000022,-0.28051632304900004
ACH-000025,-0.42827200972900004
ACH-000028,-0.46050615739399997
ACH-000030,-0.328811293062
ACH-000035,-0.35950088263999996
ACH-000036,-0.327597540861
ACH-000037,-0.37032570590400005
ACH-000039,-0.7117543548559999
ACH-000040,-0.219742070881
ACH-000041,-0.271694975402
ACH-000042,-0.403065676178
ACH-000045,-0.179092864688
ACH-000047,-0.356761765552
ACH-000052,-0.758868547861
ACH-000053,-0.302298578119
ACH-000054,-0.181482352993
ACH-000055,-0.305092638576
ACH-000060,-0.531740443662
ACH-000067,-0.14000429759000002
ACH-000070,-0.24237759733699998
ACH-000075,-0.48900863347199997
ACH-000078,-0.599562756738
ACH-000082,-0.5317663569359999
ACH-000085,-0.456330385604
ACH-000086,-0.577785715707
ACH-000087,-0.389982615986
ACH-000092,-0.6380362249880001
ACH-000095,-0.469462226482
ACH-000097,-0.294177324083
ACH-000098,-0.284530652093
ACH-000099,-0.434297185276
ACH-000108,-0.33530592001
ACH-000113,-0.35625224317299997
ACH-000115,-0.129522784104
ACH-000116,-0.509567301997
ACH-000118,-0.34748304456100004
ACH-000120,-0.430602445059
ACH-000123,-0.439818835919
ACH-000127,-0.35074244222400003
ACH-000128,-0.186481269344
ACH-000132,-0.513041603387
ACH-000133,-0.49158867655
ACH-000137,-0.465073453591
ACH-000138,-0.35433091125
ACH-000142,-0.425308027482
ACH-000143,-0.343212880113
ACH-000146,-0.477795257037
ACH-000148,-0.438768947777
ACH-000150,-0.229261990525
ACH-000152,-0.203928533941
ACH-000153,-0.37191450643
ACH-000159,-0.26906645378800004
ACH-000160,-0.237648863898
ACH-000163,-0.398322548618
ACH-000167,-0.29301773508699996
ACH-000168,-0.553228131136
ACH-000169,-0.336208682692
ACH-000178,-0.32170417379
ACH-000182,-0.103648430921
ACH-000183,-0.268316416804
ACH-000188,-0.41929908630400003
ACH-000189,-0.55690155679
ACH-000190,-0.276123179923
ACH-000198,-0.295931299863
ACH-000204,-0.49257087963699997
ACH-000206,-0.30265685171
ACH-000207,-0.49004709766800003
ACH-000211,-0.410747506603
ACH-000215,-0.314120399284
ACH-000221,-0.242189511083
ACH-000222,-0.378366844978
ACH-000223,-0.40459575466200004
ACH-000226,-0.634543532042
ACH-000227,-0.40128095391400004
ACH-000228,-0.29411990946100003
ACH-000231,-0.27221015463799997
ACH-000232,-0.29691578901099996
ACH-000233,-0.569416014948
ACH-000234,-0.36047192531800004
ACH-000235,-0.497020579379
ACH-000237,-0.387402748111
ACH-000238,-0.166646159864
ACH-000243,-0.454708139972
ACH-000244,-0.137363446186
ACH-000246,-0.273044110006
ACH-000248,-0.381824874083
ACH-000250,-0.18271534372499998
ACH-000251,-0.562409321915
ACH-000253,-0.21974667784200003
ACH-000255,-0.255548217766
ACH-000256,-0.40207631288400003
ACH-000257,-0.0260975176376
ACH-000258,-0.186400809679
ACH-000259,-0.45664611375
ACH-000260,-0.555774080281
ACH-000261,-0.376397184811
ACH-000262,-0.0341145223206
ACH-000263,-0.218864049787
ACH-000264,-0.47910507909500005
ACH-000265,-0.316848685234
ACH-000266,-0.43635963661000005
ACH-000272,-0.523917624635
ACH-000273,-0.543081163072
ACH-000274,-0.284970376048
ACH-000277,-0.42828406865
ACH-000278,-0.238100060147
ACH-000279,-0.20553919662999998
ACH-000280,-0.193461378749
ACH-000281,-0.182382600062
ACH-000288,-0.45841928505199997
ACH-000291,-0.261477537915
ACH-000293,-0.291945269712
ACH-000294,-0.266366918316
ACH-000295,-0.186629991842
ACH-000296,-0.7258470422069999
ACH-000302,-0.418914308097
ACH-000304,-0.644576315688
ACH-000307,-0.441147468018
ACH-000308,-0.279511378594
ACH-000310,-0.599401955943
ACH-000311,-0.6151103349729999
