,UBE2S (27338)
ACH-000004,-0.79836737811
ACH-000007,-0.44919681782
ACH-000009,-0.514671533348
ACH-000011,-0.7216037133769999
ACH-000012,-0.481765887905
ACH-000013,-0.6722100753810001
ACH-000014,-0.19268029363800002
ACH-000015,-0.920435101136
ACH-000017,-0.457289517136
ACH-000018,-0.354216399366
ACH-000019,-0.0341288649311
ACH-000021,-0.35470868209299994
ACH-000022,-0.777555058589
ACH-000025,-0.259538231542
ACH-000028,-0.298429725448
ACH-000030,-0.779204194087
ACH-000035,-0.195307922425
ACH-000036,-0.282702977521
ACH-000037,-0.6794947343089999
ACH-000039,-0.49024712744099996
ACH-000040,-0.557493704114
ACH-000041,-0.5625659468699999
ACH-000042,-0.33685742664800006
ACH-000045,-0.504084760014
ACH-000047,-0.420314208209
ACH-000052,-0.349916008979
ACH-000053,-0.354285059476
ACH-000054,-0.300128991962
ACH-000055,-0.329271204451
ACH-000060,-0.609960183506
ACH-000067,-0.223332406493
ACH-000070,-0.5176345817360001
ACH-000075,-0.47645799977700004
ACH-000078,-0.28262082221
ACH-000082,-0.802252508335
ACH-000085,-0.43860307686899996
ACH-000086,-0.227995171818
ACH-000087,-0.41784350382700003
ACH-000092,-0.230170864926
ACH-000095,-0.426869910416
ACH-000097,-0.37706455008699996
ACH-000098,-0.871865999474
ACH-000099,-0.244172311348
ACH-000108,-0.424110248257
ACH-000113,-0.274486349139
ACH-000115,-0.239411365442
ACH-000116,-0.4107088079
ACH-000118,-0.125188795078
ACH-000120,-0.218581796829
ACH-000123,-0.623344707698
ACH-000127,-0.6714232464859999
ACH-000128,-0.329745158902
ACH-000132,-0.337910894107
ACH-000133,-0.538919873505
ACH-000137,-0.408504226307
ACH-000138,-0.471595436928
ACH-000142,-0.43081049485399997
ACH-000143,-0.32356222963799997
ACH-000146,-0.484573550551
ACH-000148,-0.41414551656
ACH-000150,-0.37558630654799996
ACH-000152,-0.42734968609800006
ACH-000153,-0.30314888065699996
ACH-000159,-0.143637570121
ACH-000160,-0.895508922192
ACH-000163,-0.330893114291
ACH-000167,-0.739628157253
ACH-000168,-0.494568184229
ACH-000169,-0.5100424680269999
ACH-000178,-0.309239211659
ACH-000182,-0.9575314016650001
ACH-000183,-0.368864575175
ACH-000188,-0.8638445872339999
ACH-000189,0.021352629869599998
ACH-000190,-0.433697836263
ACH-000198,-0.484773510823
ACH-000204,-0.19497789397100002
ACH-000206,-0.712052964718
ACH-000207,-0.595919258818
ACH-000211,-0.255761179575
ACH-000215,-0.38326365601999995
ACH-000221,-0.45081081339699997
ACH-000222,0.09126984694039998
ACH-000223,0.115016801765
ACH-000226,-0.39427756778300005
ACH-000227,-0.137493342504
ACH-000228,-0.524174530604
ACH-000231,-0.368231967587
ACH-000232,-0.44184074673999996
ACH-000233,-0.48576217508
ACH-000234,-0.35991031460100004
ACH-000235,-0.385405874722
ACH-000237,-0.657043535759
ACH-000238,-1.2189198135400001
ACH-000243,-0.397620499776
ACH-000244,-0.809492209563
ACH-000246,-0.5049211446549999
ACH-000248,-0.19654342811500003
ACH-000250,-0.750986256986
ACH-000251,-0.28007248595600004
ACH-000253,-0.228332218849
ACH-000255,-0.6366581572410001
ACH-000256,-0.474252483549
ACH-000257,-0.212453669961
ACH-000258,0.0027552236559
ACH-000259,-0.14452164125800002
ACH-000260,-0.39814401938500005
ACH-000261,-0.5132755742180001
ACH-000262,-1.02091360222
ACH-000263,-0.41609555708000007
ACH-000264,-0.26835858086500003
ACH-000265,-0.432968836879
ACH-000266,-0.0592150133567
ACH-000272,-0.36894732378399997
ACH-000273,-0.251297392996
ACH-000274,-0.76602171723
ACH-000277,-0.299731843791
ACH-000278,-0.146407997032
ACH-000279,-0.351554242081
ACH-000280,-0.635123385088
ACH-000281,-0.292618860929
ACH-000288,-0.585980023142
ACH-000291,-0.641822283236
ACH-000293,-1.75291682229
ACH-000294,-1.04643731106
ACH-000295,-0.353827728425
ACH-000296,-0.5828217018
ACH-000302,-0.791114233355
ACH-000304,-0.300070125351
ACH-000307,-0.0807215546387
ACH-000308,-0.360966178869
ACH-000310,-0.439155089683
ACH-000311,-0.351387110307
ACH-000312,-0.202665284577
ACH-000315,0.036200461475300004
ACH-000316,-0.725256029839
ACH-000317,0.0517536595199
ACH-000318,-0.471157945111
ACH-000319,-0.269518219971
ACH-000320,-0.20430157267000001
ACH-000322,-0.36987473421899997
ACH-000323,-0.337771383552
ACH-000324,-0.625538862444
ACH-000329,-0.304494826953
ACH-000330,-0.309954134508
ACH-000331,-0.49452558164399996
ACH-000332,-0.232800915287
ACH-000334,-0.47639810286300005
ACH-000335,-0.918237716239
ACH-000336,-0.335535911713
ACH-000337,0.181601654638
ACH-000339,-0.39386051495700003
ACH-000341,-0.488834523033
ACH-000348,-0.21577550067899998
ACH-000350,-0.41982703416199996
ACH-000352,-0.555380859287
ACH-000356,-0.24909664323300001
ACH-000361,-0.38469689069300006
ACH-000362,-0.531724874919
ACH-000363,-0.08541591752779999
ACH-000364,-0.779262268706
ACH-000365,-0.248421278851
ACH-000366,-0.28662006523899997
ACH-000368,-0.126473746849
ACH-000374,-0.440524089299
ACH-000375,-0.208913668011
ACH-000376,-0.110687793389
ACH-000381,-0.49365727909900003
ACH-000383,-0.392457893301
ACH-000387,-0.631620205395
ACH-000389,-0.594394912651
ACH-000390,-0.729207575968
ACH-000393,-0.5466186615999999
ACH-000395,-0.228197674107
ACH-000397,-0.772550720905
ACH-000401,-1.03456318968
ACH-000402,-0.273452868204
ACH-000403,-0.178093031104
ACH-000404,-0.215747939153
ACH-000406,-1.1520540651200002
ACH-000407,-0.571741380655
ACH-000408,-0.43063858708400005
ACH-000410,-0.48568068106000006
ACH-000411,-0.472786962938
ACH-000414,-0.798416927842
ACH-000415,-0.471700792096
ACH-000416,-0.199525099915
ACH-000420,-0.383585342403
ACH-000421,-0.508079644133
ACH-000424,-0.27739917702100003
ACH-000425,-0.09258345172310001
ACH-000426,-0.07519363967680001
ACH-000427,-0.270032295453
ACH-000433,-0.297414725304
ACH-000436,-0.453639383392
ACH-000444,-0.38855472449600004
ACH-000445,-0.891809362985
ACH-000448,-0.391810467718
ACH-000450,0.156113877491
ACH-000452,-0.278848331237
ACH-000454,-0.717970756716
ACH-000458,-0.729912561248
ACH-000459,-0.636329543232
ACH-000460,-0.586025255099
ACH-000461,-0.46711740478200003
ACH-000463,-0.48376658442599996
ACH-000464,-0.7222566929440001
ACH-000466,-0.400627874436
ACH-000467,0.024385446553599997
ACH-000468,-0.50015763696
ACH-000469,-0.518467793087
ACH-000470,0.155163629298
ACH-000471,-0.757145294094
ACH-000472,-0.269143954553
ACH-000473,-0.5467294738
ACH-000475,-0.6696926876820001
ACH-000476,-0.464935096462
ACH-000477,0.0766707806282
ACH-000480,-0.257419505077
ACH-000481,-0.52323580804
ACH-000483,-0.276273243018
ACH-000484,-0.37184349798199995
ACH-000485,-0.38178281911
ACH-000486,-0.108359979615
ACH-000487,-1.0312212647299999
ACH-000488,-0.586650945563
ACH-000490,-0.10265891407700001
ACH-000491,-0.409306426219
ACH-000495,-0.361720647768
ACH-000496,-0.391177165255
ACH-000499,-0.424284506588
ACH-000500,-0.214330965233
ACH-000502,-0.467668293196
ACH-000503,-0.510595403406
ACH-000505,-0.177946950298
ACH-000507,-0.376369303891
ACH-000510,-0.504685479735
ACH-000511,-0.26336765806400003
ACH-000512,-0.564676725842
ACH-000516,-0.38023222672799994
ACH-000517,-0.716921024702
ACH-000518,-1.09548451972
ACH-000520,-0.643071976501
ACH-000521,-0.650632606154
ACH-000522,-0.011855086662399998
ACH-000524,-0.420297910436
ACH-000527,-0.310388026595
ACH-000528,-0.38520793762500005
ACH-000537,-0.25088156671
ACH-000541,-0.569728834434
ACH-000542,-0.414171156818
ACH-000544,-0.243525261953
ACH-000545,-0.711638478254
ACH-000547,-0.540028003624
ACH-000548,-0.368379096726
ACH-000549,-0.76201255243
ACH-000550,-1.09544804017
ACH-000552,-0.574816044504
ACH-000556,-0.37526111452
ACH-000557,-0.327557558511
ACH-000570,-0.35901530202699994
ACH-000571,-0.384985967891
ACH-000573,-0.334295152838
ACH-000576,-0.18871387954
ACH-000580,-0.537443977648
ACH-000584,-0.433257420493
ACH-000585,-0.907626013802
ACH-000588,-0.388613297444
ACH-000589,-0.479378096308
ACH-000591,-0.36872216154799997
ACH-000593,-0.285250561234
ACH-000600,-0.411807227329
ACH-000601,-0.26388681169
ACH-000604,-0.500191128421
ACH-000605,-0.17529451082400002
ACH-000606,-0.46074752631899996
ACH-000608,-0.35761160417300003
ACH-000614,0.214377189061
ACH-000616,-0.320756321536
ACH-000618,-0.615389022338
ACH-000619,-0.129982744028
ACH-000620,-0.39052871070600004
ACH-000621,-0.40244986366400004
ACH-000622,-0.4797300454899999
ACH-000623,-0.569763826776
ACH-000624,-0.7845849722820001
ACH-000627,-0.8531809827079999
ACH-000630,-0.615613540073
ACH-000632,-0.370123556742
ACH-000633,-0.0856274803152
ACH-000637,-0.7784418167820001
ACH-000638,-0.38693427534
ACH-000646,-0.618951039002
ACH-000647,-0.23482788578000002
ACH-000648,-0.49489810089599995
ACH-000649,-0.378148224177
ACH-000651,-0.625999709309
ACH-000652,-0.31404022121999997
ACH-000653,-0.273874230472
ACH-000657,-0.402447123367
ACH-000658,0.04624395038319999
ACH-000661,-0.15995122238099999
ACH-000662,-0.16753090178
ACH-000663,-0.338970061669
ACH-000665,-0.623761171198
ACH-000671,-1.24659844781
ACH-000673,-0.526423397545
ACH-000676,-0.23211670595199999
ACH-000677,-0.18711252789000002
ACH-000681,-0.537951191355
ACH-000682,-0.695947787965
ACH-000683,-0.140999504312
ACH-000684,-0.490390008643
ACH-000688,-0.546573389942
ACH-000693,-0.485938665823
ACH-000694,-0.791126221194
ACH-000695,-0.43939980980899995
ACH-000696,-0.5125580226259999
ACH-000697,-0.288723303923
ACH-000699,-1.21717312565
ACH-000701,-0.556243888092
ACH-000706,-0.30186048215100003
ACH-000711,-0.52657838472
ACH-000713,-0.421522313699
ACH-000714,-0.287416472855
ACH-000718,-0.846883180507
ACH-000720,-0.335757395432
ACH-000721,-0.736015874891
ACH-000724,-0.307870489995
ACH-000725,-0.172679197782
ACH-000732,-0.704220689281
ACH-000734,-0.254836564623
ACH-000735,-0.7804589571420001
ACH-000736,-0.401450580702
ACH-000738,-0.39088347262900003
ACH-000746,-0.36595378079
ACH-000747,-0.222695446509
ACH-000748,-0.59252491971
ACH-000753,-0.24352802001600002
ACH-000756,-0.509638638781
ACH-000757,-0.346550471987
ACH-000758,-0.848892741955
ACH-000760,-0.26479738014000004
ACH-000763,0.0808253220093
ACH-000764,-0.546875332959
ACH-000765,-0.207640813441
ACH-000766,-0.7895143338770001
ACH-000767,-0.329369904749
ACH-000768,-0.121495497831
ACH-000769,-0.424550955355
ACH-000770,-0.31681059989
ACH-000771,-0.9520274639990001
ACH-000773,-0.570155993705
ACH-000776,-0.581201335029
ACH-000777,-1.00231266245
ACH-000778,-0.425925090097
ACH-000781,-0.25763366615899996
ACH-000782,-0.599047861596
ACH-000783,-0.255669161312
ACH-000784,-0.7031248133589999
ACH-000785,-0.38074236926399996
ACH-000787,-0.556504456369
ACH-000788,-0.273849161486
ACH-000791,-0.519945351557
ACH-000792,-0.941712356066
ACH-000794,-0.31756076770799996
ACH-000796,-0.33662766629
ACH-000799,-0.0222638866561
ACH-000800,-0.09084485720889998
ACH-000802,-0.5720858450399999
ACH-000804,-0.0812327189759
ACH-000805,-0.49427741019500004
ACH-000809,-0.29064635524300003
ACH-000810,0.25179332068599997
ACH-000811,-0.950826636668
ACH-000817,-0.347093785275
ACH-000819,-0.361188755163
ACH-000820,-0.197500808755
ACH-000821,-0.373770611557
ACH-000822,-0.46640581199600006
ACH-000823,-0.186916145154
ACH-000824,-0.44788367060199996
ACH-000827,-0.112202243618
ACH-000829,-0.437524691465
ACH-000831,-0.29065626939800004
ACH-000832,-0.253307094784
ACH-000833,-0.20506862690900002
ACH-000834,-0.296437939612
ACH-000835,-0.275446102626
ACH-000836,-0.257697352162
ACH-000837,-0.35859438072800004
ACH-000838,-0.303856652261
ACH-000839,-0.36565722903000003
ACH-000840,-1.34162571141
ACH-000841,-0.461841523002
ACH-000843,-0.30880230707600004
ACH-000846,-0.352585902263
ACH-000847,-0.44366332968999994
ACH-000848,-0.234362825665
ACH-000849,-0.35638300867399997
ACH-000851,-0.324862118353
ACH-000855,-0.0944976057828
ACH-000856,-0.605913385895
ACH-000858,-0.329451704385
ACH-000859,-0.211474126754
ACH-000861,-0.562233357381
ACH-000862,0.0449784992947
ACH-000865,-0.466345051087
ACH-000866,-0.269834226289
ACH-000867,-0.480046626342
ACH-000869,-0.260063629941
ACH-000872,-1.49398942634
ACH-000873,-0.43070917661799996
ACH-000876,-0.47671973076800006
ACH-000878,-0.99213355656
ACH-000880,-0.160990793371
ACH-000881,-0.271037924804
ACH-000882,-0.643010786576
ACH-000884,0.15808334676400002
ACH-000885,-0.274171004672
ACH-000887,-0.33756997050899995
ACH-000888,-0.132113077959
ACH-000889,-0.411178209186
ACH-000890,-0.5372524398340001
