,LURAP1 (541468)
ACH-000004,-0.496010935481
ACH-000007,-0.332286478111
ACH-000009,-0.44719517611000004
ACH-000011,-0.278025480079
ACH-000012,-0.5330136408780001
ACH-000013,-0.481803216018
ACH-000014,-0.317011452361
ACH-000015,-0.36662149967299995
ACH-000017,-0.44936728461000003
ACH-000018,-0.561788616978
ACH-000019,-0.213319987189
ACH-000021,-0.518615066932
ACH-000022,-0.226329232025
ACH-000025,-0.411659146012
ACH-000028,-0.35632928788199997
ACH-000030,-0.483975370832
ACH-000035,-0.448493653557
ACH-000036,-0.35074435469899995
ACH-000037,-0.320878958202
ACH-000039,-0.24390505361900003
ACH-000040,-0.531901751356
ACH-000041,-0.0604452909322
ACH-000042,-0.198935165746
ACH-000045,-0.402358327156
ACH-000047,-0.450851748854
ACH-000052,-0.313200231903
ACH-000053,-0.333416065268
ACH-000054,-0.329201351682
ACH-000055,-0.35552565924900004
ACH-000060,-0.461167857951
ACH-000067,-0.39957512504000003
ACH-000070,-0.17592938541499997
ACH-000075,-0.525634625603
ACH-000078,-0.289551044241
ACH-000082,-0.45838817430600004
ACH-000085,-0.519524251696
ACH-000086,-0.452664754975
ACH-000087,-0.302347948345
ACH-000092,-0.7228956845290001
ACH-000095,-0.332704562897
ACH-000097,-0.306538754204
ACH-000098,-0.434681655268
ACH-000099,-0.358250453681
ACH-000108,-0.328954589176
ACH-000113,-0.439279339431
ACH-000115,-0.288910216468
ACH-000116,-0.381516610001
ACH-000118,-0.314392996923
ACH-000120,-0.421540411588
ACH-000123,-0.510995940273
ACH-000127,-0.38467904560500005
ACH-000128,-0.531585920232
ACH-000132,-0.40085921701099997
ACH-000133,-0.287965227241
ACH-000137,-0.575989051123
ACH-000138,-0.23286715255999998
ACH-000142,-0.45805812150799996
ACH-000143,-0.255430839942
ACH-000146,-0.321056019169
ACH-000148,-0.387795514891
ACH-000150,-0.540494209597
ACH-000152,-0.647144195878
ACH-000153,-0.44527107055200005
ACH-000159,-0.436183098352
ACH-000160,-0.368468215207
ACH-000163,-0.12043386156199999
ACH-000167,-0.498546928303
ACH-000168,-0.6236595034179999
ACH-000169,-0.548905794314
ACH-000178,-0.49604142855800004
ACH-000182,-0.42672370728799996
ACH-000183,-0.5078726998399999
ACH-000188,-0.601402341391
ACH-000189,-0.47151173155599996
ACH-000190,-0.531188496771
ACH-000198,-0.286450215059
ACH-000204,-0.6334302297550001
ACH-000206,-0.28365631217
ACH-000207,-0.39673453962899996
ACH-000211,-0.152174974595
ACH-000215,-0.371783660827
ACH-000221,-0.537963563117
ACH-000222,-0.24182221166600001
ACH-000223,-0.325116942448
ACH-000226,-0.459653557826
ACH-000227,-0.0821881085777
ACH-000228,-0.48694887207099996
ACH-000231,-0.443187842939
ACH-000232,-0.29240006678
ACH-000233,-0.350295349067
ACH-000234,-0.327469916749
ACH-000235,-0.294761501385
ACH-000237,-0.442360075194
ACH-000238,-0.484901335353
ACH-000243,-0.264653240497
ACH-000244,-0.345722699589
ACH-000246,-0.49817449283200005
ACH-000248,-0.240546697792
ACH-000250,-0.348852735869
ACH-000251,-0.43185471885399995
ACH-000253,-0.224044556058
ACH-000255,-0.333993480999
ACH-000256,-0.31265624823399996
ACH-000257,-0.136405451693
ACH-000258,-0.386559777416
ACH-000259,-0.295468698347
ACH-000260,-0.315683855912
ACH-000261,-0.423036282726
ACH-000262,-0.568441524865
ACH-000263,-0.368045432944
ACH-000264,-0.371323795036
ACH-000265,-0.279258823374
ACH-000266,-0.172566723757
ACH-000272,-0.5504870262039999
ACH-000273,-0.415765348033
ACH-000274,-0.487944487694
ACH-000277,-0.47496086414
ACH-000278,-0.512491533879
ACH-000279,-0.36578551259900005
ACH-000280,-0.280390918207
ACH-000281,-0.258472749033
ACH-000288,-0.503564338762
ACH-000291,-0.520007256621
ACH-000293,-0.34366074025300003
ACH-000294,-0.238610220746
ACH-000295,-0.221065760147
ACH-000296,-0.5673242895130001
ACH-000302,-0.381858100646
ACH-000304,-0.340636659285
ACH-000307,-0.354517192483
ACH-000308,-0.307223205241
ACH-000310,-0.25353305885
ACH-000311,-0.341451159142
ACH-000312,-0.286362455116
ACH-000315,-0.19579109119899998
ACH-000316,-0.33563227914899996
ACH-000317,-0.341962841983
ACH-000318,-0.34994837635399995
ACH-000319,-0.43095791823299995
ACH-000320,-0.29415981539999997
ACH-000322,-0.27469572564
ACH-000323,-0.387306693429
ACH-000324,-0.35902222114
ACH-000329,-0.410215293224
ACH-000330,-0.419901607538
ACH-000331,-0.553713224621
ACH-000332,-0.315941324558
ACH-000334,-0.32559798005699997
ACH-000335,-0.398681171268
ACH-000336,-0.46640471188999993
ACH-000337,-0.198189537097
ACH-000339,-0.29948456241599997
ACH-000341,-0.65373197024
ACH-000348,-0.275915729553
ACH-000350,-0.360949371842
ACH-000352,-0.429094054539
ACH-000356,-0.347129142346
ACH-000361,-0.5322835105039999
ACH-000362,-0.309822576755
ACH-000363,-0.30341803188099997
ACH-000364,-0.44493931120499997
ACH-000365,-0.342741242385
ACH-000366,-0.264883861525
ACH-000368,-0.346329488791
ACH-000374,-0.32227807793499996
ACH-000375,-0.217264830755
ACH-000376,-0.363725757672
ACH-000381,-0.35216784500500004
ACH-000383,-0.438466262479
ACH-000387,-0.430358670101
ACH-000389,-0.485989671791
ACH-000390,-0.20966709822000001
ACH-000393,-0.466681660502
ACH-000395,-0.17334342958700003
ACH-000397,-0.26844950997
ACH-000401,-0.756278049311
ACH-000402,-0.43834915943999997
ACH-000403,-0.28072389243
ACH-000404,-0.475414736073
ACH-000406,-0.314400770583
ACH-000407,-0.527309846973
ACH-000408,-0.35455036477799995
ACH-000410,-0.510906837781
ACH-000411,-0.296762864284
ACH-000414,-0.171313551657
ACH-000415,-0.296109743734
ACH-000416,-0.407686248825
ACH-000420,-0.49921749797700005
ACH-000421,-0.24662585333700002
ACH-000424,-0.389150616657
ACH-000425,-0.278470523871
ACH-000426,-0.312679911248
ACH-000427,-0.484644662532
ACH-000433,-0.524817906624
ACH-000436,-0.46099953255599996
ACH-000444,-0.32611461111900003
ACH-000445,-0.5697786476919999
