,SASH1 (23328)
ACH-000004,0.07668208570719999
ACH-000007,0.268835299345
ACH-000009,0.256391755906
ACH-000011,0.350410547449
ACH-000012,0.177305103497
ACH-000013,0.218304123402
ACH-000014,0.180810481428
ACH-000015,0.318533631838
ACH-000017,0.216592349195
ACH-000018,0.439643146861
ACH-000019,0.13496477227
ACH-000021,0.0804336260857
ACH-000022,0.371798099521
ACH-000025,0.17315194599199998
ACH-000028,0.418223935784
ACH-000030,0.233802380103
ACH-000035,0.266109777064
ACH-000036,0.269031010763
ACH-000037,0.319362846991
ACH-000039,0.118885826304
ACH-000040,0.285842003557
ACH-000041,0.143549233575
ACH-000042,0.160460735771
ACH-000045,0.314305857588
ACH-000047,0.206420802102
ACH-000052,0.269361729541
ACH-000053,0.108001235931
ACH-000054,0.269063157404
ACH-000055,0.223684300255
ACH-000060,0.20408016113400002
ACH-000067,0.30281087523899997
ACH-000070,0.18762430535900002
ACH-000075,0.159684400822
ACH-000078,0.288995890519
ACH-000082,0.207593479968
ACH-000085,0.315310992959
ACH-000086,0.325858325141
ACH-000087,0.407830439804
ACH-000092,0.192427278451
ACH-000095,0.262485303593
ACH-000097,0.257237307774
ACH-000098,0.253953557963
ACH-000099,0.222770930913
ACH-000108,0.26823234955499997
ACH-000113,0.125683093478
ACH-000115,0.20979243235800002
ACH-000116,0.246147678473
ACH-000118,0.142697549966
ACH-000120,0.11544313469
ACH-000123,0.26962835537700003
ACH-000127,0.206493883674
ACH-000128,0.35917236118900003
ACH-000132,0.36028254930200004
ACH-000133,0.30041677712299997
ACH-000137,0.226026520213
ACH-000138,0.129470516917
ACH-000142,0.160658671282
ACH-000143,0.329373402085
ACH-000146,0.20772341860500002
ACH-000148,0.15418735807700001
ACH-000150,0.16768349392999998
ACH-000152,0.454242363633
ACH-000153,0.43034122135700004
ACH-000159,0.212009941063
ACH-000160,0.416770336974
ACH-000163,0.10461312959899999
ACH-000167,-0.124450137754
ACH-000168,0.0731344651698
ACH-000169,0.281419869157
ACH-000178,0.183411836437
ACH-000182,0.231129060004
ACH-000183,0.28867197939
ACH-000188,0.192320036691
ACH-000189,0.393936474078
ACH-000190,0.12953869034
ACH-000198,0.190485133098
ACH-000204,0.198693922553
ACH-000206,0.264303985823
ACH-000207,0.038139213370300004
ACH-000211,0.284588484755
ACH-000215,0.266234654628
ACH-000221,0.376530514454
ACH-000222,0.130124575972
ACH-000223,0.15660006942399998
