,GSN (2934)
ACH-000004,0.028225595622600002
ACH-000007,-0.19032434998599998
ACH-000009,-0.143020387104
ACH-000011,0.034207786702900006
ACH-000012,-0.0478116533603
ACH-000013,-0.0368325992868
ACH-000014,0.00742979065488
ACH-000015,-0.16965782241099997
ACH-000017,0.14446139542199998
ACH-000018,0.0752721582951
ACH-000019,0.24328288380999996
ACH-000021,-0.07847032421860001
ACH-000022,-0.0907486392472
ACH-000025,-0.09139348809890001
ACH-000028,0.133557104159
ACH-000030,-0.00639285974753
ACH-000035,0.0526410189066
ACH-000036,-0.0759757736133
ACH-000037,-0.317062500072
ACH-000039,-0.09481142920590001
ACH-000040,-0.010619612339299998
ACH-000041,-0.0905700431429
ACH-000042,-0.0105475638257
ACH-000045,-0.11394729020300001
ACH-000047,-0.18461787979699998
ACH-000052,-0.108143556767
ACH-000053,-0.11179743042500001
ACH-000054,-0.0191175954547
ACH-000055,-0.0537856974771
ACH-000060,0.050642247655699996
ACH-000067,0.139487840245
ACH-000070,-0.0112634027959
ACH-000075,0.128094861545
ACH-000078,-0.12171028023600002
ACH-000082,-0.0536272632422
ACH-000085,-0.0740191881462
ACH-000086,0.0010564094563300002
ACH-000087,-0.164491888232
ACH-000092,-0.020552140418799998
ACH-000095,0.0888982507535
ACH-000097,0.0693231199115
ACH-000098,0.132887759183
ACH-000099,-0.0382063454351
ACH-000108,0.0594588967097
ACH-000113,0.088700467007
ACH-000115,0.026725207908099995
ACH-000116,0.18792398904399998
ACH-000118,-0.027512425586299998
ACH-000120,0.0317261408721
ACH-000123,0.0821065210195
ACH-000127,0.0217244608127
ACH-000128,0.134673156067
ACH-000132,-0.00836028095415
ACH-000133,-0.142604172015
ACH-000137,-0.129391717064
ACH-000138,-0.0786531510642
ACH-000142,0.107992350995
ACH-000143,-0.011353706259899999
ACH-000146,-0.0193269933972
ACH-000148,-0.167884308924
ACH-000150,0.259079131277
ACH-000152,-0.0479444380201
ACH-000153,0.16630072210400001
ACH-000159,-0.0765067961663
ACH-000160,-0.00119560820429
ACH-000163,-0.193342278373
ACH-000167,-0.131396207586
ACH-000168,-0.0481057945289
ACH-000169,0.0770681169198
ACH-000178,-0.09350658646610001
ACH-000182,-0.10111751037599999
ACH-000183,-0.136746382537
ACH-000188,-0.133087516918
ACH-000189,-0.664513553513
ACH-000190,0.13960692396
ACH-000198,-0.015329499725299999
ACH-000204,0.109676275623
ACH-000206,-0.18473587096000002
ACH-000207,-0.21119841715100002
