,NOC2L (26155)
ACH-000004,-0.573288531727
ACH-000007,-0.9325738650450001
ACH-000009,-0.7484545771529999
ACH-000011,-0.754332008295
ACH-000012,-0.823889864521
ACH-000013,-0.402034922166
ACH-000014,-0.664451259703
ACH-000015,-0.566616089107
ACH-000017,-0.545181450997
ACH-000018,-0.499967213925
ACH-000019,-0.614639071605
ACH-000021,-0.48098197586400004
ACH-000022,-0.9207748081299999
ACH-000025,-0.653369150802
ACH-000028,-0.5748358911300001
ACH-000030,-0.6858076548370001
ACH-000035,-1.15588156377
ACH-000036,-0.645949117739
ACH-000037,-0.722963829728
ACH-000039,-0.550965650472
ACH-000040,-0.791663740159
ACH-000041,-0.524381072851
ACH-000042,-0.76964971486
ACH-000045,-0.7342655239920001
ACH-000047,-0.669241717317
ACH-000052,-0.665646841732
ACH-000053,-0.632903324755
ACH-000054,-0.66977482135
ACH-000055,-0.78361761097
ACH-000060,-0.985841299646
ACH-000067,-0.6503526214109999
ACH-000070,-0.812934581201
ACH-000075,-1.0508507736100001
ACH-000078,-0.46573921875299995
ACH-000082,-0.7539166619300001
ACH-000085,-0.8141864623389999
ACH-000086,-0.562600073173
ACH-000087,-0.574030619268
ACH-000092,-0.739888626655
ACH-000095,-0.664351192659
ACH-000097,-0.693282624251
ACH-000098,-0.761951944271
ACH-000099,-0.752332333308
ACH-000108,-0.7948761857109999
ACH-000113,-0.71922213894
ACH-000115,-0.8464442981679999
ACH-000116,-0.5007616455439999
ACH-000118,-0.7205034687880001
ACH-000120,-0.634052285392
ACH-000123,-0.707770842084
ACH-000127,-0.826584845932
ACH-000128,-0.680763758531
ACH-000132,-0.629803670117
ACH-000133,-0.7452961596
ACH-000137,-0.501857194833
ACH-000138,-0.543281221592
ACH-000142,-0.893621084915
ACH-000143,-0.614044048192
ACH-000146,-0.6607486517310001
ACH-000148,-0.7077927891660001
ACH-000150,-0.8797989516760001
ACH-000152,-1.1010198040999999
ACH-000153,-0.874065067905
ACH-000159,-0.585037232384
ACH-000160,-0.355474699654
ACH-000163,-0.797615315916
ACH-000167,-0.206938306177
ACH-000168,-0.631979991652
ACH-000169,-0.655023254915
ACH-000178,-0.7921311124629999
ACH-000182,-0.734671975877
ACH-000183,-0.7411460984649999
ACH-000188,-0.725402739103
ACH-000189,-0.763810977226
ACH-000190,-0.007191788944660001
ACH-000198,-0.428374500039
ACH-000204,-0.72056465734
ACH-000206,-0.516272977413
ACH-000207,-0.40753376071599995
ACH-000211,-0.540479677471
ACH-000215,-0.579652147151
ACH-000221,-0.752946499382
ACH-000222,-0.5066841701870001
ACH-000223,-0.998113164664
ACH-000226,-0.7713124518279999
ACH-000227,-0.48073052575099995
ACH-000228,-0.536367649781
ACH-000231,-0.772960299567
ACH-000232,-0.759934876909
ACH-000233,-0.618572661732
ACH-000234,-0.598035759361
ACH-000235,-0.654915846548
ACH-000237,-0.707717281321
ACH-000238,-0.8187904246009999
ACH-000243,-0.644794998556
ACH-000244,-1.11221575012
ACH-000246,-0.7906893246660001
ACH-000248,-0.57913032563
ACH-000250,-0.760092464273
ACH-000251,-1.02105497792
ACH-000253,-0.7901548303229999
ACH-000255,-0.585828147183
ACH-000256,-0.793178378521
ACH-000257,-0.683042503231
ACH-000258,-0.728034031286
ACH-000259,-0.497238700789
ACH-000260,-0.639383603566
ACH-000261,-0.602683175378
ACH-000262,-0.7759329969600001
ACH-000263,-0.651134405758
ACH-000264,-0.704187480201
ACH-000265,-0.720871561882
ACH-000266,-0.553229542772
ACH-000272,-0.9929733659540001
ACH-000273,-0.529754775055
ACH-000274,-0.8769578929009999
ACH-000277,-0.6673574865240001
ACH-000278,-0.665226247552
ACH-000279,-0.34190633160800005
ACH-000280,-0.850014715898
ACH-000281,-0.6897359068410001
ACH-000288,-0.890790921955
ACH-000291,-0.781816936388
ACH-000293,-0.630003083828
ACH-000294,-0.37951590913500005
ACH-000295,-1.03123643007
ACH-000296,-0.5090815253909999
ACH-000302,-0.7073349023100001
ACH-000304,-0.767522749249
ACH-000307,-0.594658993668
ACH-000308,-0.550296834467
ACH-000310,-0.507871655934
ACH-000311,-0.518158403989
ACH-000312,-0.6833432959360001
ACH-000315,-0.845545715106
ACH-000316,-0.551196586945
ACH-000317,-0.748730875627
ACH-000318,-0.642504268254
ACH-000319,-0.901221972951
ACH-000320,-0.5651920333730001
ACH-000322,-1.03441150237
ACH-000323,-0.690392104024
ACH-000324,-0.701033757137
ACH-000329,-0.8498632280990001
ACH-000330,-0.9577162659720001
ACH-000331,-0.718813927678
ACH-000332,-0.630735144679
ACH-000334,-0.873414334372
ACH-000335,-0.511681012662
ACH-000336,-0.713106512849
ACH-000337,-0.704661364208
ACH-000339,-0.6072516071490001
ACH-000341,-0.604345179164
ACH-000348,-0.603755160925
ACH-000350,-0.6849862753470001
ACH-000352,-0.7321665192219999
ACH-000356,-0.80006574734
ACH-000361,-0.918949585346
ACH-000362,-0.628117337726
ACH-000363,-0.781521100666
ACH-000364,-0.8291163027940001
ACH-000365,-0.701906525794
ACH-000366,-0.7772724772859999
ACH-000368,-0.8341882513969999
ACH-000374,-0.504245704984
ACH-000375,-0.710941687244
ACH-000376,-0.66575879037
ACH-000381,-0.802658197222
ACH-000383,-0.608159834433
ACH-000387,-0.607542161126
ACH-000389,-0.8696607186249999
ACH-000390,-0.556508846604
ACH-000393,-0.726913637409
ACH-000395,-0.8447056999079999
ACH-000397,-0.71261775896
ACH-000401,-0.539912744169
ACH-000402,-0.992373771278
ACH-000403,-0.8377808259810001
ACH-000404,-0.966460548372
ACH-000406,-0.507929631439
ACH-000407,-0.634097195927
ACH-000408,-0.809816897631
ACH-000410,-0.395110810631
ACH-000411,-0.945855313916
ACH-000414,-0.6166150300209999
ACH-000415,-0.579925469882
ACH-000416,-0.6920422527850001
ACH-000420,-0.828759735943
ACH-000421,-0.8487320307520001
ACH-000424,-0.560410496041
ACH-000425,-0.763390440362
ACH-000426,-0.5943398183959999
ACH-000427,-0.668127297118
ACH-000433,-0.843976531717
ACH-000436,-0.892307810635
ACH-000444,-0.901195102094
ACH-000445,-0.690080709531
ACH-000448,-0.625408362568
ACH-000450,-0.7513804596379999
ACH-000452,-0.624316894523
ACH-000454,-0.7618180239040001
ACH-000458,-0.762043696929
ACH-000459,-0.560467022592
ACH-000460,-0.616251848019
ACH-000461,-0.74086086097
ACH-000463,-0.870310712149
ACH-000464,-0.7993924261579999
ACH-000466,-0.8392360699950001
ACH-000467,-0.644694545122
ACH-000468,-0.646540683634
ACH-000469,-0.733321628741
ACH-000470,-0.746180685871
ACH-000471,-0.476086582245
ACH-000472,-0.497379962112
ACH-000473,-0.633546948492
ACH-000475,-0.911522718585
ACH-000476,-0.540888507282
ACH-000477,-0.642967644939
ACH-000480,-0.675331896474
ACH-000481,-0.675661552233
ACH-000483,-0.7550018269329999
ACH-000484,-0.929254515404
ACH-000485,-0.694426314991
ACH-000486,-0.838052929577
ACH-000487,-0.670331291443
ACH-000488,-0.596009566535
ACH-000490,-0.793520975763
ACH-000491,-0.8028885036579999
ACH-000495,-0.826821521837
ACH-000496,-0.762056829289
ACH-000499,-0.704187605808
ACH-000500,-0.6398479227139999
ACH-000502,-0.67868853479
ACH-000503,-1.0925800608399998
ACH-000505,-0.7444670487010001
ACH-000507,-0.834122429104
ACH-000510,-0.750487155826
ACH-000511,-0.766309394701
ACH-000512,-0.226175484857
ACH-000516,-0.867139920644
ACH-000517,-0.717683137484
ACH-000518,-0.715172138298
ACH-000520,-0.7912391027169999
ACH-000521,-0.68953658756
ACH-000522,-0.829867988568
ACH-000524,-0.513969404066
ACH-000527,-0.627741524475
ACH-000528,-0.629690380733
ACH-000537,-0.8008120585040001
ACH-000541,-0.216216179845
ACH-000542,-0.8265032131929999
ACH-000544,-0.768416465769
ACH-000545,-0.832987632943
ACH-000547,-0.904299031021
ACH-000548,-0.8102380255239999
ACH-000549,-0.782797769826
ACH-000550,-0.641211878748
ACH-000552,-0.8348524165889999
ACH-000556,-0.63208433401
ACH-000557,-0.555899846928
ACH-000570,-0.70993965338
ACH-000571,-0.560709342727
ACH-000573,-0.811803708097
ACH-000576,-0.6858408765940001
ACH-000580,-0.76181352701
ACH-000584,-0.7162356139239999
ACH-000585,-0.7798008076340001
ACH-000588,-0.473943127818
ACH-000589,-0.722105911064
ACH-000591,-0.9771634500399999
ACH-000593,-0.777174787863
ACH-000600,-0.8878146205299999
ACH-000601,-0.613944548468
ACH-000604,-0.701863128126
ACH-000605,-0.798887870615
ACH-000606,-0.70458835572
ACH-000608,-0.563683309612
ACH-000614,-0.6008250535140001
ACH-000616,-0.673794658382
ACH-000618,-0.6800711186830001
ACH-000619,-0.57239113873
ACH-000620,-0.590223101435
ACH-000621,-0.566078826625
ACH-000622,-0.825007893048
ACH-000623,-0.649099707972
ACH-000624,-0.585699296813
ACH-000627,-0.748426197243
ACH-000630,-0.624366351971
ACH-000632,-0.5410635808500001
ACH-000633,-0.856519609173
ACH-000637,-0.9846147800570001
ACH-000638,-0.677201353775
ACH-000646,-0.40261303265
ACH-000647,-0.635392912036
ACH-000648,-0.54720078289
ACH-000649,-0.674745181961
ACH-000651,-0.647702516362
ACH-000652,-0.8045466236
ACH-000653,-0.6746963629170001
ACH-000657,-0.73107261883
ACH-000658,-0.38012069036799995
ACH-000661,-1.01165029075
ACH-000662,-0.504705842502
ACH-000663,-0.603932240561
ACH-000665,-0.543425790754
ACH-000671,-0.546492528491
ACH-000673,-0.5551594587309999
ACH-000676,-0.42490382881
ACH-000677,-0.998337455708
ACH-000681,-0.6201908899009999
ACH-000682,-0.81134602854
ACH-000683,-0.7411981071379999
ACH-000684,-0.774824382166
ACH-000688,-0.507294764939
ACH-000693,-0.884033171123
ACH-000694,-0.803998035007
ACH-000695,-0.652016238055
ACH-000696,-0.790236290233
ACH-000697,-0.8952996591879999
ACH-000699,-0.552013432062
ACH-000701,-0.7664115365440001
ACH-000706,-0.521346031618
ACH-000711,-0.55011518801
ACH-000713,-0.635046243993
ACH-000714,-0.38640113256700004
ACH-000718,-0.639288208798
ACH-000720,-0.602195499383
ACH-000721,-0.863267388565
ACH-000724,-0.834966867284
ACH-000725,-0.492267103711
ACH-000732,-0.755978750586
ACH-000734,-0.861702386321
ACH-000735,-0.534321822278
ACH-000736,-0.553349824086
ACH-000738,-0.701392032122
ACH-000746,-0.487540684943
