,P4HB (5034)
ACH-000004,-0.212271916251
ACH-000007,0.0273005937714
ACH-000009,-0.118658664299
ACH-000011,0.07209457100189999
ACH-000012,-0.0970625459328
ACH-000013,-0.0218513112459
ACH-000014,0.0125588072682
ACH-000015,-0.0174485329585
ACH-000017,-0.283745481307
ACH-000018,-0.156242234226
ACH-000019,-0.0671510248698
ACH-000021,-0.135274168171
ACH-000022,-0.002076425269
ACH-000025,-0.0267033003061
ACH-000028,-0.26283041022
ACH-000030,-0.0100986331786
ACH-000035,-0.0243822818777
ACH-000036,-0.10578042984
ACH-000037,-0.011432367844
ACH-000039,-0.11607285058
ACH-000040,0.0365029742726
ACH-000041,0.0541515368788
ACH-000042,-0.244725010771
ACH-000045,-0.0784828351003
ACH-000047,-0.18552570492400003
ACH-000052,-0.13804396648199999
ACH-000053,0.0747117047476
ACH-000054,-0.08207288622289999
ACH-000055,-0.127193702015
ACH-000060,-0.125997871225
ACH-000067,-0.09697688070289999
ACH-000070,0.024320361468700005
ACH-000075,0.0562481258314
ACH-000078,-0.299786723214
ACH-000082,0.021892403420199998
ACH-000085,-0.235554114739
ACH-000086,-0.000303140292256
ACH-000087,-0.21006749152100002
ACH-000092,-0.0931313761456
ACH-000095,-0.13658206429199998
ACH-000097,-0.11687253285299999
ACH-000098,0.0565703143711
ACH-000099,-0.35439142464400003
ACH-000108,-0.106029160227
ACH-000113,-0.10691664967499999
ACH-000115,0.0419839556123
ACH-000116,-0.200593742648
ACH-000118,-0.372159670679
ACH-000120,-0.347430849732
ACH-000123,-0.155753128215
ACH-000127,-0.122987793919
ACH-000128,-0.106591941346
ACH-000132,0.11842274188200001
ACH-000133,0.028578921475999997
ACH-000137,0.10478820459799999
ACH-000138,-0.14963191900800002
ACH-000142,-0.244817164745
ACH-000143,0.251319922496
ACH-000146,-0.0651718198853
ACH-000148,-0.107166868606
ACH-000150,-0.022369481978099997
ACH-000152,0.06687325784
ACH-000153,0.08337817974060001
ACH-000159,-0.21255380355999998
ACH-000160,0.380518759481
ACH-000163,-0.0456735328152
ACH-000167,0.348449754749
ACH-000168,-0.07696278798589999
ACH-000169,-0.110460195817
ACH-000178,0.0422293406374
ACH-000182,-0.319748498492
ACH-000183,0.126918903182
ACH-000188,-0.026050678475099998
ACH-000189,-0.106661552191
ACH-000190,0.12613487571100002
ACH-000198,0.09773439956260001
ACH-000204,0.344522726527
ACH-000206,0.17275794937600003
ACH-000207,-0.148361967865
ACH-000211,-0.102203033658
ACH-000215,-0.159350058273
ACH-000221,-0.069422356581
ACH-000222,-0.170952500728
ACH-000223,-0.0051550945242
ACH-000226,0.147352118024
ACH-000227,0.010182058919799999
ACH-000228,0.0609052247516
ACH-000231,0.08001198749699999
ACH-000232,0.0120572569808
ACH-000233,-0.0515476422571
ACH-000234,-0.35801560030699997
ACH-000235,-0.0671129653889
ACH-000237,-0.118705312949
ACH-000238,-0.060833192180199995
ACH-000243,-0.21015119608
ACH-000244,-0.0067458558302
ACH-000246,-0.24496075198000003
ACH-000248,-0.0163881532073
ACH-000250,-0.24960043535100002
ACH-000251,-0.310923429244
ACH-000253,-0.17042079086
ACH-000255,-0.148349481293
ACH-000256,-0.014060417016900001
ACH-000257,0.0799006083304
ACH-000258,-0.0401268485971
ACH-000259,-0.11669490712300001
ACH-000260,-0.07746123543710001
ACH-000261,-0.261536460982
ACH-000262,-0.131473127937
ACH-000263,-0.18432245645300002
ACH-000264,-0.263035065984
ACH-000265,-0.117817746726
ACH-000266,-0.174301819053
ACH-000272,-0.050887017267800004
ACH-000273,-0.0221110639528
ACH-000274,-0.155764346587
ACH-000277,-0.286621829597
ACH-000278,-0.0199198606053
ACH-000279,-0.0243607185103
ACH-000280,-0.226256913918
ACH-000281,-0.217568830588
ACH-000288,-0.0028559896685500003
ACH-000291,-0.20545245580200003
ACH-000293,0.123313574192
ACH-000294,0.116561992821
ACH-000295,-0.38432997535999996
ACH-000296,-0.0383385726168
ACH-000302,0.0260140669031
ACH-000304,-0.11806983527499999
ACH-000307,-0.0019267361068800001
ACH-000308,0.0248540638319
ACH-000310,-0.32682540110999997
ACH-000311,-0.061660028405
ACH-000312,-0.278371872736
ACH-000315,0.0978670083835
ACH-000316,-0.197916519672
ACH-000317,-0.093872217795
ACH-000318,-0.0417384637327
