,NELFE (7936)
ACH-000004,-0.698800197673
ACH-000007,-0.8353210514630001
ACH-000009,-0.497063471913
ACH-000011,-0.644396439743
ACH-000012,-0.513498196443
ACH-000013,-0.604529663702
ACH-000014,-0.583502643739
ACH-000015,-0.451043876391
ACH-000017,-0.650784890132
ACH-000018,-0.688469596763
ACH-000019,-0.6526388742679999
ACH-000021,-0.424265869388
ACH-000022,-0.547541581646
ACH-000025,-0.669651721822
ACH-000028,-0.515173662928
ACH-000030,-0.586188475459
ACH-000035,-0.523474018928
ACH-000036,-0.510096137395
ACH-000037,-0.8088515118780001
ACH-000039,-0.8415646408399999
ACH-000040,-0.503196607863
ACH-000041,-0.443328475546
ACH-000042,-0.577418225439
ACH-000045,-0.86643848219
ACH-000047,-0.539982851972
ACH-000052,-0.7673949174220001
ACH-000053,-0.46367465262199997
ACH-000054,-0.656088182155
ACH-000055,-0.476674947182
ACH-000060,-0.637496591719
ACH-000067,-0.5360006024849999
ACH-000070,-0.8379224908339999
ACH-000075,-0.664551724426
ACH-000078,-0.47103384472800003
ACH-000082,-0.5859330816780001
ACH-000085,-0.682041324875
ACH-000086,-0.507260398551
ACH-000087,-0.584090355849
ACH-000092,-0.650143538799
ACH-000095,-0.683068291806
ACH-000097,-0.49931067816299995
ACH-000098,-0.45296156649499997
ACH-000099,-0.59212087568
ACH-000108,-0.74473716282
ACH-000113,-0.482591810339
ACH-000115,-0.990501092538
ACH-000116,-0.731870982535
ACH-000118,-0.192814191237
ACH-000120,-0.664165635438
ACH-000123,-0.7402246920810001
ACH-000127,-0.513112337552
ACH-000128,-0.634398496595
ACH-000132,-0.616386402415
ACH-000133,-0.39087039105899996
ACH-000137,-0.962318204517
ACH-000138,-0.419449182656
ACH-000142,-0.5782007725230001
ACH-000143,-0.696836218275
ACH-000146,-0.243146664266
ACH-000148,-0.649680332478
ACH-000150,-0.663169210923
ACH-000152,-0.413383799772
ACH-000153,-0.261689552097
ACH-000159,-0.7699799452399999
ACH-000160,-0.384217672306
ACH-000163,-0.423991215114
ACH-000167,-0.175657817313
ACH-000168,-0.458072175373
ACH-000169,-0.5204752883389999
ACH-000178,-0.907497485401
ACH-000182,-0.696594147198
ACH-000183,-0.715761922628
ACH-000188,-0.6232225613019999
ACH-000189,-0.786541830984
ACH-000190,-0.048149841509699996
ACH-000198,-0.5191221671980001
ACH-000204,-0.6616178290320001
ACH-000206,-0.9317130390170001
ACH-000207,-0.652878864264
ACH-000211,-0.48048449375299995
ACH-000215,-0.684048404641
ACH-000221,-0.526322831872
ACH-000222,-0.6821174578300001
ACH-000223,-0.6777312483460001
ACH-000226,-0.593318698047
ACH-000227,-0.589920349921
ACH-000228,-0.6503764708399999
ACH-000231,-0.769911115184
ACH-000232,-0.710849091486
ACH-000233,-0.37425260547
ACH-000234,-0.397950508596
ACH-000235,-0.6599719811720001
ACH-000237,-0.509446416193
ACH-000238,-0.564270963886
ACH-000243,-0.537544068173
ACH-000244,-0.787691024771
ACH-000246,-0.522912027678
ACH-000248,-0.690753788632
ACH-000250,-0.464244287031
ACH-000251,-0.693273061832
ACH-000253,-0.62674010691
ACH-000255,-0.601265480762
ACH-000256,-0.708836426425
ACH-000257,-0.846066645771
ACH-000258,-0.512082001367
ACH-000259,-0.6197314083150001
ACH-000260,-0.5788147810050001
ACH-000261,-0.71346062531
ACH-000262,-0.26027837988499997
ACH-000263,-0.647106465423
ACH-000264,-0.838604566683
ACH-000265,-0.595844154462
ACH-000266,-0.669074060357
ACH-000272,-0.265313115602
ACH-000273,-0.674427685573
ACH-000274,-0.5929812584440001
ACH-000277,-0.402696555959
ACH-000278,-0.45060383444700003
ACH-000279,-0.561490802922
ACH-000280,-0.478543349964
ACH-000281,-0.44412078659599996
ACH-000288,-0.522766875932
ACH-000291,-0.49945947247199995
ACH-000293,-0.44226294292499996
ACH-000294,-0.474770609701
ACH-000295,-0.539202511981
ACH-000296,-0.669236025939
ACH-000302,-0.251253151503
ACH-000304,-0.8025773693420001
ACH-000307,-0.5517453538570001
ACH-000308,-0.687568377349
ACH-000310,-0.558318198241
ACH-000311,-0.809043377462
ACH-000312,-0.6048745964760001
ACH-000315,-1.0451115392499999
ACH-000316,-0.60540601815
ACH-000317,-0.8359576512379999
ACH-000318,-0.5896084171670001
ACH-000319,-0.464677205386
ACH-000320,-0.618614416993
ACH-000322,-0.5826295156979999
ACH-000323,-0.784910530263
ACH-000324,-0.7558416430279999
ACH-000329,-0.480064974744
ACH-000330,-0.613225153956
ACH-000331,-0.49873907355700003
ACH-000332,-0.442338802842
ACH-000334,-0.809334953225
ACH-000335,-0.561746661373
ACH-000336,-0.308819531424
ACH-000337,-0.7634181639800001
ACH-000339,-0.757719311162
ACH-000341,-0.5190831163440001
ACH-000348,-0.556671686205
ACH-000350,-0.46742412763499996
ACH-000352,-0.814855174563
ACH-000356,-0.377146033882
ACH-000361,-0.767128327225
ACH-000362,-0.463419411243
ACH-000363,-0.584340502033
ACH-000364,-0.509910908321
ACH-000365,-0.673930782907
ACH-000366,-0.514787237515
ACH-000368,-0.491418384159
ACH-000374,-0.889716545443
ACH-000375,-0.397454218573
ACH-000376,-0.6687153232899999
ACH-000381,-0.6188422077719999
ACH-000383,-0.267639136208
ACH-000387,-0.586389837783
ACH-000389,-0.7231173781039999
ACH-000390,-0.433363080844
ACH-000393,-0.5176312727
ACH-000395,-0.772225383652
ACH-000397,-0.613745241604
ACH-000401,-0.46423173616400004
ACH-000402,-0.930059037138
ACH-000403,-0.440702509261
ACH-000404,-0.772062452934
ACH-000406,-0.552061047001
ACH-000407,-0.668595685547
ACH-000408,-0.49625301722599996
ACH-000410,-0.734384073982
ACH-000411,-0.38631678703199995
ACH-000414,-0.543350834602
ACH-000415,-0.46920728475199996
ACH-000416,-0.599570328104
ACH-000420,-0.332308902993
ACH-000421,-0.816586026393
ACH-000424,-0.882610709971
ACH-000425,-0.733327872911
ACH-000426,-0.9196028783239999
ACH-000427,-0.630416369194
ACH-000433,-0.426906198305
ACH-000436,-0.6973467603129999
ACH-000444,-0.536796202441
ACH-000445,-0.518703116725
ACH-000448,-0.416246364718
ACH-000450,-0.6642891318990001
ACH-000452,-0.690092635309
ACH-000454,-0.533444216421
ACH-000458,-0.36258363692199996
ACH-000459,-0.574100977114
ACH-000460,-0.4126059439
ACH-000461,-0.6169204561020001
ACH-000463,-0.408211798874
ACH-000464,-0.879755432069
ACH-000466,-0.660432834212
ACH-000467,-0.386244111908
ACH-000468,-0.436343450946
ACH-000469,-0.393926761344
ACH-000470,-0.521977781815
ACH-000471,-0.28233670812899997
ACH-000472,-0.575478608342
ACH-000473,-0.512566618273
ACH-000475,-0.583055836673
ACH-000476,-0.62802547009
ACH-000477,-1.1023179287
ACH-000480,-0.555291600328
ACH-000481,-0.579579766906
ACH-000483,-0.7260736308660001
ACH-000484,-0.38145474604999996
ACH-000485,-0.568936497219
ACH-000486,-0.571276788342
ACH-000487,-0.656577952622
ACH-000488,-0.395560620117
ACH-000490,-0.773428482061
ACH-000491,-0.908731922255
ACH-000495,-0.588363205103
ACH-000496,-0.47804545213699995
ACH-000499,-0.40913131794600005
ACH-000500,-0.184517486762
ACH-000502,-0.40337795777900004
ACH-000503,-0.536130626624
ACH-000505,-0.685220225299
ACH-000507,-0.5605342952960001
ACH-000510,-0.38104948918399995
ACH-000511,-0.58681543309
ACH-000512,-0.5088165178890001
ACH-000516,-0.589564467798
ACH-000517,-0.68020324925
ACH-000518,-0.616870877592
ACH-000520,-0.329936225212
ACH-000521,-0.797177396203
ACH-000522,-0.543146973094
ACH-000524,-0.974018835923
ACH-000527,-0.453371882976
ACH-000528,-0.5987672798129999
ACH-000537,-0.515443335727
ACH-000541,-0.7703625862819999
ACH-000542,-0.484769666655
ACH-000544,-0.5518725087049999
ACH-000545,-0.604619687025
ACH-000547,-0.470312673113
ACH-000548,-0.435285743358
ACH-000549,-0.548767685041
ACH-000550,-0.6596129523600001
ACH-000552,-0.36820154070600003
ACH-000556,-0.804250857741
ACH-000557,-0.6857074623010001
ACH-000570,-0.778240550953
ACH-000571,-0.688030425371
ACH-000573,-0.7217180243619999
ACH-000576,-0.698327306821
