,MIPEP (4285)
ACH-000653,-0.5978409515609999
ACH-000657,-0.521607070133
ACH-000658,-0.314541239386
ACH-000661,-0.830846230289
ACH-000662,-0.401663929962
ACH-000663,-0.997452769975
ACH-000665,-0.439298942416
ACH-000671,-1.01068721289
ACH-000673,-0.104106209618
ACH-000676,-0.6999600406309999
ACH-000677,-1.32536900424
ACH-000681,-0.411220288716
ACH-000682,-0.480562019784
ACH-000683,-0.327875744747
ACH-000684,-0.533214394854
ACH-000688,-0.470472134872
ACH-000693,-0.918690053108
ACH-000694,-0.789030512509
ACH-000695,-0.553317798555
ACH-000696,-0.753542817236
ACH-000697,-0.5737741138069999
ACH-000699,-0.246371331623
ACH-000701,-0.450134576285
ACH-000706,-1.0881830287
ACH-000711,-0.373761927734
ACH-000713,-0.49201885227799996
ACH-000714,-0.276202905779
ACH-000718,-0.476207370625
ACH-000720,-0.7314664763500001
ACH-000721,-0.49048878922300004
ACH-000724,-0.139633392419
ACH-000725,-0.37519764984399995
ACH-000732,-0.8915151912070001
ACH-000734,-0.8861358414049999
ACH-000735,-0.270460688812
ACH-000736,-0.60928447706
ACH-000738,-1.16436722486
ACH-000746,-0.6426677800980001
ACH-000747,-0.858336506768
ACH-000748,-0.538745534405
ACH-000753,-0.891449161354
ACH-000756,-0.5669656932230001
ACH-000757,-0.442914093963
ACH-000758,-0.9637631351870001
ACH-000760,-0.390332754261
ACH-000763,-0.714451342221
ACH-000764,-0.473003979801
ACH-000765,-0.625729285252
ACH-000766,-0.333399739201
ACH-000767,-0.5749935225630001
ACH-000768,-0.944301366534
ACH-000769,-0.7963230254539999
ACH-000770,-0.317763376969
ACH-000771,-0.676021930009
ACH-000773,-0.205178433576
ACH-000776,-0.818054255284
ACH-000777,-0.8096484588330001
ACH-000778,-0.610387290233
ACH-000781,-0.48867502105800004
ACH-000782,-1.01133068481
ACH-000783,-0.0975757874
ACH-000784,-0.768123190984
ACH-000785,-0.36926363321
ACH-000787,-0.874098032702
ACH-000788,-0.491038058862
ACH-000791,-0.644096655191
ACH-000792,-0.37334669688199995
ACH-000794,-0.676551047364
ACH-000796,-0.310212697178
ACH-000799,-0.37408002812799995
ACH-000800,-1.03412900836
ACH-000802,-0.522797631303
ACH-000804,-0.80129119397
ACH-000805,-0.8157887487569999
ACH-000809,-0.453409307499
ACH-000810,-0.439719159454
ACH-000811,-0.38996860886600004
ACH-000817,-0.704749923629
ACH-000819,-0.5729354539320001
ACH-000820,-0.671431141641
ACH-000821,-0.625811428317
ACH-000822,-0.534432520946
ACH-000823,-0.567538498979
ACH-000824,-0.173511241991
ACH-000827,-0.322262046837
ACH-000829,-0.390848757232
ACH-000831,-0.935679785344
ACH-000832,-0.826907758089
ACH-000833,-0.549534235808
ACH-000834,-0.666744618283
ACH-000835,-0.744728779631
ACH-000836,-0.49260993632100003
ACH-000837,-0.8683739919769999
ACH-000838,-0.21703493990699999
ACH-000839,-0.533196258292
ACH-000840,-0.557285718493
ACH-000841,-0.11140280640000001
ACH-000843,-1.04254571766
ACH-000846,-0.44240831890500004
ACH-000847,-0.590042454954
ACH-000848,-0.770906618859
ACH-000849,-0.661603918047
ACH-000851,-0.847049530599
ACH-000855,-0.962719671502
ACH-000856,-0.803723521282
ACH-000858,-0.947869627332
ACH-000859,-0.7802032183750001
ACH-000861,-0.947014397904
ACH-000862,-1.0703327406299998
ACH-000865,-0.58294348416
ACH-000866,-0.82874771094
ACH-000867,-0.578383578542
ACH-000869,-0.63225452565
ACH-000872,-0.825992496653
ACH-000873,-0.8116405663240001
ACH-000876,-1.0450308849299998
ACH-000878,-0.9678256134029999
ACH-000880,-0.193411582311
ACH-000881,-0.631376661426
ACH-000882,-0.793658735445
ACH-000884,-0.718499684215
ACH-000885,-0.922895609517
ACH-000887,-0.600119325461
ACH-000888,-0.331361970815
ACH-000889,-0.823459526892
ACH-000890,-0.741495106445
