,CDK11A (728642)
ACH-000004,-0.5731983830290001
ACH-000007,-0.9070150135580001
ACH-000009,-1.07020610676
ACH-000011,-1.08725661996
ACH-000012,-1.0540030900200001
ACH-000013,-0.723483603742
ACH-000014,-0.689202351294
ACH-000015,-0.628753896684
ACH-000017,-0.6353223620849999
ACH-000018,-0.9326463295630001
ACH-000019,-0.838491077716
ACH-000021,-0.779515745774
ACH-000022,-1.0966538249200002
ACH-000025,-0.8015783469230001
ACH-000028,-0.589249867133
ACH-000030,-0.953163264112
ACH-000035,-1.03659891314
ACH-000036,-0.971102697677
ACH-000037,-1.31817699849
ACH-000039,-0.9162515422769999
ACH-000040,-0.705585093686
ACH-000041,-0.833581235232
ACH-000042,-0.858391353908
ACH-000045,-0.8664198149060001
ACH-000047,-0.837868925703
ACH-000052,-0.8392510545180001
ACH-000053,-0.8130597922789999
ACH-000054,-0.9236818956839999
ACH-000055,-0.669574578557
ACH-000060,-1.11278728699
ACH-000067,-0.67200362751
ACH-000070,-0.964428113168
ACH-000075,-0.7285657187510001
ACH-000078,-1.0922653928100001
ACH-000082,-1.18865434995
ACH-000085,-0.668045903169
ACH-000086,-0.785611440203
ACH-000087,-0.901702477168
ACH-000092,-0.855259704321
ACH-000095,-1.0653184412299999
ACH-000097,-0.9788696410959999
ACH-000098,-0.658097529064
ACH-000099,-1.3117509788
ACH-000108,-0.961474166883
ACH-000113,-1.15722303092
ACH-000115,-1.57106533074
ACH-000116,-0.7741540441570001
ACH-000118,-0.909231422049
ACH-000120,-1.1506883139
ACH-000123,-0.969312294796
ACH-000127,-1.05681615949
ACH-000128,-0.850086762367
ACH-000132,-0.8376022271670001
ACH-000133,-0.9375746037870001
ACH-000137,-0.853997517687
ACH-000138,-0.888321421736
ACH-000142,-0.9761781052949999
ACH-000143,-0.772709879967
ACH-000146,-0.8031498399279999
ACH-000148,-0.711636833829
ACH-000150,-1.11249005947
ACH-000152,-0.986792472006
ACH-000153,-0.654294005894
ACH-000159,-0.731654249407
ACH-000160,-0.8308912574099999
ACH-000163,-0.61998829331
ACH-000167,-1.43436919007
ACH-000168,-1.0349452542200002
ACH-000169,-0.9777075618880001
ACH-000178,-0.799099429636
ACH-000182,-0.612836758631
ACH-000183,-0.6186848802430001
ACH-000188,-0.958248159558
ACH-000189,-0.996022780259
ACH-000190,-0.683517117672
ACH-000198,-0.720191645494
ACH-000204,-0.7431878240979999
ACH-000206,-0.6935530444910001
ACH-000207,-0.506715162934
ACH-000211,-0.7470657043510001
ACH-000215,-0.8859877946420001
ACH-000221,-0.8254081125630001
ACH-000222,-0.928231247454
ACH-000223,-1.00627820138
ACH-000226,-0.93789669886
ACH-000227,-1.0592161147499999
ACH-000228,-0.50908578899
ACH-000231,-0.720598793576
ACH-000232,-0.775430665238
ACH-000233,-0.967973195808
ACH-000234,-1.0725665714000001
ACH-000235,-0.8963741601540001
ACH-000237,-1.0324021183
ACH-000238,-1.01345675469
ACH-000243,-0.914863374479
ACH-000244,-0.671357218582
ACH-000246,-0.977712301295
ACH-000248,-0.8845753488249999
ACH-000250,-1.0251193135799999
ACH-000251,-0.775268459237
ACH-000253,-0.7121818138410001
ACH-000255,-0.8690183166230001
ACH-000256,-0.843841316512
ACH-000257,-1.0028190092799998
ACH-000258,-0.6950113513670001
ACH-000259,-0.811942787544
ACH-000260,-0.9643397158660001
ACH-000261,-0.994396811663
ACH-000262,-0.7412801705550001
ACH-000263,-0.9018030673190001
ACH-000264,-0.9109773805050001
ACH-000265,-0.7813968454000001
ACH-000266,-0.616557081512
ACH-000272,-1.01372110583
ACH-000273,-0.814355621768
ACH-000274,-0.9206042679430001
ACH-000277,-1.39921601379
ACH-000278,-0.8624311372650001
ACH-000279,-0.962479141711
ACH-000280,-0.701082205697
ACH-000281,-0.827746143127
ACH-000288,-0.926982028836
ACH-000291,-0.9204985255060001
ACH-000293,-0.84951531594
ACH-000294,-1.3589691391299998
ACH-000295,-0.905875520512
ACH-000296,-1.2276783592899998
ACH-000302,-0.9545385045
ACH-000304,-0.728595927957
ACH-000307,-0.798953361412
ACH-000308,-0.8419496184899999
