,TOP1MT (116447)
ACH-000004,-0.0235913940563
ACH-000007,0.00587112088342
ACH-000009,0.104391989977
ACH-000011,-0.336478594846
ACH-000012,-0.16976829589200002
ACH-000013,-0.07964356996180001
ACH-000014,-0.0981233851044
ACH-000015,0.151871468607
ACH-000017,-0.17742573702199999
ACH-000018,-0.265324647611
ACH-000019,-0.117426021999
ACH-000021,0.0694868956941
ACH-000022,-0.21914362171399998
ACH-000025,-0.026467587910500003
ACH-000028,-0.18587997477499998
ACH-000030,-0.052044714485400004
ACH-000035,-0.07500737459260001
ACH-000036,-0.392381942056
ACH-000037,-0.255326190124
ACH-000039,-0.07317687789689999
ACH-000040,-0.266322570166
ACH-000041,-0.0421359011434
ACH-000042,-0.187350837746
ACH-000045,-0.25048110695
ACH-000047,-0.404694133385
ACH-000052,0.126140266003
ACH-000053,-0.136910626918
ACH-000054,-0.0885875071593
ACH-000055,-0.13042314071900002
ACH-000060,-0.35524774310699997
ACH-000067,-0.252121425509
ACH-000070,-0.013212805331
ACH-000075,-0.298281009897
ACH-000078,-0.0419980603369
ACH-000082,-0.197187110974
ACH-000085,-0.284948539287
ACH-000086,-0.210050866596
ACH-000087,0.0458185046868
ACH-000092,-0.110756829123
ACH-000095,-0.12594182126599998
ACH-000097,-0.160327131697
ACH-000098,-0.000650717494707
ACH-000099,0.0661932319712
ACH-000108,-0.35691227239900003
ACH-000113,-0.26317570538699997
ACH-000115,-0.0169912002364
ACH-000116,-0.236911617102
ACH-000118,-0.686470089784
ACH-000120,0.00593262742487
ACH-000123,-0.144754184418
ACH-000127,0.0362837446234
ACH-000128,-0.0542281006392
ACH-000132,-0.0156073686368
ACH-000133,-0.171398614454
ACH-000137,0.0849967086258
ACH-000138,-0.147726822828
ACH-000142,-0.030610394328299997
ACH-000143,-0.0649805947317
ACH-000146,-0.08416505784129999
ACH-000148,-0.171202084576
ACH-000150,-0.283965136086
ACH-000152,-0.0830293720892
ACH-000153,0.16083876077099998
ACH-000159,-0.132145441861
ACH-000160,0.0586001507099
ACH-000163,-0.26521171075399996
ACH-000167,0.45950177469400005
ACH-000168,-0.274581939501
ACH-000169,-0.246311774153
ACH-000178,-0.144876860745
ACH-000182,-0.106523197793
ACH-000183,-0.047537792824599995
ACH-000188,-0.15799618477
ACH-000189,0.18247506855099999
ACH-000190,0.386459428801
ACH-000198,-0.0629373446844
ACH-000204,-0.199129604151
ACH-000206,0.09703596657839998
ACH-000207,0.0687229904992
