,PPP1R21 (129285)
ACH-000004,0.0324478697705
ACH-000007,0.167236547909
ACH-000009,-0.05955025928280001
ACH-000011,-0.045992587953699995
ACH-000012,0.102455441558
ACH-000013,-0.0313247899427
ACH-000014,0.16233632195699998
ACH-000015,0.10083356005
ACH-000017,0.0408151596043
ACH-000018,-0.0458988028863
ACH-000019,-0.052013420922999994
ACH-000021,0.00196113281608
ACH-000022,0.016764522444
ACH-000025,-0.046838400206599996
ACH-000028,0.011199464573099999
ACH-000030,-0.0765269677376
ACH-000035,0.09782879006249999
ACH-000036,0.112524668653
ACH-000037,0.19464121583299998
ACH-000039,0.0136512795184
ACH-000040,-0.122769672508
ACH-000041,0.0217372729772
ACH-000042,-0.00762039622368
ACH-000045,-0.24659480150600002
ACH-000047,0.0008211186725980001
ACH-000052,-0.262157473276
ACH-000053,0.150315745452
ACH-000054,0.0737135639856
ACH-000055,-0.030431708372200002
ACH-000060,0.0206411730305
ACH-000067,-0.307395764065
ACH-000070,-0.472600343916
ACH-000075,0.0661892098931
ACH-000078,0.157500053868
ACH-000082,-0.037227187181599994
ACH-000085,-0.26151988073000004
ACH-000086,-0.151103740562
ACH-000087,0.208445819932
ACH-000092,-0.143313047388
ACH-000095,0.08861275843979999
ACH-000097,-0.0157040251821
ACH-000098,-0.29388119231300003
ACH-000099,0.131958653588
ACH-000108,0.0207728754046
ACH-000113,-0.192030982044
ACH-000115,0.20503630679200002
ACH-000116,-0.18763151803199998
ACH-000118,0.05403359068
ACH-000120,0.04755320339
ACH-000123,-0.0418084354733
ACH-000127,0.0146770339613
ACH-000128,0.204666909381
ACH-000132,-0.0021595569782800004
ACH-000133,-0.142050915409
ACH-000137,-0.353251577077
ACH-000138,-0.10174658403100001
ACH-000142,-0.173571662254
ACH-000143,0.014756561937
ACH-000146,-0.20021516178100002
ACH-000148,0.149299528829
ACH-000150,0.0697513279337
ACH-000152,-0.13248592669
ACH-000153,-0.340238039423
ACH-000159,-0.0513755626069
ACH-000160,-0.00228564680313
ACH-000163,-0.004305856440810001
ACH-000167,-0.46458657667099995
ACH-000168,-0.368625378557
ACH-000169,-0.0604661267705
ACH-000178,-0.09997328722269999
ACH-000182,0.0794716914277
ACH-000183,-0.0704606387061
ACH-000188,-0.0913733942753
ACH-000189,-0.35464500603200005
ACH-000190,-0.200331180938
ACH-000198,-0.282975192777
ACH-000204,-0.037030668015900006
ACH-000206,-0.414731688393
ACH-000207,-0.269997485665
ACH-000211,-0.00972848314719
ACH-000215,0.0294321744618
ACH-000221,-0.0744050837162
ACH-000222,-0.05392562290019999
ACH-000223,-0.09992943410010001
ACH-000226,0.0285359581285
ACH-000227,0.13823364256100001
ACH-000228,0.11834249170399999
ACH-000231,0.0486835064817
ACH-000232,0.0313783677777
ACH-000233,0.11261016955
ACH-000234,0.0433741686783
ACH-000235,-0.0651170323485
ACH-000237,-0.124254739353
ACH-000238,0.06486253973999999
ACH-000243,0.0711462135076
ACH-000244,-0.268126867
ACH-000246,-0.00567203433229
ACH-000248,0.20587407020999998
ACH-000250,0.0480819826068
ACH-000251,-0.298334490713
ACH-000253,-0.00395217320882
ACH-000255,-0.127127131695
ACH-000256,-0.12077919232499999
ACH-000257,-0.11919615722999999
ACH-000258,-0.010928477293
ACH-000259,0.040211192604
ACH-000260,-0.00927230675028
ACH-000261,-0.103113028665
ACH-000262,-0.032588634806
ACH-000263,-0.026637643665100002
ACH-000264,-0.18257531014199999
ACH-000265,0.046871435147699994
ACH-000266,-0.0735815748851
ACH-000272,-0.1710728063
ACH-000273,-0.06263793076719999
ACH-000274,0.00510440846312
ACH-000277,-0.216522348822
ACH-000278,-0.325395778714
ACH-000279,-0.102578793935
ACH-000280,0.0735476984877
ACH-000281,0.05503152632180001
ACH-000288,0.0034229691656099998
ACH-000291,0.09701696159180001
ACH-000293,0.0542695203533
ACH-000294,-0.5007151549459999
ACH-000295,0.0528794240265
ACH-000296,-0.22759588053899998
ACH-000302,0.0730118104643
ACH-000304,-0.16045592647600002
ACH-000307,-0.0304626156035
ACH-000308,-0.103520887411
ACH-000310,-0.0519006603731
ACH-000311,0.108350468563
ACH-000312,0.09100795061030001
ACH-000315,0.24105088893100002
ACH-000316,0.059462278505100004
ACH-000317,0.20204342474599998
ACH-000318,0.00629458340238
ACH-000319,-0.244490274301
ACH-000320,0.109235938344
ACH-000322,-0.143803517609
ACH-000323,0.013958466976700001
