,AGAP6 (414189)
ACH-000004,-0.800413481381
ACH-000007,-0.81677083097
ACH-000009,-0.913553389896
ACH-000011,-0.893449672209
ACH-000012,-0.884498529507
ACH-000013,-0.710244179261
ACH-000014,-0.7137637837720001
ACH-000015,-0.902548765101
ACH-000017,-0.6584420016229999
ACH-000018,-0.786814164965
ACH-000019,-0.7093894267290001
ACH-000021,-0.737202609323
ACH-000022,-0.588288100106
ACH-000025,-0.8040616395450001
ACH-000028,-0.769559694395
ACH-000030,-0.845729409889
ACH-000035,-0.9204759273630001
ACH-000036,-0.841647697234
ACH-000037,-0.564198801777
ACH-000039,-0.959738867249
ACH-000040,-0.990129518283
ACH-000041,-0.802929135596
ACH-000042,-0.9378562626989999
ACH-000045,-0.657648423844
ACH-000047,-0.6823978920389999
ACH-000052,-0.730040999601
ACH-000053,-0.975915323895
ACH-000054,-0.620270777814
ACH-000055,-0.6568360359000001
ACH-000060,-0.519164616166
ACH-000067,-0.9495065146899999
ACH-000070,-0.715749005097
ACH-000075,-0.657241574964
ACH-000078,-0.847971920974
ACH-000082,-0.750178622615
ACH-000085,-0.6013799912259999
ACH-000086,-0.799761671485
ACH-000087,-0.7114251210760001
ACH-000092,-0.893409775636
ACH-000095,-1.04467339973
ACH-000097,-0.66531165632
ACH-000098,-0.9612721877420001
ACH-000099,-0.989091737395
ACH-000108,-0.798725839329
ACH-000113,-0.840229183043
ACH-000115,-0.804405686152
ACH-000116,-0.709586535477
ACH-000118,-0.9222818734
ACH-000120,-0.826542526601
ACH-000123,-0.811903573846
ACH-000127,-0.825980350932
ACH-000128,-0.826066542033
ACH-000132,-0.8908644673780001
ACH-000133,-0.661816115898
ACH-000137,-0.841469549712
ACH-000138,-0.825582841526
ACH-000142,-0.637578228122
ACH-000143,-0.554282105198
ACH-000146,-0.6113568855039999
ACH-000148,-0.8617754615180001
ACH-000150,-0.835434304842
ACH-000152,-0.83883299542
ACH-000153,-0.7009160986030001
ACH-000159,-0.94267973192
ACH-000160,-1.18952896314
ACH-000163,-0.728941361375
ACH-000167,-1.26568068317
ACH-000168,-0.48862207193999996
ACH-000169,-0.799436131452
ACH-000178,-0.7143334112720001
ACH-000182,-0.691813888677
ACH-000183,-0.544043067161
ACH-000188,-0.8281924009720001
ACH-000189,-0.7915028103399999
ACH-000190,-0.365833142057
ACH-000198,-0.8929532818700001
ACH-000204,-0.660514467143
ACH-000206,-0.805029374995
ACH-000207,-0.8789964714040001
ACH-000211,-0.9593389193
ACH-000215,-0.743949820224
ACH-000221,-0.636174783922
ACH-000222,-0.8623099615109999
ACH-000223,-0.8297086090019999
ACH-000226,-0.8214205818170001
ACH-000227,-1.0126606117399999
ACH-000228,-0.97790471971
ACH-000231,-0.836118728968
ACH-000232,-0.902714784793
ACH-000233,-0.965993261236
ACH-000234,-0.640559947283
ACH-000235,-0.870308123501
ACH-000237,-0.698372683328
ACH-000238,-0.538094193731
ACH-000243,-0.828949539175
ACH-000244,-1.0477468558399998
ACH-000246,-0.772270286436
ACH-000248,-0.6094339040510001
ACH-000250,-0.691089835964
ACH-000251,-0.728554491658
ACH-000253,-1.0371284379299999
ACH-000255,-0.7677366690690001
ACH-000256,-0.812368896549
ACH-000257,-0.752566408559
ACH-000258,-1.24919291986
ACH-000259,-0.746760333399
ACH-000260,-0.626155665946
ACH-000261,-0.831113243471
ACH-000262,-0.740983950941
ACH-000263,-1.25131422496
ACH-000264,-0.852991413004
ACH-000265,-0.869019797121
ACH-000266,-0.8469929281849999
ACH-000272,-1.09895433575
ACH-000273,-0.854100697279
ACH-000274,-0.848271309102
ACH-000277,-0.645611472519
ACH-000278,-0.40156313879600003
ACH-000279,-0.821797336962
ACH-000280,-0.853661847247
ACH-000281,-0.55355653218
ACH-000288,-0.8514806905
ACH-000291,-0.7407108909469999
ACH-000293,-1.01646250169
ACH-000294,-0.974831909254
ACH-000295,-1.42715716421
ACH-000296,-0.9573615340189999
ACH-000302,-0.691883499454
ACH-000304,-0.296926991426
ACH-000307,-0.628493034583
ACH-000308,-0.667156873475
ACH-000310,-1.17505800581
ACH-000311,-1.06473769089
ACH-000312,-0.810068740882
ACH-000315,-0.880230706335
ACH-000316,-0.723814711565
