,SZT2 (23334)
ACH-000004,-0.275205849228
ACH-000007,-0.41391038754799997
ACH-000009,-0.513017289645
ACH-000011,-0.167807095209
ACH-000012,-0.47942383920000003
ACH-000013,-0.301966897359
ACH-000014,0.12978866665799998
ACH-000015,-0.0296743861437
ACH-000017,-0.0344348954699
ACH-000018,-0.131483788351
ACH-000019,-0.129168121999
ACH-000021,-0.179190303949
ACH-000022,-0.130497389984
ACH-000025,-0.119895569861
ACH-000028,-0.313242379897
ACH-000030,-0.196451336619
ACH-000035,-0.148267567171
ACH-000036,0.220804825466
ACH-000037,0.152482346076
ACH-000039,-0.415037712518
ACH-000040,-0.18837841234799999
ACH-000041,-0.359502120736
ACH-000042,-0.0387750478316
ACH-000045,-0.0678003718255
ACH-000047,-0.12496024057399999
ACH-000052,-0.199717401156
ACH-000053,-0.0797645141081
ACH-000054,-0.297662015618
ACH-000055,-0.589415700279
ACH-000060,-0.200503148805
ACH-000067,-0.20802470549899998
ACH-000070,0.162173240032
ACH-000075,-0.111904938708
ACH-000078,-0.34384956897600005
ACH-000082,-0.115472643508
ACH-000085,-0.00684652473446
ACH-000086,-0.0748202074016
ACH-000087,-0.29396654726599997
ACH-000092,-0.164497268792
ACH-000095,-0.16909044260899997
ACH-000097,-0.129345059201
ACH-000098,-0.124908436312
ACH-000099,-0.21793202177499998
ACH-000108,-0.267805202293
ACH-000113,-0.0786230788482
ACH-000115,0.504614138527
ACH-000116,0.0940287995276
ACH-000118,-0.329005279733
ACH-000120,-0.376847900369
ACH-000123,-0.441898531818
ACH-000127,-0.193180828714
ACH-000128,-0.108837899155
ACH-000132,0.10856404767200001
ACH-000133,0.0313527154739
ACH-000137,-0.564995652788
ACH-000138,0.022879909361900003
ACH-000142,-0.243461692832
ACH-000143,0.0961200178991
ACH-000146,-0.479902516818
ACH-000148,-0.0935511140133
ACH-000150,-0.199861566196
ACH-000152,-0.12372840622999999
ACH-000153,-0.364333479138
ACH-000159,-0.202068621266
ACH-000160,-0.09995282010399999
ACH-000163,0.0886174506846
ACH-000167,0.202355374103
ACH-000168,-0.380454989722
ACH-000169,-0.222786756818
ACH-000178,-0.00833941476983
ACH-000182,-0.0580194429621
ACH-000183,-0.0422588850461
ACH-000188,-0.4290828388699999
ACH-000189,-0.101123563475
ACH-000190,-0.322229147893
ACH-000198,-0.187289929971
ACH-000204,-0.0128318968835
ACH-000206,-0.0859662479222
ACH-000207,-0.14525500676699998
ACH-000211,-0.13952599993599998
ACH-000215,-0.06209838467
ACH-000221,-0.507132987399
ACH-000222,-0.185287789918
ACH-000223,-0.0832875359087
ACH-000226,-0.210526750567
ACH-000227,-0.21298496557
ACH-000228,-0.157177265585
ACH-000231,-0.201293052223
ACH-000232,0.021005918237799997
ACH-000233,-0.246236704057
ACH-000234,-0.138541623269
ACH-000235,-0.13119123282
ACH-000237,5.38921981862e-05
ACH-000238,-0.47969947366099996
ACH-000243,-0.18538002158300002
ACH-000244,0.27681814615
ACH-000246,-0.275557557723
ACH-000248,-0.215671503543
ACH-000250,-0.157145154535
ACH-000251,-0.0608098655303
ACH-000253,-0.135344559129
ACH-000255,-0.412903392991
ACH-000256,0.0187303711303
ACH-000257,-0.251022754206
ACH-000258,-0.345063392879
ACH-000259,-0.212202535735
ACH-000260,-0.276617667836
ACH-000261,-0.0545293895485
ACH-000262,-0.18660090643899999
ACH-000263,-0.07255046231060001
ACH-000264,-0.17600641962699998
ACH-000265,-0.15105869008199999
ACH-000266,-0.114672720385
ACH-000272,-0.161302067319
ACH-000273,0.0392927608759
ACH-000274,-0.269916161127
ACH-000277,-0.216554585707
ACH-000278,0.00428027539078
ACH-000279,-0.054462818609
ACH-000280,-0.297582438723
ACH-000281,-0.131398532228
ACH-000288,-0.026080682882099998
ACH-000291,-0.22621369226399998
ACH-000293,0.0890797652729
ACH-000294,-0.42222716735699994
ACH-000295,0.309626625967
ACH-000296,-0.309110751654
ACH-000302,-0.36740614280999995
ACH-000304,-0.0147662382045
ACH-000307,-0.29004192347
ACH-000308,-0.222950038876
ACH-000310,-0.164870030078
ACH-000311,-0.27650503658799996
ACH-000312,-0.519181500196
ACH-000315,0.106310749614
ACH-000316,-0.634637382853
ACH-000317,-0.303311486788
ACH-000318,-0.416652802052
ACH-000319,-0.0631949487844
ACH-000320,-0.552103073864
ACH-000322,-0.259413477986
ACH-000323,-0.355314449846
ACH-000324,-0.200118702694
ACH-000329,-0.257866724757
ACH-000330,-0.156229065408
ACH-000331,-0.0794099239227
ACH-000332,-0.154986395292
ACH-000334,-0.011394704681
ACH-000335,-0.148923630078
ACH-000336,-0.244716642217
ACH-000337,-0.130351492927
ACH-000339,-0.08415504119799999
ACH-000341,0.0866369104414
ACH-000348,-0.152152852704
ACH-000350,-0.0627851346723
ACH-000352,-0.106599229307
ACH-000356,-0.29410307604200003
ACH-000361,-0.425573855031
ACH-000362,-0.204577972147
ACH-000363,0.256735718623
ACH-000364,-0.26997388801600003
ACH-000365,-0.144568602462
ACH-000366,0.35149301161200003
ACH-000368,-0.11549342104100001
ACH-000374,-0.0491188465316
