,OR4C6 (219432)
ACH-000460,-0.0690111084123
ACH-000461,0.00766406075133
ACH-000463,0.22784048661400003
ACH-000464,0.0868200646025
ACH-000466,-0.00635801370273
ACH-000467,-0.0709989604672
ACH-000468,-0.175077160354
ACH-000469,-0.111740832104
ACH-000470,-0.034597305326699995
ACH-000471,0.014776254818899999
ACH-000472,0.08229117404689999
ACH-000473,-0.0920576186693
ACH-000475,-0.07136305379169999
ACH-000476,-0.190094674116
ACH-000477,0.0404722844158
ACH-000480,-0.256154963151
ACH-000481,-0.132204471519
ACH-000483,-0.18119148349800002
ACH-000484,0.111638278114
ACH-000485,-0.0309822911385
ACH-000486,-0.090208330439
ACH-000487,0.0338075438041
ACH-000488,0.023458220295599998
ACH-000490,-0.06750931915019999
ACH-000491,0.174770748937
ACH-000495,-0.04370820087669999
ACH-000496,-0.21328688939399998
ACH-000499,-0.110564446231
ACH-000500,0.518869415788
ACH-000502,0.010784974833200001
ACH-000503,0.08071129841860002
ACH-000505,-0.05813191068
ACH-000507,-0.0158664456809
ACH-000510,-0.04283008598159999
ACH-000511,-0.07837251211789999
ACH-000512,-0.005998797221649999
ACH-000516,-0.0035136168495199997
ACH-000517,-0.0626443351119
ACH-000518,0.0932846544485
ACH-000520,-0.13944522103
ACH-000521,0.0016618753868299998
ACH-000522,-0.23285380158000005
ACH-000524,-0.0734310139496
ACH-000527,-0.0670857653984
ACH-000528,-0.126944196127
ACH-000537,0.010806078171399999
ACH-000541,-0.168369288971
ACH-000542,0.044777945426000006
ACH-000544,-0.130573794316
ACH-000545,0.00090512291014
ACH-000547,-0.0470690099541
ACH-000548,-0.22668031542599998
ACH-000549,0.0735473089243
ACH-000550,-0.0643939085838
ACH-000552,0.009030323744049999
ACH-000556,0.102866742838
ACH-000557,0.169447065855
ACH-000570,-0.106918165622
ACH-000571,-0.199546397587
ACH-000573,-0.0185162151783
ACH-000576,-0.030856004885800002
ACH-000580,-0.0195453285925
ACH-000584,-0.0898410972827
ACH-000585,-0.01002090908
ACH-000588,-0.07712777470269999
ACH-000589,0.0290846397523
ACH-000591,0.0881726889801
ACH-000593,-0.010140476763700002
ACH-000600,-0.0271826420903
ACH-000601,-0.0470017881728
ACH-000604,0.0903674165983
ACH-000605,0.00685335254692
ACH-000606,-0.191807983435
ACH-000608,-0.0941812129572
ACH-000614,0.128815508158
ACH-000616,0.0350564129688
ACH-000618,-0.10325551833300001
ACH-000619,-0.10131220464299999
ACH-000620,0.080328196723
ACH-000621,-0.0138779433731
ACH-000622,-0.009661404094620001
ACH-000623,-0.18209159135800002
ACH-000624,-0.012772534475100001
ACH-000627,0.0659270359504
ACH-000630,-0.00969363158502
ACH-000632,-0.0788263708075
ACH-000633,-0.018838773418599998
ACH-000637,-0.18067119967599998
ACH-000638,-0.113631619748
ACH-000646,-0.080517477605
ACH-000647,-0.10138652383199999
ACH-000648,-0.0703113734487
ACH-000649,-0.060194459455199995
ACH-000651,0.11172919577
ACH-000652,-0.11469802037999999
ACH-000653,-0.093692773036
ACH-000657,-0.0261706373225
ACH-000658,-0.0401893133754
ACH-000661,-0.093737742049
ACH-000662,-0.346629592236
ACH-000663,0.101938706382
ACH-000665,-0.141492293068
ACH-000671,0.00911747492518
ACH-000673,-0.020422749101900003
ACH-000676,0.049760855935500004
ACH-000677,-0.180364598223
ACH-000681,0.09635579001669999
ACH-000682,0.025238490416700003
ACH-000683,-0.141840943537
ACH-000684,-0.0668369617379
ACH-000688,0.11535532503799999
ACH-000693,0.048315710538999995
ACH-000694,-0.038929223506800004
ACH-000695,-0.155451025448
ACH-000696,0.07213688198439999
ACH-000697,-0.155063229997
ACH-000699,-0.015166992692100001
ACH-000701,-0.0807766802224
ACH-000706,0.00428223895297
ACH-000711,0.09836306568219999
ACH-000713,-0.013470378433600001
ACH-000714,-0.281771103796
ACH-000718,-0.171453546394
ACH-000720,0.011146505311000001
ACH-000721,-0.0182786078329
ACH-000724,0.172547338572
ACH-000725,0.0360926168909
ACH-000732,-0.160911090581
ACH-000734,-0.280655459264
ACH-000735,-0.112061667415
ACH-000736,0.0496771439243
ACH-000738,-0.019480520783200003
ACH-000746,-0.254331094721
ACH-000747,-0.165490098172
ACH-000748,-0.274271834783
ACH-000753,0.0159346803478
ACH-000756,-0.0241096308292
ACH-000757,-0.0544716781356
ACH-000758,-0.171605222136
ACH-000760,-0.13060219644999999
ACH-000763,-0.19799113972399998
ACH-000764,-0.22233342826299998
ACH-000765,0.048894561525800004
ACH-000766,-0.05775346678780001
ACH-000767,0.0928928610513
ACH-000768,0.0442562679646
ACH-000769,-0.101934833167
ACH-000770,0.0168911891366
ACH-000771,-0.044468665776699993
ACH-000773,0.025573648859900003
ACH-000776,0.012211116015099999
ACH-000777,-0.0166001636529
ACH-000778,-0.165342900589
ACH-000781,-0.133836978541
ACH-000782,0.0163722539656
ACH-000783,-0.07179230827580001
ACH-000784,0.12855753206700002
ACH-000785,-0.08240460045749999
ACH-000787,-0.068098299061
ACH-000788,0.0293944694515
ACH-000791,-0.202653485047
ACH-000792,0.06652745146790001
ACH-000794,-0.243801028856
ACH-000796,-0.16822441272
ACH-000799,-0.24203116562
ACH-000800,-0.0150887999627
ACH-000802,0.024317796713799997
ACH-000804,-0.291783235214
ACH-000805,0.0974282044767
ACH-000809,0.0654859101821
ACH-000810,-0.0986354554278
ACH-000811,-0.059931750815900006
ACH-000817,-0.317545568766
ACH-000819,-0.0547600685097
ACH-000820,0.407924802545
ACH-000821,0.028465860688900002
ACH-000822,-0.0640912390675
ACH-000823,-0.112308600777
ACH-000824,0.0286354652484
ACH-000827,-0.0667958181754
ACH-000829,0.07922551997
ACH-000831,-0.111784224388
ACH-000832,-0.14050470926300002
ACH-000833,-0.10006648131899999
ACH-000834,-0.18712448457000003
ACH-000835,0.057275742985500006
ACH-000836,-0.13490260337
ACH-000837,0.136615656088
ACH-000838,-0.062265911099199996
ACH-000839,-0.246334000625
ACH-000840,-0.19282015858100002
ACH-000841,-0.09657672434260002
ACH-000843,0.0398915608621
ACH-000846,0.00846459807334
ACH-000847,-0.026087050852000002
ACH-000848,0.138731432342
ACH-000849,0.17860255533799999
ACH-000851,-0.0109338152908
ACH-000855,0.0881842000617
ACH-000856,-0.133798117463
ACH-000858,-0.126974013209
ACH-000859,-0.116678292053
ACH-000861,-0.0026988973669299994
ACH-000862,0.00634794979354
ACH-000865,-0.21894361149
ACH-000866,-0.047430715281699995
ACH-000867,-0.102457574864
ACH-000869,-0.050308424527000004
ACH-000872,-0.050351270515400004
ACH-000873,-0.043629232474199996
ACH-000876,-0.0864100559886
ACH-000878,0.0898179517851
ACH-000880,-0.0850272715237
