,SFPQ (6421)
ACH-000004,-1.3926226866100002
ACH-000007,-1.3646257543
ACH-000009,-1.613160427
ACH-000011,-1.60901473033
ACH-000012,-1.7209025742500001
ACH-000013,-1.59661564316
ACH-000014,-1.77243578551
ACH-000015,-1.5156920127700002
ACH-000017,-2.11073363568
ACH-000018,-1.09915063414
ACH-000019,-1.65310187086
ACH-000021,-1.6533211001299999
ACH-000022,-1.7299963610299998
ACH-000025,-1.4112402664800001
ACH-000028,-1.44195188122
ACH-000030,-1.4066884906700001
ACH-000035,-1.25348294704
ACH-000036,-1.29206276761
ACH-000037,-1.8806077077
ACH-000039,-1.8214623610499998
ACH-000040,-1.32771779626
ACH-000041,-1.44001012865
ACH-000042,-1.6749401155599999
ACH-000045,-1.77646682307
ACH-000047,-1.5710028690200002
ACH-000052,-1.2332064402399998
ACH-000053,-1.56078908063
ACH-000054,-1.53874014231
ACH-000055,-1.8280289400799998
ACH-000060,-1.8093133001900001
ACH-000067,-1.27507966755
ACH-000070,-1.64723376109
ACH-000075,-1.3961660474899997
ACH-000078,-1.89897062632
ACH-000082,-1.63120292753
ACH-000085,-1.37110595178
ACH-000086,-1.15742557995
ACH-000087,-1.3419040347700002
ACH-000092,-1.4069776022299998
ACH-000095,-1.69726791536
ACH-000097,-1.4808553246899998
ACH-000098,-1.5141663245200003
ACH-000099,-2.09029961517
ACH-000108,-1.3260659458600002
ACH-000113,-1.9238670829700002
ACH-000115,-2.06915452572
ACH-000116,-1.73192761883
ACH-000118,-1.3839950992899999
ACH-000120,-1.60911058073
ACH-000123,-1.6801831155200002
ACH-000127,-1.49900984374
ACH-000128,-1.41592677257
ACH-000132,-1.38536894736
ACH-000133,-1.5776979579799997
ACH-000137,-1.2983749901700001
ACH-000138,-1.7823119576599997
ACH-000142,-1.29603325484
ACH-000143,-1.4796256405700001
ACH-000146,-2.26680491367
ACH-000148,-1.3992204872
ACH-000150,-1.4614210756000001
ACH-000152,-0.9645598591329999
ACH-000153,-1.05355262623
ACH-000159,-1.6029799359399999
ACH-000160,-1.04003550515
ACH-000163,-1.40752968271
ACH-000167,-1.6130823739200002
ACH-000168,-1.32756084486
ACH-000169,-1.44893736662
ACH-000178,-1.53339082563
ACH-000182,-1.6075279607100001
ACH-000183,-1.9020411695200001
ACH-000188,-1.70608222868
ACH-000189,-1.2950092688200001
ACH-000190,-1.00357947978
ACH-000198,-1.8369792094
ACH-000204,-1.6387323876299997
ACH-000206,-1.8344915774400001
ACH-000207,-1.9758528937200002
ACH-000211,-1.2228019996500001
ACH-000215,-1.46603048292
ACH-000221,-1.5082041370700001
ACH-000222,-1.54644718336
ACH-000223,-1.75408050515
ACH-000226,-1.7194096289400003
ACH-000227,-2.19413615656
ACH-000228,-1.51954486104
ACH-000231,-1.22598543006
ACH-000232,-1.5177866580300001
ACH-000233,-1.94910241522
ACH-000234,-1.67952637114
ACH-000235,-1.7076990742200002
ACH-000237,-1.64396483261
ACH-000238,-1.8492683218900001
ACH-000243,-1.75063478157
ACH-000244,-1.1950227539899998
ACH-000246,-1.88379670268
ACH-000248,-1.50637102893
ACH-000250,-1.8049686199700001
ACH-000251,-1.8479998511400002
ACH-000253,-1.4727117474399998
ACH-000255,-1.32123811968
ACH-000256,-1.81325033646
ACH-000257,-1.4134883148700002
ACH-000258,-0.943652494854
ACH-000259,-1.82920060979
ACH-000260,-1.56454256596
ACH-000261,-1.56464965382
ACH-000262,-1.5972586962
ACH-000263,-1.80609240875
ACH-000264,-1.5070982566600002
ACH-000265,-1.57590767747
ACH-000266,-1.41581328768
ACH-000272,-1.36809734093
