,FNBP1 (23048)
ACH-000004,-0.131879615171
ACH-000007,0.08613458311370001
ACH-000009,-0.23275931304900002
ACH-000011,-0.194479588783
ACH-000012,-0.0905425318822
ACH-000013,-0.229661455989
ACH-000014,-0.168928678393
ACH-000015,-0.292063134945
ACH-000017,-0.005603821401600001
ACH-000018,-0.14673523563100002
ACH-000019,-0.216104945082
ACH-000021,-0.216454698758
ACH-000022,-0.113023238402
ACH-000025,-0.10987014367900001
ACH-000028,-0.05987493881849999
ACH-000030,-0.18540508012
ACH-000035,-0.0630483117103
ACH-000036,0.00811916764505
ACH-000037,-0.0816449460211
ACH-000039,-0.219446391042
ACH-000040,-0.146324206654
ACH-000041,-0.172676248719
ACH-000042,-0.34775923846699996
ACH-000045,-0.0063089776695299995
ACH-000047,-0.08402223967389999
ACH-000052,-0.251758137069
ACH-000053,-0.12426627801899999
ACH-000054,-0.21719753687899998
ACH-000055,-0.18111341390900002
ACH-000060,-0.20242046323600002
ACH-000067,-0.250150632698
ACH-000070,-0.121249513337
ACH-000075,-0.07195071640760001
ACH-000078,-0.274857221973
ACH-000082,-0.0847235595285
ACH-000085,-0.0834974639187
ACH-000086,-0.16116379547499998
ACH-000087,-0.167184701655
ACH-000092,-0.0011196360136900001
ACH-000095,-0.0723919062115
ACH-000097,-0.195161904239
ACH-000098,-0.12392024583599999
ACH-000099,-0.169263566629
ACH-000108,-0.211552377563
ACH-000113,-0.052896256358
ACH-000115,-0.17341385092300002
ACH-000116,-0.038146388015
ACH-000118,-0.151253623113
ACH-000120,-0.15052339510399998
ACH-000123,-0.162914827663
ACH-000127,-0.0790803403015
ACH-000128,-0.063836325745
ACH-000132,0.025717419880099998
ACH-000133,0.0215670848886
ACH-000137,-0.224105727912
ACH-000138,-0.20359067269099998
ACH-000142,-0.0893588198057
ACH-000143,-0.0469101524701
ACH-000146,-0.12317776892000001
ACH-000148,-0.125766817783
ACH-000150,-0.12109026049699999
ACH-000152,-0.039837823003
ACH-000153,-0.257037058225
ACH-000159,-0.165056879141
ACH-000160,-0.235962599595
ACH-000163,-0.179981363832
ACH-000167,-0.236762802993
ACH-000168,-0.121205002326
ACH-000169,-0.130061581358
ACH-000178,-0.0839889494425
ACH-000182,-0.167931791825
ACH-000183,-0.0392370105515
ACH-000188,-0.21734611159400002
ACH-000189,0.199911515669
ACH-000190,0.0204988316165
ACH-000198,-0.325794570813
ACH-000204,-0.271812845533
ACH-000206,-0.178299319647
ACH-000207,-0.187466763767
