,URB2 (9816)
ACH-000004,-0.7255043850149999
ACH-000007,-0.898926303777
ACH-000009,-0.775859351766
ACH-000011,-0.7420595028679999
ACH-000012,-0.745236955553
ACH-000013,-0.7293419249140001
ACH-000014,-0.678106065876
ACH-000015,-0.705456909321
ACH-000017,-0.7209371257160001
ACH-000018,-0.802298352356
ACH-000019,-0.453916716081
ACH-000021,-0.8038115509489999
ACH-000022,-0.607256475792
ACH-000025,-0.867634153436
ACH-000028,-0.462841585968
ACH-000030,-0.724689073558
ACH-000035,-1.20224538083
ACH-000036,-0.7584817353990001
ACH-000037,-0.526293714427
ACH-000039,-0.861349970853
ACH-000040,-0.8173319166490001
ACH-000041,-0.635391864083
ACH-000042,-0.741888357268
ACH-000045,-0.910176618012
ACH-000047,-0.911487984046
ACH-000052,-0.8799838651299999
ACH-000053,-0.7614984263060001
ACH-000054,-0.732802090686
ACH-000055,-0.7795629104520001
ACH-000060,-0.6352349247219999
ACH-000067,-0.6120717667769999
ACH-000070,-0.635341674789
ACH-000075,-0.927148734194
ACH-000078,-0.615625280458
ACH-000082,-0.859642537927
ACH-000085,-0.714100431276
ACH-000086,-1.07120701198
ACH-000087,-0.5716425655430001
ACH-000092,-0.593815855448
ACH-000095,-0.6841869167649999
ACH-000097,-0.754955238442
ACH-000098,-0.6916048821520001
ACH-000099,-0.677420452821
ACH-000108,-0.7947785027169999
ACH-000113,-0.44370470736699996
ACH-000115,-0.596538734627
ACH-000116,-0.6195792620180001
ACH-000118,-0.6973207591889999
ACH-000120,-0.771824746973
ACH-000123,-0.677960805141
ACH-000127,-0.542911831808
ACH-000128,-1.0
ACH-000132,-0.730086246416
ACH-000133,-1.02712919904
ACH-000137,-0.9081901573200001
ACH-000138,-0.663053940175
ACH-000142,-0.719659357935
ACH-000143,-0.7822070869359999
ACH-000146,-0.562132425003
ACH-000148,-0.745708782289
ACH-000150,-0.32440501429
ACH-000152,-0.7873849339569999
ACH-000153,-0.774513854211
ACH-000159,-0.628770180759
ACH-000160,-0.7685727151549999
ACH-000163,-0.7092716754970001
ACH-000167,-0.7762864837989999
ACH-000168,-0.759074380209
ACH-000169,-0.680108248285
ACH-000178,-0.742394445519
ACH-000182,-0.70659460473
ACH-000183,-0.641244435857
ACH-000188,-0.636340782283
ACH-000189,-0.714506429675
ACH-000190,-0.939418364185
ACH-000198,-0.66111965783
ACH-000204,-1.24683294146
ACH-000206,-0.613044054986
ACH-000207,-0.641210173073
ACH-000211,-0.700815084497
ACH-000215,-0.848458980076
ACH-000221,-0.7795166756209999
ACH-000222,-0.894204700973
ACH-000223,-0.762324240693
ACH-000226,-0.721831919865
ACH-000227,-0.672332627507
ACH-000228,-0.9234735412720001
ACH-000231,-0.75082602067
ACH-000232,-0.546953929508
ACH-000233,-0.428107665017
ACH-000234,-0.6154693773600001
ACH-000235,-0.568959691111
ACH-000237,-0.9172965447579999
ACH-000238,-0.734056195054
ACH-000243,-0.7149541271269999
ACH-000244,-0.67150163746
ACH-000246,-0.6900230789899999
ACH-000248,-0.7380252411339999
ACH-000250,-0.828945249743
ACH-000251,-1.14178606752
ACH-000253,-0.622858239408
ACH-000255,-0.806733729557
ACH-000256,-0.610050193265
ACH-000257,-0.8072261014409999
ACH-000258,-0.6558930512960001
ACH-000259,-0.59864939945
ACH-000260,-0.5775228512839999
ACH-000261,-0.625612393984
ACH-000262,-0.459208318146
ACH-000263,-0.446298049153
ACH-000264,-0.712042238775
ACH-000265,-0.708726461804
ACH-000266,-0.883831023292
ACH-000272,-0.665704092276
ACH-000273,-0.852714796136
ACH-000274,-0.614801667263
ACH-000277,-0.610630948516
ACH-000278,-0.731369689529
ACH-000279,-0.579876609201
ACH-000280,-0.9908486839689999
ACH-000281,-1.00773483609
ACH-000288,-0.7048046295010001
ACH-000291,-0.572718117094
ACH-000293,-0.49483135726899996
ACH-000294,-0.353591885668
ACH-000295,-1.19204742345
ACH-000296,-0.783271113661
ACH-000302,-0.654226428868
ACH-000304,-0.775742454173
ACH-000307,-0.658176359487
ACH-000308,-0.589695042114
ACH-000310,-0.8183415699500001
ACH-000311,-0.800264158863
ACH-000312,-0.669068638986
ACH-000315,-0.675415949609
ACH-000316,-0.7455231651090001
ACH-000317,-0.588262000132
ACH-000318,-0.6649425174229999
ACH-000319,-0.786989467245
ACH-000320,-1.00452100056
ACH-000322,-0.862123927069
ACH-000323,-0.8236375744760001
ACH-000324,-0.654261540499
ACH-000329,-0.706811794875
ACH-000330,-0.500758686415
ACH-000331,-0.627849634204
ACH-000332,-0.793813160008
ACH-000334,-0.45967744800800003
ACH-000335,-0.798884520895
ACH-000336,-0.720606061372
ACH-000337,-0.9067330300859999
ACH-000339,-0.659886206214
ACH-000341,-0.712471562374
ACH-000348,-0.663506523332
ACH-000350,-0.586720390178
ACH-000352,-0.61817048608
ACH-000356,-1.20784519578
ACH-000361,-1.12629530514
ACH-000362,-0.5934943661559999
ACH-000363,-0.564989478924
ACH-000364,-0.9383358562980001
ACH-000365,-0.820637428863
ACH-000366,-0.7664008537100001
ACH-000368,-0.771460893968
ACH-000374,-0.27412442337299997
ACH-000375,-0.789018687408
ACH-000376,-0.654015497344
ACH-000381,-0.8198846312190001
ACH-000383,-0.729279476392
ACH-000387,-0.7601231610950001
ACH-000389,-0.942416792068
ACH-000390,-0.598613446192
ACH-000393,-0.7573994511669999
ACH-000395,-0.602772148091
ACH-000397,-0.795456555531
ACH-000401,-0.37874082289000005
ACH-000402,-0.60689336656
ACH-000403,-0.667212206061
ACH-000404,-0.855008397814
ACH-000406,-0.776716287363
ACH-000407,-0.454759151124
ACH-000408,-0.567990787274
ACH-000410,-0.991818796531
ACH-000411,-0.6259356050079999
ACH-000414,-0.665182980927
ACH-000415,-0.6433138106
ACH-000416,-0.814043359249
ACH-000420,-0.826897324734
ACH-000421,-0.752665993704
ACH-000424,-0.614300264297
ACH-000425,-0.864331817308
ACH-000426,-0.489571737266
ACH-000427,-0.586156356541
ACH-000433,-0.62669002577
ACH-000436,-0.700671900103
ACH-000444,-0.613401877066
ACH-000445,-0.833469578337
ACH-000448,-0.6568370030749999
ACH-000450,-0.8664676933930001
ACH-000452,-0.7099018809630001
ACH-000454,-0.7562640161640001
ACH-000458,-0.7493295190870001
ACH-000459,-0.559394125603
ACH-000460,-0.797733981384
ACH-000461,-1.0184036701999999
ACH-000463,-0.5294683911770001
ACH-000464,-0.747478608774
ACH-000466,-0.5636095131759999
ACH-000467,-0.780235456113
ACH-000468,-1.2685657991
ACH-000469,-0.6288715025
ACH-000470,-0.8076526082879999
ACH-000471,-0.934102380775
ACH-000472,-0.6773684741930001
ACH-000473,-0.8331116128910001
ACH-000475,-0.5287085698690001
ACH-000476,-0.42018138544399997
ACH-000477,-0.567358574557
ACH-000480,-0.9545498548739999
ACH-000481,-0.846231227178
ACH-000483,-0.576381581406
ACH-000484,-0.866888215501
ACH-000485,-0.77224410935
ACH-000486,-0.7086581362890001
ACH-000487,-0.640564642418
ACH-000488,-0.641691216733
ACH-000490,-0.824473158048
ACH-000491,-0.672352453976
ACH-000495,-0.844259047391
ACH-000496,-0.998706985447
ACH-000499,-1.0113404575
ACH-000500,-0.680911879029
ACH-000502,-0.696422420495
ACH-000503,-0.922392813936
ACH-000505,-0.983972888167
ACH-000507,-0.8204262990790001
ACH-000510,-1.00722577713
ACH-000511,-0.7424456898209999
ACH-000512,-0.640951985817
ACH-000516,-0.815104538184
ACH-000517,-0.405988942518
ACH-000518,-0.8843568418619999
ACH-000520,-0.7239673288249999
ACH-000521,-0.804100816051
ACH-000522,-0.638064667084
ACH-000524,-0.476824504729
ACH-000527,-0.868991872306
ACH-000528,-0.5760184392050001
ACH-000537,-0.808852746084
ACH-000541,-0.38810571675899996
ACH-000542,-0.965369073667
ACH-000544,-0.6853750972849999
ACH-000545,-0.608478065385
ACH-000547,-0.838262729693
ACH-000548,-0.760719443022
ACH-000549,-0.7845697364059999
ACH-000550,-0.963898185854
ACH-000552,-0.529143208518
ACH-000556,-0.605774632439
ACH-000557,-0.599137896653
ACH-000570,-0.890425624912
ACH-000571,-0.836347412631
ACH-000573,-0.58837151905
ACH-000576,-0.588837753164
ACH-000580,-1.03483944134
ACH-000584,-0.8171053663519999
ACH-000585,-0.703192183689
ACH-000588,-0.7910930288860001
ACH-000589,-0.8715267341680001
ACH-000591,-0.6747177702670001
ACH-000593,-0.643367979846
ACH-000600,-0.623897862425
ACH-000601,-0.67498878764
ACH-000604,-0.318847569328
ACH-000605,-0.639340380499
ACH-000606,-0.740072549091
ACH-000608,-0.590141790538
ACH-000614,-0.96594227744
ACH-000616,-0.960908380483
ACH-000618,-0.8089939725740001
ACH-000619,-0.5516593063840001
ACH-000620,-0.6041416714469999
ACH-000621,-0.711710583625
ACH-000622,-0.320192933413
ACH-000623,-0.618986690597
ACH-000624,-0.543024061715
ACH-000627,-1.0162409374099999
ACH-000630,-0.7722744298499999
ACH-000632,-0.632601333035
ACH-000633,-0.7943865593359999
ACH-000637,-0.8544475079739999
ACH-000638,-0.479194284358
ACH-000646,-0.876749598611
ACH-000647,-0.692318935995
ACH-000648,-0.457753486319
ACH-000649,-0.7669971409020001
ACH-000651,-0.852866859359
ACH-000652,-0.8108641440800001
ACH-000653,-0.9042674101739999
ACH-000657,-0.8082645753929999
ACH-000658,-0.640447239072
ACH-000661,-0.707892925613
ACH-000662,-0.444268441502
ACH-000663,-0.8773655731919999
ACH-000665,-0.6773102545919999
ACH-000671,-0.605551840492
ACH-000673,-1.0510482462200001
ACH-000676,-1.1066428617200001
ACH-000677,-0.642252047889
ACH-000681,-0.5785357346600001
ACH-000682,-1.0611782173100002
ACH-000683,-0.73889626053
ACH-000684,-0.581095436489
ACH-000688,-0.47670172465800004
ACH-000693,-0.554928794881
ACH-000694,-0.6655910968909999
ACH-000695,-0.8839627292309999
ACH-000696,-0.5938631314899999
ACH-000697,-0.819598444865
ACH-000699,-0.446837814318
ACH-000701,-0.40560012095700004
