,DAP3 (7818)
ACH-000004,-0.362224196484
ACH-000007,-0.43357954032799995
ACH-000009,-0.8543283381579999
ACH-000011,-0.187849928083
ACH-000012,-0.912669735215
ACH-000013,-0.545021157647
ACH-000014,-0.647924603929
ACH-000015,-0.735473656013
ACH-000017,-0.438004826119
ACH-000018,-0.6741673196510001
ACH-000019,-0.789131328271
ACH-000021,-0.565582581876
ACH-000022,-0.6950573562669999
ACH-000025,-0.6866691786139999
ACH-000028,-0.56697764757
ACH-000030,-0.615411156375
ACH-000035,-0.894093637737
ACH-000036,-0.36090482021
ACH-000037,-0.680752846354
ACH-000039,-0.912717833786
ACH-000040,-0.281559071205
ACH-000041,-0.561874993482
ACH-000042,-0.331690145206
ACH-000045,-0.698525752428
ACH-000047,-0.643598343686
ACH-000052,-0.36751998504100003
ACH-000053,-0.48775023914800003
ACH-000054,-0.649877111787
ACH-000055,-0.627123898326
ACH-000060,-0.333413492663
ACH-000067,-0.334813673501
ACH-000070,-0.6337260827560001
ACH-000075,-0.468917325928
ACH-000078,-0.628470067779
ACH-000082,-0.35228910313
ACH-000085,-0.39803116735399996
ACH-000086,-0.930204896385
ACH-000087,-0.467132625349
ACH-000092,-0.517513551933
ACH-000095,-0.396780791677
ACH-000097,-0.399695603503
ACH-000098,-0.562006752819
ACH-000099,-0.541727155976
ACH-000108,-0.61478539326
ACH-000113,-0.596961358518
ACH-000115,-0.499307784525
ACH-000116,-0.665121541722
ACH-000118,-0.802885125943
ACH-000120,-0.576469240401
ACH-000123,-0.663107202976
ACH-000127,-0.668164410268
ACH-000128,-0.882948616706
ACH-000132,-0.518380597841
ACH-000133,-0.478320878089
ACH-000137,-0.416606296947
ACH-000138,-0.65290563541
ACH-000142,-0.442364160916
ACH-000143,-0.6734991402760001
ACH-000146,-0.499150855628
ACH-000148,-0.590685882903
ACH-000150,-1.05223451914
ACH-000152,-0.5134088033209999
ACH-000153,-0.9134130505679999
ACH-000159,-0.620767668153
ACH-000160,-0.647994391437
ACH-000163,-0.7506744361200001
ACH-000167,-0.523639619551
ACH-000168,-0.38158572923
ACH-000169,-0.598165201123
ACH-000178,-0.49910193216399995
ACH-000182,-0.734386803929
ACH-000183,-0.415434036088
ACH-000188,-0.647835274344
ACH-000189,-0.795306473662
ACH-000190,-0.983030883082
ACH-000198,-0.59498121942
ACH-000204,-0.736923832047
ACH-000206,-0.172910710359
ACH-000207,-0.617753158363
ACH-000211,-0.494290107724
ACH-000215,-0.7770133643889999
ACH-000221,-0.623115847128
ACH-000222,-0.60449826423
ACH-000223,-0.6940735431489999
ACH-000226,-0.488303419819
ACH-000227,-0.7088038639640001
ACH-000228,-0.55211003052
ACH-000231,-0.44463186846999997
