,ESPL1 (9700)
ACH-000004,-1.78210048643
ACH-000007,-1.5092124712000001
ACH-000009,-1.87620153963
ACH-000011,-1.62063959852
ACH-000012,-1.7364037475999998
ACH-000013,-1.95076769039
ACH-000014,-1.97779913154
ACH-000015,-1.8107965192900002
ACH-000017,-1.75505655755
ACH-000018,-1.2998333432200002
ACH-000019,-1.67807040568
ACH-000021,-1.7646987301800001
ACH-000022,-1.815100631
ACH-000025,-1.63751212268
ACH-000028,-1.5278029541299998
ACH-000030,-1.70601988072
ACH-000035,-1.74636614885
ACH-000036,-1.60407024206
ACH-000037,-0.7472482692899999
ACH-000039,-2.07052000958
ACH-000040,-1.51603878381
ACH-000041,-2.1982190486200004
ACH-000042,-1.9611361268
ACH-000045,-1.7946276798599998
ACH-000047,-1.56001432412
ACH-000052,-1.8960293683099998
ACH-000053,-1.6842484266100002
ACH-000054,-1.7720538970900002
ACH-000055,-1.6327375878200001
ACH-000060,-1.90675394808
ACH-000067,-1.65925289465
ACH-000070,-1.62316311604
ACH-000075,-1.6520482677700001
ACH-000078,-1.9521622438400001
ACH-000082,-1.66311866284
ACH-000085,-1.69702212728
ACH-000086,-1.50728125896
ACH-000087,-1.8408042586099997
ACH-000092,-1.7035801858700002
ACH-000095,-2.05528068464
ACH-000097,-1.90442606018
ACH-000098,-1.77999524275
ACH-000099,-1.74224023868
ACH-000108,-1.58982412875
ACH-000113,-1.8850402013999998
ACH-000115,-2.2031294155200003
ACH-000116,-1.7595931390700001
ACH-000118,-1.76598671506
ACH-000120,-1.96847168287
ACH-000123,-1.87648040308
ACH-000127,-1.6351846354
ACH-000128,-1.8149189286400003
ACH-000132,-1.91757162243
ACH-000133,-1.8491124514300001
ACH-000137,-1.6532505621
ACH-000138,-1.7424626658900002
ACH-000142,-1.56697424042
ACH-000143,-1.70356480407
ACH-000146,-2.21691342635
ACH-000148,-1.9766495852300001
ACH-000150,-1.58466104789
ACH-000152,-1.78561358102
ACH-000153,-2.06391867863
ACH-000159,-1.75253850097
ACH-000160,-1.45578170213
ACH-000163,-1.83747836732
ACH-000167,-1.5481961949399998
ACH-000168,-1.93023509366
ACH-000169,-1.70277862334
ACH-000178,-1.7834114620900001
