,TBCA (6902)
ACH-000004,-1.19748529154
ACH-000007,-0.790072842985
ACH-000009,-0.7817396086489999
ACH-000011,-1.10643418003
ACH-000012,-0.861527118425
ACH-000013,-0.998638034956
ACH-000014,-1.2462880787200001
ACH-000015,-1.13297455652
ACH-000017,-0.761701847732
ACH-000018,-0.985236895562
ACH-000019,-1.65487831799
ACH-000021,-1.01197693142
ACH-000022,-0.9887440624539999
ACH-000025,-0.9207918132709999
ACH-000028,-1.41654196799
ACH-000030,-1.2449686123100001
ACH-000035,-0.633595269341
ACH-000036,-1.14554200893
ACH-000037,-1.3845439843399998
ACH-000039,-1.45348422266
ACH-000040,-1.01749053045
ACH-000041,-1.36182959265
ACH-000042,-1.29696301996
ACH-000045,-1.1840437457100002
ACH-000047,-1.01306500585
ACH-000052,-0.919511634712
ACH-000053,-0.989711769025
ACH-000054,-0.960169479957
ACH-000055,-1.17143366335
ACH-000060,-1.0907058842200001
ACH-000067,-1.01112930396
ACH-000070,-0.857886195291
ACH-000075,-0.987741719908
ACH-000078,-1.2210093742700001
ACH-000082,-0.978062349395
ACH-000085,-1.1937197820999998
ACH-000086,-0.964929874807
ACH-000087,-0.998964793131
ACH-000092,-0.7078068084260001
ACH-000095,-1.03315101748
ACH-000097,-1.04494448703
ACH-000098,-1.07659676585
ACH-000099,-1.20766732599
ACH-000108,-0.855976264788
ACH-000113,-0.9815187521250001
ACH-000115,-0.4456752304
ACH-000116,-1.34403275305
ACH-000118,-0.962068582291
ACH-000120,-1.19318999574
ACH-000123,-1.0971796617799998
ACH-000127,-1.1827798575
ACH-000128,-0.907474276895
ACH-000132,-1.18273216823
ACH-000133,-1.15181091749
ACH-000137,-1.15147201951
ACH-000138,-1.15905541749
ACH-000142,-0.9764008140070001
ACH-000143,-0.9005297377320001
ACH-000146,-1.2623165053299998
ACH-000148,-1.34743473528
ACH-000150,-1.1311521663500002
ACH-000152,-1.01699864756
ACH-000153,-1.0002211442
ACH-000159,-0.5854846586219999
ACH-000160,-1.25744206295
ACH-000163,-1.20248973699
ACH-000167,-1.32043066759
ACH-000168,-0.935194542752
ACH-000169,-1.22827270679
ACH-000178,-1.0134908845000001
ACH-000182,-0.35237185005000005
ACH-000183,-0.976528187112
ACH-000188,-1.11087995187
ACH-000189,-0.68753412212
ACH-000190,-1.30987096285
ACH-000198,-0.938182370563
ACH-000204,-1.4451450269600001
ACH-000206,-1.1901186178399998
ACH-000207,-1.0337293507799998
ACH-000211,-1.05078247283
ACH-000215,-0.843421865522
ACH-000221,-1.09656884608
ACH-000222,-1.00164120804
ACH-000223,-0.886172359429
ACH-000226,-1.0081156648799998
ACH-000227,-0.641598645349
ACH-000228,-1.20129713737
ACH-000231,-0.8751989141299998
ACH-000232,-0.9651093939480001
ACH-000233,-1.22936639749
ACH-000234,-0.9448193457549999
ACH-000235,-0.8131117443189999
ACH-000237,-1.0016982060500002
ACH-000238,-1.28785969334
ACH-000243,-1.22983983797
ACH-000244,-0.884915206844
ACH-000246,-0.9744142242280001
ACH-000248,-1.07750847846
ACH-000250,-0.961589213986
ACH-000251,-0.980468854394
ACH-000253,-0.9494028636040001
ACH-000255,-1.0292871673200001
ACH-000256,-1.23175948562
ACH-000257,-1.22987562404
ACH-000258,-0.743802771731
ACH-000259,-1.13417355316
ACH-000260,-1.14655119537
ACH-000261,-1.2021867408
ACH-000262,-1.03028452763
ACH-000263,-1.30737550852
ACH-000264,-1.60069877039
ACH-000265,-1.1214018798799998
ACH-000266,-1.11493296077
ACH-000272,-1.01880362705
ACH-000273,-0.910238699103
ACH-000274,-1.00904110075
ACH-000277,-0.882676657396
ACH-000278,-0.8508659828020001
ACH-000279,-1.3328121289700001
ACH-000280,-1.11320628688
ACH-000281,-1.0036709156899999
ACH-000288,-0.951843865001
ACH-000291,-1.13697524425
ACH-000293,-0.572394697464
ACH-000294,-1.3668263627000001
ACH-000295,-0.9254770488930001
ACH-000296,-0.69940562729
ACH-000302,-1.17935408052
ACH-000304,-0.63601859569
ACH-000307,-1.11296175904
ACH-000308,-0.821685384872
ACH-000310,-1.0336242208
ACH-000311,-1.02251125493
ACH-000312,-1.132185576
ACH-000315,-1.32235987073
ACH-000316,-0.791100022229
ACH-000317,-1.01279313751
ACH-000318,-1.01432417531
ACH-000319,-1.1668045619299998
ACH-000320,-1.22205108236
ACH-000322,-0.7215187970170001
ACH-000323,-1.0538018331499999
ACH-000324,-1.07907673942
ACH-000329,-1.25128836285
ACH-000330,-1.1396405319399998
ACH-000331,-1.02132525699
ACH-000332,-0.9554881411589999
ACH-000334,-1.05106359404
ACH-000335,-1.00399856033
ACH-000336,-0.733801338223
ACH-000337,-1.12682338926
ACH-000339,-0.888213384912
ACH-000341,-0.997251288566
ACH-000348,-0.9551898246989999
ACH-000350,-0.9446826554440001
ACH-000352,-0.9799639187960001
ACH-000356,-0.9297353674240001
ACH-000361,-1.07990952857
ACH-000362,-1.1000211604
ACH-000363,-0.687652925008
ACH-000364,-0.884454215216
ACH-000365,-0.926157062805
ACH-000366,-0.940429787556
ACH-000368,-0.982790748579
ACH-000374,-0.9347306867990001
ACH-000375,-0.805791737528
ACH-000376,-0.790853306492
ACH-000381,-0.8816512655390001
ACH-000383,-0.8823344299889999
ACH-000387,-0.732726003669
ACH-000389,-1.2676777763299998
ACH-000390,-1.2197713651200002
ACH-000393,-1.48226209318
ACH-000395,-0.742069999329
ACH-000397,-0.984720146803
ACH-000401,-0.969393182044
ACH-000402,-0.9881209322390001
ACH-000403,-0.775849363627
ACH-000404,-1.19876396588
ACH-000406,-1.05810060964
ACH-000407,-1.04191788993
ACH-000408,-1.32970773934
ACH-000410,-0.9832066323499999
ACH-000411,-1.11060419436
ACH-000414,-1.08263538266
ACH-000415,-1.1627048564
ACH-000416,-0.968257187561
ACH-000420,-1.03777740255
ACH-000421,-0.935518999296
ACH-000424,-1.04076212313
ACH-000425,-0.9118758168619999
ACH-000426,-1.12635371795
ACH-000427,-0.9833142969069999
ACH-000433,-0.9370205136669999
ACH-000436,-1.6386283824899999
ACH-000444,-1.0888750306200001
ACH-000445,-0.7521697337090001
ACH-000448,-1.24250704412
ACH-000450,-0.8834279227390001
ACH-000452,-0.9196020071780001
ACH-000454,-1.02158312663
ACH-000458,-0.9566415770730001
ACH-000459,-1.02957978305
ACH-000460,-0.991591453011
ACH-000461,-0.927665298115
ACH-000463,-0.940900350653
ACH-000464,-1.01118773827
ACH-000466,-1.0755160430700001
ACH-000467,-1.0315023464700002
ACH-000468,-0.561443959348
ACH-000469,-0.941147512253
ACH-000470,-0.878345409243
ACH-000471,-0.7764649342669999
ACH-000472,-0.891865129491
ACH-000473,-1.38719048003
ACH-000475,-1.21670937301
ACH-000476,-1.23741861117
ACH-000477,-1.27541213395
ACH-000480,-1.01684287154
ACH-000481,-0.885562907811
ACH-000483,-0.7920833689460001
ACH-000484,-0.740810749899
ACH-000485,-0.9544905672480001
ACH-000486,-0.9491847322370001
ACH-000487,-1.03482881719
ACH-000488,-0.962351234734
ACH-000490,-1.0983027722299998
ACH-000491,-0.6535954880179999
ACH-000495,-0.6550722036500001
ACH-000496,-1.11791642625
ACH-000499,-1.0424987694
ACH-000500,-0.593118449562
ACH-000502,-0.938841232695
ACH-000503,-1.41514826248
ACH-000505,-1.1229306769399998
ACH-000507,-1.01843293033
ACH-000510,-1.03537582739
ACH-000511,-1.1726920528
ACH-000512,-1.0976364157
ACH-000516,-0.9947454487720001
ACH-000517,-1.16344262125
ACH-000518,-1.14791595518
ACH-000520,-1.00288449647
ACH-000521,-0.939024981707
ACH-000522,-0.997746082841
ACH-000524,-0.991818529382
ACH-000527,-0.9125129717389999
ACH-000528,-0.9229144712080001
ACH-000537,-1.05442930688
ACH-000541,-1.10720442916
ACH-000542,-0.9990329060299998
ACH-000544,-0.885199676445
ACH-000545,-1.18537610832
ACH-000547,-1.08849618448
ACH-000548,-1.17777747994
ACH-000549,-1.04264245444
ACH-000550,-1.19661290958
ACH-000552,-0.8824986845430001
ACH-000556,-0.932441669309
ACH-000557,-0.449944162582
ACH-000570,-1.13235104908
ACH-000571,-1.2211954375299998
ACH-000573,-1.10904180019
ACH-000576,-1.42550148364
ACH-000580,-0.522760101017
ACH-000584,-0.912328879287
ACH-000585,-1.33397884317
ACH-000588,-1.13679808605
ACH-000589,-0.904745993062
ACH-000591,-0.8366500298639999
ACH-000593,-1.0588889327600002
ACH-000600,-0.623921191933
ACH-000601,-1.0188675827200002
ACH-000604,-0.474877071499
ACH-000605,-1.25870039186
ACH-000606,-1.07140490215
ACH-000608,-0.479032342258
ACH-000614,-0.7878982596969999
ACH-000616,-1.2091074372200001
ACH-000618,-1.17678062696
ACH-000619,-1.02579523016
