,CRX (1406)
ACH-000004,-0.317505806237
ACH-000007,-0.306992970627
ACH-000009,-0.398447760708
ACH-000011,-0.18228281485199999
ACH-000012,-0.19438171811799998
ACH-000013,-0.458434460633
ACH-000014,-0.39772892733000004
ACH-000015,-0.573214870394
ACH-000017,-0.138302705194
ACH-000018,-0.320614965761
ACH-000019,-0.25571280378600003
ACH-000021,-0.333580641041
ACH-000022,-0.428728656681
ACH-000025,-0.0860009301382
ACH-000028,-0.29364325773600003
ACH-000030,-0.34971509895499997
ACH-000035,-0.34149616919799997
ACH-000036,0.0033683474091
ACH-000037,-0.0102995347151
ACH-000039,0.0335088234005
ACH-000040,-0.0896351257033
ACH-000041,-0.311063376462
ACH-000042,-0.207587980576
ACH-000045,-0.316285019198
ACH-000047,-0.30483581197799997
ACH-000052,-0.299166175841
ACH-000053,-0.6804929013680001
ACH-000054,-0.260479651175
ACH-000055,-0.027108522063599996
ACH-000060,-0.204993553651
ACH-000067,-0.129657896573
ACH-000070,-0.385281553555
ACH-000075,-0.0916077123683
ACH-000078,-0.0312115867084
ACH-000082,-0.155230089081
ACH-000085,-0.41076878705799996
ACH-000086,-0.340298721609
ACH-000087,-0.283665438146
ACH-000092,-0.322638979276
ACH-000095,-0.274433550481
ACH-000097,-0.340609566039
ACH-000098,-0.384214105416
ACH-000099,-0.245076136735
ACH-000108,-0.30856925692299997
ACH-000113,-0.268240106325
ACH-000115,-0.652211845987
ACH-000116,-0.344139419983
ACH-000118,-0.25643512679499997
ACH-000120,-0.0702822900391
ACH-000123,-0.344340281661
ACH-000127,-0.344927688354
ACH-000128,-0.200428300634
ACH-000132,-0.206126516554
ACH-000133,-0.28275429067499996
ACH-000137,-0.661653177999
ACH-000138,-0.45974140150700005
ACH-000142,-0.591912332735
ACH-000143,-0.313317389724
ACH-000146,-0.377331361935
ACH-000148,-0.36712516823299995
ACH-000150,-0.392491740504
ACH-000152,-0.394974569569
ACH-000153,-0.368358846989
ACH-000159,-0.39966384180299996
ACH-000160,-0.45480415109
ACH-000163,-0.33338419398499997
ACH-000167,-0.22499491194600002
ACH-000168,-0.43976515882
ACH-000169,-0.12040460648
ACH-000178,-0.267897827269
ACH-000182,-0.225972512018
ACH-000183,-0.37912687760200003
ACH-000188,-0.274430962691
ACH-000189,-0.676617561705
ACH-000190,-0.261308317938
ACH-000198,-0.29660958785
ACH-000204,-0.09629120899839999
ACH-000206,-0.173081526703
ACH-000207,-0.235558520841
ACH-000211,-0.28035717458799997
ACH-000215,-0.16883592374
ACH-000221,-0.386664997981
ACH-000222,-0.257468920274
ACH-000223,-0.17328964925
ACH-000226,-0.182303796379
ACH-000227,0.024980041106599998
ACH-000228,-0.307773372084
ACH-000231,-0.228744528282
ACH-000232,-0.223207561695
ACH-000233,-0.270452578491
ACH-000234,-0.276146675587
ACH-000235,-0.343079499894
ACH-000237,-0.38312357195600005
ACH-000238,-0.22847880995
ACH-000243,-0.20158301688799998
ACH-000244,-0.0642144062686
ACH-000246,-0.249453042914
ACH-000248,-0.213106081358
ACH-000250,-0.24343067450300002
ACH-000251,-0.0954737617901
ACH-000253,-0.301982156462
ACH-000255,-0.438595405126
ACH-000256,-0.13727819480999998
ACH-000257,-0.526143875619
ACH-000258,-0.053510367053199996
ACH-000259,-0.20095946969300002
ACH-000260,-0.18996783982299997
ACH-000261,-0.20095998701099999
ACH-000262,-0.5994072920100001
ACH-000263,-0.439222335616
ACH-000264,-0.105550498179
ACH-000265,-0.33493547539900004
ACH-000266,-0.367973411921
ACH-000272,-0.21513288667199998
ACH-000273,-0.19863517891899998
ACH-000274,-0.34325240893
ACH-000277,-0.264117011236
ACH-000278,-0.26982129826400003
ACH-000279,-0.36711455051700004
ACH-000280,-0.692428987622
ACH-000281,-0.0725563683502
ACH-000288,-0.195917420262
ACH-000291,-0.38136421505199997
ACH-000293,-0.27719196549
ACH-000294,-0.737184782404
ACH-000295,-0.35480762667099996
ACH-000296,-0.36316153434500004
ACH-000302,-0.578782078765
ACH-000304,-0.304921832645
ACH-000307,-0.211470040375
ACH-000308,-0.43498884829400003
ACH-000310,-0.0213426684282
ACH-000311,-0.15091961023
ACH-000312,-0.269999917071
ACH-000315,-0.37076005929
ACH-000316,-0.06346115111469999
ACH-000317,-0.117552840597
ACH-000318,-0.414419723172
ACH-000319,-0.37424931069
ACH-000320,-0.022843689479900002
ACH-000322,0.00044301979360000007
ACH-000323,-0.418091354963
ACH-000324,-0.225613012907
ACH-000329,-0.310161050524
ACH-000330,-0.18932991252099998
ACH-000331,-0.268208010368
ACH-000332,-0.28793045819
ACH-000334,-0.47482999888899996
ACH-000335,-0.04857256631159999
ACH-000336,-0.571474751326
ACH-000337,-0.08431902707010001
ACH-000339,-0.178430694102
ACH-000341,-0.41469447614200006
ACH-000348,-0.30538152427799997
ACH-000350,-0.33062774185800003
ACH-000352,-0.341057653499
ACH-000356,-0.308765654703
ACH-000361,-0.22254972630199998
ACH-000362,-0.310203431921
ACH-000363,-0.234751513697
ACH-000364,-0.255488135704
ACH-000365,-0.35861560998899994
ACH-000366,-0.372068345389
ACH-000368,-0.171865469914
ACH-000374,-0.23905290259300002
ACH-000375,0.0096846777556
ACH-000376,-0.143695730962
ACH-000381,-0.296662324527
ACH-000383,-0.325193692321
ACH-000387,-0.173593181871
ACH-000389,-0.314428278567
ACH-000390,-0.374941787264
ACH-000393,-0.102938600591
ACH-000395,-0.256655537216
ACH-000397,-0.294083517051
ACH-000401,-0.270398002742
ACH-000402,-0.264808586494
ACH-000403,-0.205712224134
ACH-000404,-0.27069356801800004
ACH-000406,-0.217615999571
ACH-000407,-0.28755358138799997
ACH-000408,-0.403969596949
ACH-000410,-0.299571207656
ACH-000411,-0.246693616724
ACH-000414,-0.319211699221
ACH-000415,-0.161890707159
ACH-000416,-0.275609101203
ACH-000420,-0.33247648496599996
ACH-000421,-0.169886211573
ACH-000424,-0.190503269507
ACH-000425,-0.23236725959
ACH-000426,-0.324331516915
ACH-000427,-0.304280163668
ACH-000433,-0.312596350806
ACH-000436,-0.293606434325
ACH-000444,-0.232083388453
ACH-000445,-0.301532649988
ACH-000448,-0.331075071801
ACH-000450,-0.394253271043
ACH-000452,-0.28586689755399997
ACH-000454,-0.0329121532945
ACH-000458,-0.529195404709
ACH-000459,-0.425258957627
ACH-000460,-0.418787736227
ACH-000461,-0.31457388779
ACH-000463,-0.150221396201
ACH-000464,-0.204001160832
ACH-000466,-0.43234406207500004
ACH-000467,-0.0743410332622
ACH-000468,-0.228707403064
ACH-000469,-0.32230527157
ACH-000470,-0.34440636462800006
ACH-000471,-0.39469848303599997
ACH-000472,-0.294178871654
