,NCAPH2 (29781)
ACH-000004,-0.984066654508
ACH-000007,-1.28254872401
ACH-000009,-0.275778323715
ACH-000011,-0.753643223265
ACH-000012,-1.24671860675
ACH-000013,-1.08532257699
ACH-000014,-1.30858427495
ACH-000015,-1.1206501601999999
ACH-000017,-1.163054945
ACH-000018,-0.995847034979
ACH-000019,-1.1771818727299999
ACH-000021,-1.20062207664
ACH-000022,-0.471690522664
ACH-000025,-1.02208841815
ACH-000028,-0.9819466619249999
ACH-000030,-1.344038998
ACH-000035,-1.2607874680700002
ACH-000036,-1.08265432229
ACH-000037,-0.999245913582
ACH-000039,-0.814196022711
ACH-000040,-1.09292954716
ACH-000041,-0.938657677423
ACH-000042,-1.4973185475
ACH-000045,-1.06273167177
ACH-000047,-1.12405567729
ACH-000052,-1.24300607491
ACH-000053,-0.33827797354199995
ACH-000054,-1.39366506657
ACH-000055,-1.33104476538
ACH-000060,-1.54641974907
ACH-000067,-1.45947955753
ACH-000070,-0.890044134727
ACH-000075,-1.4300087213100001
ACH-000078,-0.9672914186799999
ACH-000082,-1.18687414322
ACH-000085,-0.980688579756
ACH-000086,-1.17542110157
ACH-000087,-0.794137824051
ACH-000092,-1.41630861725
ACH-000095,-1.12844779
ACH-000097,-1.54605244875
ACH-000098,-1.6064878789500001
ACH-000099,-1.02729353326
ACH-000108,-0.859027594946
ACH-000113,-1.01565247823
ACH-000115,-0.695843799208
ACH-000116,-0.637511251936
ACH-000118,-0.876661803667
ACH-000120,-0.934321952627
ACH-000123,-0.9042626372700001
ACH-000127,-0.7691609189569999
ACH-000128,-1.14032512665
ACH-000132,-1.20694748271
ACH-000133,-1.4233940498
ACH-000137,-1.01700846369
ACH-000138,-0.795659792908
ACH-000142,-0.40801087954000004
ACH-000143,-0.9524946605969999
ACH-000146,-0.876291633839
ACH-000148,-1.17396311492
ACH-000150,-1.2874430023899999
ACH-000152,-1.3079424147499998
ACH-000153,-0.9160645274160001
ACH-000159,-1.0822701986
ACH-000160,-1.02814053379
ACH-000163,-1.0794590501799999
ACH-000167,-0.9440812498569999
ACH-000168,-0.959391800916
ACH-000169,-0.897270847711
ACH-000178,-0.92160762675
ACH-000182,-1.09348126004
ACH-000183,-1.23304072897
ACH-000188,-0.857505822899
ACH-000189,-1.02169613639
ACH-000190,-1.12749344874
ACH-000198,-1.0150284146100002
ACH-000204,-0.7941923506309999
ACH-000206,-0.674502931261
ACH-000207,-0.7947319394419999
ACH-000211,-1.0551337540999999
ACH-000215,-0.8062529550990001
ACH-000221,-1.32790623567
ACH-000222,-1.01810025323
ACH-000223,-0.659427339656
ACH-000226,-1.1446414756899999
