,ABCD4 (5826)
ACH-000004,-0.353268568453
ACH-000007,-0.148172096993
ACH-000009,-0.31924270272599997
ACH-000011,-0.41813810510399996
ACH-000012,-0.216055376712
ACH-000013,-0.220000740044
ACH-000014,0.009273904439729998
ACH-000015,-0.08755902773910001
ACH-000017,-0.322675007962
ACH-000018,-0.272389969401
ACH-000019,-0.31692962364
ACH-000021,-0.19191091962999998
ACH-000022,-0.211485707338
ACH-000025,-0.169961353913
ACH-000028,-0.31597069209399997
ACH-000030,-0.159452224908
ACH-000035,-0.08544016269089999
ACH-000036,-0.09420131068330001
ACH-000037,-0.113371183337
ACH-000039,-0.21315191579
ACH-000040,-0.119434952195
ACH-000041,-0.310460973697
ACH-000042,-0.27346069215700003
ACH-000045,-0.160772032906
ACH-000047,-0.195241201147
ACH-000052,-0.169531494063
ACH-000053,-0.327067174268
ACH-000054,-0.19567779456099998
ACH-000055,-0.11484384001700002
ACH-000060,-0.357428278468
ACH-000067,-0.06413796113419999
ACH-000070,-0.038063468760900006
ACH-000075,-0.21492670001999997
ACH-000078,-0.06777127145280001
ACH-000082,-0.18760755082199998
ACH-000085,0.027786956206099996
ACH-000086,-0.15276366744
ACH-000087,-0.199998975597
ACH-000092,-0.24677499887600002
ACH-000095,-0.19277339921199999
ACH-000097,-0.09228558754339998
ACH-000098,-0.161282528017
ACH-000099,-0.143306698848
ACH-000108,-0.37289884551799996
ACH-000113,-0.0690911453743
ACH-000115,0.0903492492387
ACH-000116,-0.169185868442
ACH-000118,-0.419679879762
ACH-000120,-0.200134338313
ACH-000123,-0.295976840696
ACH-000127,-0.21426917054400002
ACH-000128,-0.256292000269
ACH-000132,-0.100533068554
ACH-000133,-0.285426799608
ACH-000137,-0.074909763236
ACH-000138,-0.6567170452269999
ACH-000142,-0.34816154053000004
ACH-000143,-0.133528007335
ACH-000146,-0.135576211267
ACH-000148,-0.25380629653299996
ACH-000150,-0.018326683091
ACH-000152,-0.24244974948399997
ACH-000153,-0.20033744111699997
ACH-000159,-0.33001204789099997
ACH-000160,-0.16934059620900002
ACH-000163,-0.0941471581901
ACH-000167,-0.27018215740699997
ACH-000168,-0.289450603999
ACH-000169,-0.135707670418
ACH-000178,-0.170751507947
ACH-000182,-0.11249424858899999
ACH-000183,-0.24961751292599998
ACH-000188,-0.11261302842
ACH-000189,0.27612526748000005
ACH-000190,-0.300112130467
ACH-000198,-0.11775642122300001
ACH-000204,-0.19698602931499998
ACH-000206,-0.42983390287199996
ACH-000207,-0.45141076009099995
ACH-000211,-0.299892059738
ACH-000215,-0.20319067287599998
ACH-000221,-0.166673396779
ACH-000222,-0.477865160616
ACH-000223,-0.169027345222
ACH-000226,-0.136044330407
ACH-000227,-0.208179469841
ACH-000228,-0.11713575729699999
ACH-000231,-0.144551565587
ACH-000232,-0.19966449357299998
ACH-000233,-0.16558194399
ACH-000234,-0.161594044093
ACH-000235,-0.258716728008
ACH-000237,0.055933227513800005
ACH-000238,-0.383125393635
ACH-000243,-0.295933228972
ACH-000244,-0.257960369129
ACH-000246,-0.21499212709
ACH-000248,-0.558380743473
ACH-000250,-0.174030246204
ACH-000251,-0.262433129284
ACH-000253,-0.183963916465
ACH-000255,-0.127477857629
ACH-000256,-0.296642829055
ACH-000257,-0.723359679126
ACH-000258,-0.0009075274514239998
ACH-000259,-0.286891864191
ACH-000260,-0.266096075152
ACH-000261,-0.129489939889
ACH-000262,-0.160797118165
ACH-000263,-0.145895257021
ACH-000264,-0.216085386417
ACH-000265,-0.19120479260499998
ACH-000266,-0.275792580753
ACH-000272,-0.37429906351899994
ACH-000273,-0.326547907355
ACH-000274,-0.15309361637399999
ACH-000277,-0.217163641085
ACH-000278,-0.09815600730830001
ACH-000279,-0.30238746525800003
ACH-000280,-0.484395183878
ACH-000281,-0.289872488617
ACH-000288,-0.22106183204799998
ACH-000291,-0.223373929463
ACH-000293,-0.216081057891
ACH-000294,-0.09093137275319998
ACH-000295,-0.214002072067
ACH-000296,-0.221896653847
ACH-000302,-0.0576061284885
ACH-000304,-0.121603003478
ACH-000307,-0.255907356962
ACH-000308,-0.159513774004
ACH-000310,-0.25104644771400003
ACH-000311,-0.69623741748
ACH-000312,-0.5316793080309999
ACH-000315,-0.32675215460499996
ACH-000316,0.0956695294438
ACH-000317,-0.568004855787
ACH-000318,0.0196687792935
ACH-000319,-0.0666411870759
ACH-000320,-0.495909707996
ACH-000322,-0.0264560976821
ACH-000323,-0.294478418771
ACH-000324,-0.235836004247
ACH-000329,-0.273273315176
ACH-000330,-0.296482609137
ACH-000331,0.007835772040319999
ACH-000332,-0.198814835294
ACH-000334,-0.148226659096
ACH-000335,-0.12174826272
ACH-000336,-0.13995986861600002
ACH-000337,-0.11644387633400001
ACH-000339,-0.500412142434
ACH-000341,-0.0794194962455
ACH-000348,-0.274439612365
ACH-000350,-0.24211219768699999
ACH-000352,-0.247363683978
ACH-000356,-0.160203080661
ACH-000361,-0.198723637686
ACH-000362,-0.266955318988
ACH-000363,-0.237306828625
ACH-000364,0.0006758130662389999
ACH-000365,-0.108009488775
ACH-000366,-0.17314105525600001
ACH-000368,-0.397211747433
ACH-000374,-0.032718448343
ACH-000375,-0.239905151325
ACH-000376,-0.224746451045
ACH-000381,-0.268556523108
ACH-000383,-0.18346933803100002
ACH-000387,-0.359059524838
ACH-000389,-0.264767882436
ACH-000390,-0.183107190222
ACH-000393,-0.398386332968
ACH-000395,-0.5224659802880001
ACH-000397,-0.19265424457199998
