,HESX1 (8820)
ACH-000004,-0.138182483003
ACH-000007,0.0652057328738
ACH-000009,-0.41732770470200004
ACH-000011,0.0312545738544
ACH-000012,-0.21931872738400002
ACH-000013,-0.0817088841366
ACH-000014,0.036890518527
ACH-000015,-0.220817949311
ACH-000017,-0.11202819106499999
ACH-000018,-0.28125326894
ACH-000019,-0.130289081053
ACH-000021,-0.285797680606
ACH-000022,-0.266304414131
ACH-000025,-0.278664411071
ACH-000028,-0.291442160927
ACH-000030,-0.11152932439999999
ACH-000035,-0.136400473218
ACH-000036,-0.18175139322500003
ACH-000037,-0.12952868935599998
ACH-000039,-0.219165907211
ACH-000040,-0.327198291445
ACH-000041,-0.0876726886552
ACH-000042,-0.37660510281
ACH-000045,-0.242669188156
ACH-000047,-0.10608407734
ACH-000052,-0.37609967975999997
ACH-000053,-0.0685690422292
ACH-000054,-0.22199968364999997
ACH-000055,-0.0929659866722
ACH-000060,-0.144248655351
ACH-000067,-0.216734551817
ACH-000070,-0.238357365711
ACH-000075,-0.0148060934332
ACH-000078,-0.18545014936700002
ACH-000082,-0.170101384089
ACH-000085,-0.07337198935019999
ACH-000086,-0.13106401313899999
ACH-000087,-0.152578032448
ACH-000092,-0.016399053260299997
ACH-000095,-0.133255355938
ACH-000097,-0.125681937843
ACH-000098,-0.234053778631
ACH-000099,-0.196960269351
ACH-000108,-0.313499128365
ACH-000113,-0.0763380575734
ACH-000115,-0.0155229820936
ACH-000116,-0.109557121918
ACH-000118,-0.33618423986100004
ACH-000120,-0.366208107945
ACH-000123,-0.239717597973
ACH-000127,-0.112106747951
ACH-000128,-0.0136604275456
ACH-000132,0.049317344726300005
ACH-000133,-0.0193618504075
ACH-000137,-0.08809321262669999
ACH-000138,-0.233323133697
ACH-000142,-0.0184639836158
ACH-000143,-0.004957456963880001
ACH-000146,-0.21914983941
ACH-000148,-0.0343423480572
ACH-000150,-0.130076103725
ACH-000152,-0.110148354617
ACH-000153,-0.23851445284000003
ACH-000159,-0.283166032744
ACH-000160,-0.217661290355
ACH-000163,-0.233621013259
ACH-000167,-0.14327789335899999
ACH-000168,0.103752718036
ACH-000169,-0.059429383370400005
ACH-000178,-0.0550689620252
ACH-000182,-0.19012741219
