,POLRMT (5442)
ACH-000004,-0.562336862647
ACH-000007,-0.56630445429
ACH-000009,-0.574536237213
ACH-000011,-0.306001155621
ACH-000012,-0.9163909119410001
ACH-000013,-0.689236249622
ACH-000014,-0.457599803558
ACH-000015,-0.820348825363
ACH-000017,-0.581941611592
ACH-000018,-0.9115741608329999
ACH-000019,-1.0799141384
ACH-000021,-0.564721752275
ACH-000022,-0.7868628713860001
ACH-000025,-0.810588830481
ACH-000028,-0.9179317534720001
ACH-000030,-0.599024621802
ACH-000035,-0.890107690637
ACH-000036,-0.178637057187
ACH-000037,-0.656261746765
ACH-000039,-0.8193287657420001
ACH-000040,-0.442789269374
ACH-000041,-0.7147977355230001
ACH-000042,-0.731553327394
ACH-000045,-0.856411700167
ACH-000047,-0.596945950952
ACH-000052,-0.470198258845
ACH-000053,-0.45263599314099995
ACH-000054,-0.838045927709
ACH-000055,-0.56907386008
ACH-000060,-0.529615948537
ACH-000067,-0.6376523062780001
ACH-000070,-0.8168775618940001
ACH-000075,-0.44989053585199995
ACH-000078,-0.473992911699
ACH-000082,-0.601586544632
ACH-000085,-0.561564510215
ACH-000086,-0.9488626908750001
ACH-000087,-0.655858619863
ACH-000092,-0.298225173439
ACH-000095,-0.27341892857
ACH-000097,-0.679551159964
ACH-000098,-0.706596678861
ACH-000099,-0.639474581768
ACH-000108,-0.623232727962
ACH-000113,-0.63687813073
ACH-000115,-0.565833174145
ACH-000116,-0.7461665293299999
ACH-000118,-0.8413558425650001
ACH-000120,-0.438585203265
ACH-000123,-0.504454620217
ACH-000127,-1.19251179233
ACH-000128,-0.827886242666
ACH-000132,-0.566520389373
ACH-000133,-0.846742465814
ACH-000137,-0.341673529572
ACH-000138,-0.677869963462
ACH-000142,-0.7433150216050001
ACH-000143,-0.664523651942
ACH-000146,-0.615853459022
ACH-000148,-0.683359426531
ACH-000150,-1.08268430994
ACH-000152,-0.732865489904
ACH-000153,-0.34488977175200003
ACH-000159,-0.410855628473
ACH-000160,-0.7978393778589999
ACH-000163,-0.35366582056400003
ACH-000167,-0.38371306844700004
ACH-000168,-0.41950847122900004
ACH-000169,-0.8357941065369999
ACH-000178,-0.7847080752519999
ACH-000182,-0.9002806648280001
ACH-000183,-0.39488102221500004
ACH-000188,-0.7465057745810001
ACH-000189,-0.756722803721
ACH-000190,-0.776290113116
ACH-000198,-0.48871767147
ACH-000204,-0.328284602117
ACH-000206,-0.658359930659
ACH-000207,-0.861155862176
ACH-000211,-0.546262540388
ACH-000215,-0.545285867717
ACH-000221,-1.2160509497399998
ACH-000222,-0.40560512407
