,BNIP2 (663)
ACH-000004,-0.226975753134
ACH-000007,-0.284370162956
ACH-000009,-0.382920102681
ACH-000011,-0.271823183222
ACH-000012,-0.391068095404
ACH-000013,-0.14575381560200001
ACH-000014,-0.235423356806
ACH-000015,-0.029618192451
ACH-000017,-0.09794571411839999
ACH-000018,-0.07270854565899999
ACH-000019,-0.222053222674
ACH-000021,0.0315165230102
ACH-000022,-0.19419326664099998
ACH-000025,-0.233537212473
ACH-000028,0.039394140401400005
ACH-000030,-0.231426034257
ACH-000035,-0.0865151145116
ACH-000036,-0.217720688118
ACH-000037,-0.158540146001
ACH-000039,0.049584009698599996
ACH-000040,-0.26873330575
ACH-000041,-0.294529040387
ACH-000042,-0.289746381876
ACH-000045,-0.163509409344
ACH-000047,-0.260603364336
ACH-000052,-0.108485666558
ACH-000053,-0.16920511309300001
ACH-000054,-0.139075924659
ACH-000055,-0.0624596839664
ACH-000060,-0.0695074524392
ACH-000067,-0.20215239439399998
ACH-000070,-0.187310964955
ACH-000075,-0.20579493704
ACH-000078,-0.118016289132
ACH-000082,-0.21420496823899998
ACH-000085,-0.325549405409
ACH-000086,-0.07637974073689999
ACH-000087,-0.135912099363
ACH-000092,-0.214482005204
ACH-000095,-0.146240671082
ACH-000097,-0.05002582852180001
ACH-000098,-0.030955289076799997
ACH-000099,-0.13004245168
ACH-000108,-0.15554203768
ACH-000113,-0.13552545874500002
ACH-000115,-0.139047288607
ACH-000116,-0.185827060761
ACH-000118,-0.183062663988
ACH-000120,-0.230833239375
ACH-000123,-0.27576456157699997
ACH-000127,-0.21166489983
ACH-000128,-0.0570644425258
ACH-000132,-0.350899983709
ACH-000133,-0.193229165829
ACH-000137,-0.27668289298099996
ACH-000138,-0.055198192286900004
ACH-000142,-0.28267510677200003
ACH-000143,0.157313574359
ACH-000146,-0.265918133739
ACH-000148,-0.181099136682
ACH-000150,-0.28225321655200003
ACH-000152,-0.039469316680699994
ACH-000153,-0.24507469777899998
ACH-000159,-0.0211178778758
ACH-000160,-0.315456587201
ACH-000163,-0.0688688149555
ACH-000167,-0.277765503498
ACH-000168,-0.131140847012
ACH-000169,-0.106232704669
ACH-000178,-0.110774574419
ACH-000182,-0.231570592683
ACH-000183,-0.18585796328499998
ACH-000188,-0.0817881226741
ACH-000189,-0.16622029711300002
ACH-000190,-0.372959786419
ACH-000198,-0.24424285088199998
ACH-000204,-0.102372889023
ACH-000206,-0.06181656036830001
ACH-000207,-0.052453796255400004
ACH-000211,-0.0740068260074
ACH-000215,-0.155885228923
ACH-000221,-0.224579142511
ACH-000222,-0.303059622361
ACH-000223,-0.255815552274
ACH-000226,-0.251567683506
ACH-000227,-0.12708486724
ACH-000228,-0.14390163551899998
ACH-000231,-0.230385295429
ACH-000232,-0.1470153512
ACH-000233,-0.21576087676999997
ACH-000234,-0.317333812333
ACH-000235,-0.30263185195500003
ACH-000237,-0.062352841670000006
ACH-000238,-0.332834213586
ACH-000243,-0.16960506792999996
ACH-000244,-0.191307501124
ACH-000246,-0.09070576994820001
ACH-000248,-0.271571949665
ACH-000250,-0.246469919127
ACH-000251,-0.29492398768399997
ACH-000253,-0.416757363386
ACH-000255,-0.175467609428
ACH-000256,-0.26458964626200004
ACH-000257,0.117659067939
ACH-000258,-0.265121532845
ACH-000259,-0.0670506854863
ACH-000260,-0.19171729105000002
ACH-000261,-0.244561537577
ACH-000262,-0.20121323002799998
ACH-000263,-0.0768687846888
ACH-000264,-0.0808070375294
ACH-000265,-0.225716864747
ACH-000266,-0.329281030482
ACH-000272,-0.240801080763
ACH-000273,-0.158957103804
ACH-000274,-0.286630490859
ACH-000277,-0.23826322393599997
ACH-000278,-0.266831104893
ACH-000279,-0.135091544384
ACH-000280,-0.322051427101
ACH-000281,-0.0428010512887
ACH-000288,-0.222158049591
ACH-000291,-0.09090703634099999
ACH-000293,-0.0674837010775
ACH-000294,-0.0901491784306
ACH-000295,-0.132511159747
ACH-000296,-0.0103751392464
ACH-000302,-0.190949090825
ACH-000304,-0.055575917088400005
ACH-000307,-0.30218986143800003
ACH-000308,-0.136728525213
ACH-000310,-0.23530601009100002
ACH-000311,-0.371901377839
ACH-000312,-0.028543214178299997
