,TARBP2 (6895)
ACH-000004,-0.10250872963999999
ACH-000007,-0.19269209393800002
ACH-000009,-0.18245361507
ACH-000011,-0.34289845922300005
ACH-000012,-0.23836755723
ACH-000013,-0.21253770139000003
ACH-000014,-0.0835358090921
ACH-000015,-0.12330882757600001
ACH-000017,-0.21838113228300002
ACH-000018,-0.34704736384499996
ACH-000019,-0.0451832885254
ACH-000021,-0.127354615877
ACH-000022,-0.05676227053880001
ACH-000025,-0.310908832897
ACH-000028,-0.175081594587
ACH-000030,-0.22385951190499997
ACH-000035,-0.47727427591000005
ACH-000036,-0.336609165885
ACH-000037,-0.14976850580499998
ACH-000039,-0.546462438091
ACH-000040,-0.131638593978
ACH-000041,-0.154808337617
ACH-000042,-0.0054653563364799995
ACH-000045,-0.262016469212
ACH-000047,-0.191542976487
ACH-000052,-0.348477854345
ACH-000053,-0.36769148708599997
ACH-000054,0.0571670749682
ACH-000055,-0.45146820812399996
ACH-000060,-0.0266844882272
ACH-000067,-0.213394998466
ACH-000070,-0.338893043977
ACH-000075,-0.37832675103200003
ACH-000078,0.00223242656955
ACH-000082,-0.246825320833
ACH-000085,-0.0408822753005
ACH-000086,-0.356406596184
ACH-000087,0.13129259423599998
ACH-000092,-0.25376779713500003
ACH-000095,0.0413762047502
ACH-000097,-0.292358226338
ACH-000098,-0.17590992519999998
ACH-000099,-0.0522294320356
ACH-000108,-0.0367422445173
ACH-000113,-0.37412756389799995
ACH-000115,0.07068065906189999
ACH-000116,0.009672833365100001
ACH-000118,-0.200367432139
ACH-000120,0.031602102576099994
ACH-000123,-0.12746070114299998
ACH-000127,-0.186186538543
ACH-000128,-0.363556673386
ACH-000132,-0.131813227211
ACH-000133,-0.481599161314
ACH-000137,-0.115316946778
ACH-000138,-0.274729037033
ACH-000142,-0.279172041294
ACH-000143,-0.371254587949
ACH-000146,-0.26903945711599997
ACH-000148,-0.147823786929
ACH-000150,-0.08155517069149999
ACH-000152,-0.352706761179
ACH-000153,-0.6121221084399999
ACH-000159,-0.25125768131799997
ACH-000160,-0.175913921941
ACH-000163,-0.356863976258
ACH-000167,-0.5993302461159999
ACH-000168,-0.113608907412
ACH-000169,-0.22388661133499999
ACH-000178,-0.166175665308
ACH-000182,-0.303028667069
ACH-000183,-0.21324737612300002
ACH-000188,-0.236221743975
ACH-000189,-0.19701424832000003
ACH-000190,-0.09285076397700001
ACH-000198,0.00151931751143
ACH-000204,-0.024115902305200002
ACH-000206,-0.0850683004369
ACH-000207,-0.397422763277
ACH-000211,-0.16816977986200002
ACH-000215,-0.21768322813299998
ACH-000221,0.08744933944189999
ACH-000222,-0.307878029631
ACH-000223,-0.125501902881
ACH-000226,-0.294017094404
ACH-000227,0.07851389305380001
ACH-000228,-0.130602643595
ACH-000231,-0.17878620079399998
ACH-000232,-0.221538933375
ACH-000233,-0.188577366052
ACH-000234,-0.34659768146799996
ACH-000235,-0.23926803238699998
ACH-000237,-0.023641998985799998
ACH-000238,-0.091722571524
ACH-000243,-0.218976988368
ACH-000244,-0.0568000309117
ACH-000246,-0.381468474661
ACH-000248,-0.020867394291400002
ACH-000250,-0.11710030182499999
ACH-000251,-0.277869591365
ACH-000253,-0.230189148572
ACH-000255,-0.17516720445700001
ACH-000256,-0.307616587617
ACH-000257,0.030036027264
ACH-000258,-0.12274803236
ACH-000259,0.0116971520335
ACH-000260,-0.136970528463
ACH-000261,-0.295970641443
ACH-000262,-0.239175648637
ACH-000263,-0.148892134045
ACH-000264,-0.283812031476
ACH-000265,-0.184563905275
ACH-000266,-0.0665296577277
ACH-000272,0.00617319346239
ACH-000273,-0.230299668911
ACH-000274,-0.288691352983
ACH-000277,-0.140862477362
ACH-000278,-0.29547295585
ACH-000279,-0.16363436768200001
ACH-000280,-0.187314596512
ACH-000281,-0.302970440209
ACH-000288,-0.059223319360600005
ACH-000291,-0.15861295467
ACH-000293,0.0485789476669
ACH-000294,0.0726644592902
ACH-000295,-0.41683876339599996
ACH-000296,-0.00904934656273
ACH-000302,-0.06259803275840001
ACH-000304,-0.635850001859
ACH-000307,-0.124070634277
ACH-000308,-0.178018058934
ACH-000310,-0.114949295512
ACH-000311,-0.266446542153
ACH-000312,0.00491709495293
ACH-000315,-0.0650701708378
ACH-000316,-0.14415270043099998
ACH-000317,-0.305405947291
ACH-000318,-0.20252207331
ACH-000319,-0.167096564377
ACH-000320,0.134749578618
ACH-000322,-0.299411749802
ACH-000323,0.00822691910924
ACH-000324,-0.279322660779
ACH-000329,-0.237324209341
ACH-000330,0.0768727190674
ACH-000331,-0.124957809481
ACH-000332,-0.149210439016
ACH-000334,-0.27650862122
ACH-000335,-0.354962913946
ACH-000336,0.00122433443268
ACH-000337,0.052091136151
ACH-000339,-0.18346091064199999
ACH-000341,-0.41078598709200004
ACH-000348,-0.105341205876
ACH-000350,-0.239722537384
ACH-000352,-0.274709565618
ACH-000356,-0.362449047977
ACH-000361,-0.0838171454175
ACH-000362,-0.398769142197
ACH-000363,-0.27981855694200003
ACH-000364,-0.122942442749
ACH-000365,-0.408388628112
ACH-000366,-0.0846607026155
ACH-000368,-0.42048296625299997
ACH-000374,-0.358881298547
ACH-000375,-0.128861189599
ACH-000376,-0.24737477193500002
ACH-000381,-0.140442285057
ACH-000383,-0.147374476296
ACH-000387,-0.112712344096
ACH-000389,0.006247611851550001
ACH-000390,-0.105066516481
ACH-000393,-0.0748142257948
ACH-000395,-0.529502306315
ACH-000397,-0.255968090138
ACH-000401,-0.155476134168
ACH-000402,-0.5531182974100001
ACH-000403,-0.215353544427
ACH-000404,-0.493424017093
ACH-000406,-0.22805473501499998
ACH-000407,-0.09423300368349999
ACH-000408,-0.43718521730300003
ACH-000410,0.049160448447500005
ACH-000411,-0.176950977181
ACH-000414,-0.325074869435
ACH-000415,0.0065153830298599995
ACH-000416,-0.19419017389
ACH-000420,-0.292635374822
ACH-000421,-0.24443337785500002
ACH-000424,-0.166079596669
ACH-000425,-0.0864557032942
ACH-000426,-0.16346630561
ACH-000427,-0.143695978911
ACH-000433,-0.302660700713
ACH-000436,-0.132161188406
ACH-000444,-0.027749972864299997
ACH-000445,-0.289816455833
ACH-000448,-0.242645777278
ACH-000450,0.0568466821342
ACH-000452,-0.29980134651900003
ACH-000454,-0.23060000998799998
ACH-000458,-0.322924656593
ACH-000459,0.20727823466200002
ACH-000460,-0.309990027153
ACH-000461,-0.269453943962
ACH-000463,-0.21483587827700001
ACH-000464,-0.5171279619129999
ACH-000466,-0.330185731105
ACH-000467,-0.26224881088700003
ACH-000468,-0.624027426784
ACH-000469,-0.0632508066469
ACH-000470,-0.182609741547
ACH-000471,-0.025805892367599996
ACH-000472,-0.404665126236
ACH-000473,-0.158671341267
ACH-000475,-0.142618470571
ACH-000476,-0.43457666596100003
ACH-000477,0.0788535758653
ACH-000480,0.041954645098900005
ACH-000481,-0.12414875709899999
ACH-000483,-0.145776316915
ACH-000484,-0.10058889772299999
ACH-000485,-0.23636504968400002
ACH-000486,-0.24096279864599998
ACH-000487,-0.109181234389
ACH-000488,-0.14672639234999998
ACH-000490,-0.20483083421700002
ACH-000491,-0.15084885937999998
ACH-000495,0.0340889810663
ACH-000496,-0.40558255427
ACH-000499,-0.392506311924
ACH-000500,-0.424224044167
ACH-000502,-0.279492507443
ACH-000503,-0.254157849687
ACH-000505,-0.217243129467
ACH-000507,-0.208075529417
ACH-000510,-0.0635182628164
ACH-000511,-0.215869564174
ACH-000512,-0.587868608165
ACH-000516,-0.3009814497
ACH-000517,-0.08676514976
ACH-000518,-0.17308195954
ACH-000520,-0.330055632641
ACH-000521,-0.120698546182
ACH-000522,-0.0686835133989
ACH-000524,-0.0942489143758
ACH-000527,-0.108272481052
ACH-000528,-0.207997482253
ACH-000537,0.014700629655500001
ACH-000541,-0.20575468006900002
ACH-000542,-0.25077041166999997
ACH-000544,-0.428834390087
ACH-000545,-0.33055767625
ACH-000547,-0.104812745282
ACH-000548,-0.236698603554
ACH-000549,-0.279231758882
ACH-000550,-0.350544653806
ACH-000552,-0.32485566797
ACH-000556,-0.303285798495
ACH-000557,-0.196945757945
ACH-000570,-0.32513923904500003
ACH-000571,-0.025431431365400003
ACH-000573,-0.175583136992
ACH-000576,-0.10826083044700001
ACH-000580,-0.292862590213
ACH-000584,-0.031970108333
ACH-000585,-0.298972685432
ACH-000588,-0.522646815716
ACH-000589,-0.236027863835
ACH-000591,-0.193284147783
ACH-000593,-0.18726512877
ACH-000600,-0.179881214069
ACH-000601,-0.17181529642499999
ACH-000604,-0.5223510140150001
ACH-000605,-0.238382824196
ACH-000606,-0.18982736757100002
ACH-000608,-0.284442971608
ACH-000614,-0.44677110292800004
ACH-000616,-0.23029701055799998
ACH-000618,-0.10507793361199999
ACH-000619,-0.0925008536836
ACH-000620,-0.134812195582
ACH-000621,-0.180908783701
ACH-000622,-0.24351198035100002
ACH-000623,-0.048041659901599996
ACH-000624,-0.11048726849000001
ACH-000627,-0.110127662965
ACH-000630,-0.258953841258
ACH-000632,-0.216431310861
ACH-000633,-0.14042043622199998
ACH-000637,0.022047891463000003
ACH-000638,-0.229002996606
ACH-000646,-0.15364971361500002
ACH-000647,-0.0496812624516
ACH-000648,-0.00512807483057
ACH-000649,-0.100090904978
ACH-000651,-0.344616382279
ACH-000652,-0.267345054091
ACH-000653,-0.45051175660400006
ACH-000657,-0.0959694996223
ACH-000658,-0.3044803273
ACH-000661,-0.298843657884
ACH-000662,-0.172222963995
ACH-000663,-0.136153235534
ACH-000665,-0.229807913897
ACH-000671,-0.09488078861339999
ACH-000673,-0.151518330152
ACH-000676,-0.183721946248
ACH-000677,-0.19298219676699999
ACH-000681,-0.0145517929406
ACH-000682,-0.209455109196
ACH-000683,-0.0333760438509
ACH-000684,-0.0893218353411
ACH-000688,-0.0721901939366
ACH-000693,-0.0227530987353
ACH-000694,-0.134242204148
ACH-000695,-0.148604314151
ACH-000696,-0.182776423392
ACH-000697,-0.11239825646099999
ACH-000699,-0.29119840861699997
