,ERMN (57471)
ACH-000004,-0.0290791415417
ACH-000007,0.05489066270430001
ACH-000009,-0.324597173692
ACH-000011,-0.0538425635386
ACH-000012,-0.210312672328
ACH-000013,-0.180839433471
ACH-000014,-0.10612254529300001
ACH-000015,-0.10913322945699999
ACH-000017,0.0849601275076
ACH-000018,0.0485292836087
ACH-000019,0.0071925702925999995
ACH-000021,-0.190894293609
ACH-000022,-0.260627097631
ACH-000025,-0.125655621189
ACH-000028,-0.060297169033199996
ACH-000030,-0.177490979986
ACH-000035,-0.231144934837
ACH-000036,-0.0103283684024
ACH-000037,-0.384956647284
ACH-000039,-0.8289179144869999
ACH-000040,-0.259945578273
ACH-000041,-0.11339388485600001
ACH-000042,-0.148500648629
ACH-000045,-0.051347233262400004
ACH-000047,-0.151065330966
ACH-000052,-0.338875781175
ACH-000053,-0.28813298716499997
ACH-000054,-0.08738676241599999
ACH-000055,-0.17660748501499998
ACH-000060,-0.154453136128
ACH-000067,-0.132737279972
ACH-000070,0.0117769194819
ACH-000075,0.0910504380424
ACH-000078,-0.157856949784
ACH-000082,-0.23453058355599998
ACH-000085,0.116567713972
ACH-000086,-0.0029877374267499998
ACH-000087,-0.07599280419200001
ACH-000092,-0.202800109166
ACH-000095,-0.192114023993
ACH-000097,-0.09373827853330001
ACH-000098,-0.09139328341070001
ACH-000099,-0.301011808893
ACH-000108,-0.15539136972
ACH-000113,-0.119778686019
ACH-000115,-0.0418029771069
ACH-000116,-0.229887726076
ACH-000118,-0.277060191125
ACH-000120,-0.201855752021
ACH-000123,-0.285105173512
ACH-000127,-0.0656731727398
ACH-000128,0.020853549578900003
ACH-000132,-0.315531702148
ACH-000133,-0.353073880051
ACH-000137,-0.22559359691999997
ACH-000138,-0.21297107154699998
ACH-000142,-0.145743300971
ACH-000143,-0.16518011718
ACH-000146,-0.211809262255
ACH-000148,-0.114481132927
ACH-000150,-0.184899780408
ACH-000152,-0.09550123686339998
ACH-000153,-0.524872115141
ACH-000159,-0.303706375958
ACH-000160,-0.15720352179199998
ACH-000163,-0.175165658533
ACH-000167,-0.323160882739
ACH-000168,-0.191725588556
ACH-000169,0.050574146086
ACH-000178,-0.232097623755
ACH-000182,-0.101387503825
ACH-000183,-0.362693913452
ACH-000188,-0.145430486003
ACH-000189,-0.261995776086
ACH-000190,-0.336689064639
ACH-000198,-0.195777828228
ACH-000204,-0.0663847621051
ACH-000206,0.00208868479938
ACH-000207,-0.13870403018400002
ACH-000211,-0.127754713387
ACH-000215,-0.0662663445626
ACH-000221,-0.17149969751699998
ACH-000222,-0.42102183784900005
ACH-000223,-0.320318240892
ACH-000226,-0.394508490541
ACH-000227,-0.252906992565
ACH-000228,0.038621411457300005
ACH-000231,-0.11122198699899999
ACH-000232,-0.191481361268
ACH-000233,-0.281765001041
ACH-000234,-0.18682353784699998
ACH-000235,-0.263184693475
ACH-000237,-0.215900137008
ACH-000238,-0.433359219085
ACH-000243,-0.33754947254199996
ACH-000244,-0.06601264886699999
ACH-000246,-0.19667815651
ACH-000248,-0.14518845603299999
ACH-000250,-0.19703861814800003
ACH-000251,-0.311130173151
ACH-000253,-0.00882405258097
ACH-000255,-0.178044349796
ACH-000256,-0.245885222308
ACH-000257,-0.394080640047
ACH-000258,0.06556829913930001
ACH-000259,-0.294752087605
ACH-000260,-0.20991268688700002
ACH-000261,-0.0704009352641
ACH-000262,0.089192413643
ACH-000263,0.182732900331
ACH-000264,-0.114467773836
ACH-000265,-0.234561833671
ACH-000266,-0.361328080814
ACH-000272,-0.18485933320300002
ACH-000273,-0.29458163407
ACH-000274,-0.05987409075669999
ACH-000277,-0.252846848921
ACH-000278,-0.21144388413400003
ACH-000279,-0.290024270205
ACH-000280,-0.137520135524
ACH-000281,-0.526214462492
ACH-000288,-0.309187592267
ACH-000291,-0.036902529226099996
ACH-000293,-0.0609499137237
ACH-000294,-0.08989383690099999
ACH-000295,0.131094562041
ACH-000296,0.00725061335387
ACH-000302,-0.09433223817919999
ACH-000304,-0.469657590788
ACH-000307,-0.29280190954999996
ACH-000308,-0.202879517051
ACH-000310,-0.596359382607
ACH-000311,-0.57809894522
ACH-000312,-0.40756527361
ACH-000315,-0.257090375111
ACH-000316,0.0649170380281
ACH-000317,-0.292218557393
ACH-000318,-0.0986479363713
ACH-000319,-0.08994907292929999
ACH-000320,-0.614473216166
ACH-000322,-0.38269459864
ACH-000323,-0.0653316177592
ACH-000324,-0.29623386250100003
ACH-000329,-0.0682856502047
ACH-000330,-0.23167532400199997
ACH-000331,-0.0255679398151
ACH-000332,-0.281266159803
ACH-000334,0.07928920837789999
ACH-000335,-0.348407782062
ACH-000336,0.165583022803
ACH-000337,-0.38918958209700005
ACH-000339,-0.12121622587000001
ACH-000341,-0.243952885356
ACH-000348,-0.16109132717
ACH-000350,-0.110873521317
ACH-000352,0.024472383180400004
ACH-000356,0.0523999487631
ACH-000361,-0.362968439995
ACH-000362,-0.118293766334
ACH-000363,-0.140389326584
ACH-000364,-0.20632150225499998
ACH-000365,-0.025574157134599998
ACH-000366,-0.04914350711709999
ACH-000368,-0.27625406765
ACH-000374,-0.20641726188099999
ACH-000375,-0.175229372379
