,AURKAIP1 (54998)
ACH-000004,-0.502806696744
ACH-000007,-0.685331104754
ACH-000009,-0.503993770108
ACH-000011,-0.417465564899
ACH-000012,-0.468167210708
ACH-000013,-0.589506726065
ACH-000014,-0.524104237827
ACH-000015,-0.566331259674
ACH-000017,-0.157766003922
ACH-000018,-0.7180760701450001
ACH-000019,-0.8619787074040001
ACH-000021,-0.47250455152099996
ACH-000022,-0.87843726297
ACH-000025,-0.637242905012
ACH-000028,-0.426854226923
ACH-000030,-0.50484613931
ACH-000035,-0.881120760097
ACH-000036,-0.48216591450199997
ACH-000037,-0.615875985037
ACH-000039,-0.43679782210100004
ACH-000040,-0.5587881909179999
ACH-000041,-0.508293187779
ACH-000042,-0.4852675536
ACH-000045,-0.665133939463
ACH-000047,-0.885758256206
ACH-000052,-0.5641740412030001
ACH-000053,-0.396685809027
ACH-000054,-0.7226453090100001
ACH-000055,-0.541540067247
ACH-000060,-0.554689657941
ACH-000067,-0.430275858186
ACH-000070,-0.674668259586
ACH-000075,-0.317505257103
ACH-000078,-0.402189285513
ACH-000082,-0.350673688583
ACH-000085,-0.609854914553
ACH-000086,-0.539847187636
ACH-000087,-0.9110548638950001
ACH-000092,-0.39766513477
ACH-000095,-0.32660455153499995
ACH-000097,-0.671700798425
ACH-000098,-0.367052937802
ACH-000099,-0.656007808103
ACH-000108,-0.458783788283
ACH-000113,-0.7417333379559999
ACH-000115,-0.594141721854
ACH-000116,-0.631162916194
ACH-000118,-0.727478446113
ACH-000120,-0.443820526634
ACH-000123,-0.47618863733000005
ACH-000127,-0.84166981095
ACH-000128,-0.448556630999
ACH-000132,-0.488528443296
ACH-000133,-0.5358386863610001
ACH-000137,-0.428700574766
ACH-000138,-0.5765797544969999
ACH-000142,-0.42552023485600005
ACH-000143,-0.557978896483
ACH-000146,-0.40154618478299997
ACH-000148,-0.51633144563
ACH-000150,-0.7118223346160001
ACH-000152,-0.565751595995
ACH-000153,-0.7876006233499999
ACH-000159,-0.390743008264
ACH-000160,-0.711833002989
ACH-000163,-0.524714402453
ACH-000167,-0.745264172334
ACH-000168,-0.5123926375469999
ACH-000169,-0.76010966963
ACH-000178,-0.570109023746
ACH-000182,-0.763564638325
ACH-000183,-0.473562244759
ACH-000188,-0.393623373998
ACH-000189,-0.922312345827
ACH-000190,-0.693979433397
ACH-000198,-0.442548470277
ACH-000204,-0.7919079498989999
ACH-000206,-0.931490932049
ACH-000207,-0.8836386978990001
ACH-000211,-0.445985849671
ACH-000215,-0.694864402546
ACH-000221,-0.644892762386
ACH-000222,-0.452249360308
ACH-000223,-0.685544251365
ACH-000226,-0.428620406033
ACH-000227,-0.40070087484800004
ACH-000228,-0.454317874551
ACH-000231,-0.414236146157
ACH-000232,-0.538850776588
ACH-000233,-0.585246492365
ACH-000234,-0.659371482884
ACH-000235,-0.48713888006399997
ACH-000237,-0.34354780133
ACH-000238,-0.708931159374
ACH-000243,-0.447982583672
ACH-000244,-0.257212141112
ACH-000246,-0.7807052326620001
ACH-000248,-0.8142061938040001
ACH-000250,-0.43154871788099997
ACH-000251,-0.792744395645
ACH-000253,-0.386959489564
ACH-000255,-0.549429518121
ACH-000256,-0.6304078461
ACH-000257,-0.9473297973870001
ACH-000258,-0.281946137188
ACH-000259,-0.5123603706490001
ACH-000260,-0.537370871507
ACH-000261,-0.512306674996
ACH-000262,-0.673194791118
ACH-000263,-0.895804987171
ACH-000264,-0.48094890530100004
ACH-000265,-0.3918070104
ACH-000266,-0.408129213077
ACH-000272,-0.457734902035
ACH-000273,-0.520821446049
ACH-000274,-0.739927158243
ACH-000277,-0.856048480029
ACH-000278,-0.218384258752
ACH-000279,-0.586030265542
ACH-000280,-0.428319185951
ACH-000281,-0.49872775707199996
ACH-000288,-0.7639351790019999
ACH-000291,-0.525554380607
ACH-000293,-0.593438810868
ACH-000294,-0.405805243969
ACH-000295,-0.64043926435
ACH-000296,-0.18338159460099998
ACH-000302,-0.723994147526
ACH-000304,-1.29230885608
ACH-000307,-0.615871558375
ACH-000308,-0.496477024213
ACH-000310,-0.373112009308
ACH-000311,-0.559606138288
ACH-000312,-0.716331469009
ACH-000315,-0.599805018462
ACH-000316,-0.352816410386
ACH-000317,-1.0214030604000002
ACH-000318,-0.573354185872
ACH-000319,-0.337486747774
ACH-000320,-0.396644181388
ACH-000322,-0.688759775491
ACH-000323,-0.735755218956
ACH-000324,-0.502969823662
ACH-000329,-0.631964141378
ACH-000330,-0.49074030523100004
ACH-000331,-0.71568801098
ACH-000332,-0.345310215124
ACH-000334,-0.579447103025
ACH-000335,-0.547797646434
ACH-000336,-0.7869248045649999
ACH-000337,-0.5112923496790001
ACH-000339,-0.604350837428
ACH-000341,-0.509089419363
ACH-000348,-0.637198845399
ACH-000350,-0.528883696729
ACH-000352,-0.535288724301
ACH-000356,-0.28490195313
ACH-000361,-0.41305949775899997
ACH-000362,-0.542595264055
ACH-000363,-0.762494591529
ACH-000364,-0.633030630232
ACH-000365,-0.562743040848
ACH-000366,-0.310745822251
ACH-000368,-0.570388015539
ACH-000374,-0.492695727189
ACH-000375,-0.480983205619
ACH-000376,-0.703645128994
ACH-000381,-0.556853370584
ACH-000383,-0.670347606274
ACH-000387,-0.326820336424
ACH-000389,-0.45662991609700004
ACH-000390,-0.484940763718
ACH-000393,-0.468555547623
ACH-000395,-0.504042240982
