,LGALS14 (56891)
ACH-000004,-0.345544877513
ACH-000007,-0.06331711158839999
ACH-000009,-0.216477557457
ACH-000011,-0.0980489725729
ACH-000012,-0.336136890551
ACH-000013,-0.785736075615
ACH-000014,-0.326684075957
ACH-000015,-0.388766785878
ACH-000017,-0.165470431974
ACH-000018,-0.461613165183
ACH-000019,-0.525742521587
ACH-000021,-0.285020341079
ACH-000022,-0.23343956590300002
ACH-000025,-0.0526762107644
ACH-000028,-0.193646421851
ACH-000030,-0.403528437566
ACH-000035,-0.222351127232
ACH-000036,-0.0694932559525
ACH-000037,-0.0966650825025
ACH-000039,0.031642545491400005
ACH-000040,-0.0110663549115
ACH-000041,-0.337930640098
ACH-000042,-0.20583517743299998
ACH-000045,-0.14758334709899998
ACH-000047,-0.156196400672
ACH-000052,-0.314297384607
ACH-000053,-0.376903095937
ACH-000054,-0.240778150542
ACH-000055,0.033369552427500004
ACH-000060,-0.170807625074
ACH-000067,-0.1276949316
ACH-000070,-0.169237743078
ACH-000075,-0.15336074813
ACH-000078,-0.213453928848
ACH-000082,-0.235746116569
ACH-000085,-0.204019434848
ACH-000086,-0.40281589318899996
ACH-000087,-0.195235451699
ACH-000092,-0.24729880688099998
ACH-000095,-0.24309341555300001
ACH-000097,-0.317300462336
ACH-000098,-0.314101455231
ACH-000099,-0.206315014088
ACH-000108,-0.38870302556100006
ACH-000113,-0.230578126247
ACH-000115,-0.323669364797
ACH-000116,-0.162586906158
ACH-000118,-0.293073940924
ACH-000120,-0.24582496016199998
ACH-000123,-0.201562160202
ACH-000127,-0.35643711651999993
ACH-000128,-0.25970306547899996
ACH-000132,-0.193703123659
ACH-000133,-0.314901907137
ACH-000137,-0.335985770427
ACH-000138,-0.355604087177
ACH-000142,-0.20138652354000003
ACH-000143,-0.212451055895
ACH-000146,-0.292473536882
ACH-000148,-0.16519567726700002
ACH-000150,-0.38982217537600006
ACH-000152,-0.245747169481
ACH-000153,-0.54284456346
ACH-000159,-0.12125046754899999
ACH-000160,-0.378800944732
ACH-000163,-0.227089072256
ACH-000167,-0.37858784322800004
ACH-000168,-0.18431036776
ACH-000169,-0.231847933466
ACH-000178,-0.19205471801899998
ACH-000182,-0.153330018527
ACH-000183,-0.443337687194
ACH-000188,-0.27091138715
ACH-000189,-0.334654359342
ACH-000190,-0.47455549929499996
ACH-000198,-0.239034079147
ACH-000204,-0.243451831508
ACH-000206,-0.321687430621
