,PGBD3 (267004)
ACH-000004,-0.246986057436
ACH-000007,-0.145522915713
ACH-000009,-0.284826951818
ACH-000011,-0.308254028239
ACH-000012,-0.32607750577
ACH-000013,-0.152362279003
ACH-000014,-0.25573716176100003
ACH-000015,-0.168349036903
ACH-000017,-0.298224862047
ACH-000018,-0.45422668412600004
ACH-000019,-0.0701430793172
ACH-000021,-0.216547068179
ACH-000022,0.0490802475705
ACH-000025,-0.411583642568
ACH-000028,-0.24646651741300002
ACH-000030,-0.42798295961099997
ACH-000035,-0.21325411915
ACH-000036,-0.380117302948
ACH-000037,-0.177565271437
ACH-000039,-0.261454508518
ACH-000040,-0.185272366285
ACH-000041,-0.287972722813
ACH-000042,-0.147059353307
ACH-000045,-0.0958487782607
ACH-000047,-0.211935619322
ACH-000052,-0.344695421826
ACH-000053,-0.22797659723000002
ACH-000054,-0.262068880549
ACH-000055,-0.047205881907199994
ACH-000060,-0.141062157368
ACH-000067,-0.499729572198
ACH-000070,-0.047593075613599996
ACH-000075,-0.2284223507
ACH-000078,-0.328039166494
ACH-000082,-0.11370909287599999
ACH-000085,-0.12116222299799999
ACH-000086,-0.28471804853300003
ACH-000087,-0.049649095882
ACH-000092,-0.292912478242
ACH-000095,-0.234413864474
ACH-000097,-0.150039476853
ACH-000098,-0.265813645855
ACH-000099,-0.308295509158
ACH-000108,-0.0924087023714
ACH-000113,-0.296839076332
ACH-000115,-0.271554239491
ACH-000116,-0.134507986205
ACH-000118,-0.271652218794
ACH-000120,-0.238830756065
ACH-000123,-0.17406548865
ACH-000127,-0.278916022555
ACH-000128,-0.09119991395839999
ACH-000132,-0.29988972647900003
ACH-000133,-0.266152860786
ACH-000137,-0.148505831003
ACH-000138,-0.171788209475
ACH-000142,-0.204789012287
ACH-000143,0.0375961693701
ACH-000146,-0.224283547947
ACH-000148,-0.0529794701956
ACH-000150,-0.00980290364436
ACH-000152,-0.300794081845
ACH-000153,-0.065533117052
ACH-000159,-0.201981086558
ACH-000160,-0.19424403212000002
ACH-000163,-0.106646925484
ACH-000167,-0.279661190836
ACH-000168,-0.204867388049
ACH-000169,-0.07602813666019999
ACH-000178,-0.116508435442
