,MAT1A (4143)
ACH-000004,-0.24052742737799998
ACH-000007,-0.272771940275
ACH-000009,-0.217719635691
ACH-000011,-0.0762883704439
ACH-000012,-0.08304028784369999
ACH-000013,0.08724869926789999
ACH-000014,-0.254553547976
ACH-000015,-0.17506193681899998
ACH-000017,-0.177013212612
ACH-000018,-0.0197054510468
ACH-000019,-0.07011019178719999
ACH-000021,-0.0624029529155
ACH-000022,-0.0768335166636
ACH-000025,-0.298978993578
ACH-000028,-0.27569112091200004
ACH-000030,-0.440272681541
ACH-000035,-0.161260374978
ACH-000036,-0.17595541448600002
ACH-000037,-0.12390493869000001
ACH-000039,-0.508475483962
ACH-000040,-0.41386122866499997
ACH-000041,-0.138440761678
ACH-000042,-0.124984003698
ACH-000045,-0.018258795434700003
ACH-000047,-0.24353895656100003
ACH-000052,-0.09202934402210002
ACH-000053,-0.0457570091352
ACH-000054,-0.176949741499
ACH-000055,-0.08686060951880001
ACH-000060,-0.19328968046599998
ACH-000067,-0.243952037623
ACH-000070,-0.130171686233
ACH-000075,-0.209079021902
ACH-000078,0.142622676383
ACH-000082,0.061611475438599995
ACH-000085,0.128367178034
ACH-000086,-0.205107774232
ACH-000087,0.0410225484498
ACH-000092,-0.0117858856054
ACH-000095,-0.00583111966304
ACH-000097,0.0108725274244
ACH-000098,-0.031164441452700004
ACH-000099,-0.028832942409799996
ACH-000108,-0.116307711922
ACH-000113,-0.23825959760200002
ACH-000115,-0.122637826292
ACH-000116,-0.0677960403736
ACH-000118,-0.0469038206537
ACH-000120,-0.0434680878929
ACH-000123,-0.0595022833286
ACH-000127,-0.123727839728
ACH-000128,-0.15660245555500002
ACH-000132,-0.0166778820254
ACH-000133,-0.144618972081
ACH-000137,0.008859632256450001
ACH-000138,0.0065388822934199994
ACH-000142,-0.108832254428
ACH-000143,-0.234314062189
ACH-000146,-0.0684218278045
ACH-000148,-0.261372604438
ACH-000150,0.0578524845489
ACH-000152,-0.167416983071
ACH-000153,-0.29394219281399997
ACH-000159,-0.194541535493
ACH-000160,-0.0441527514805
ACH-000163,-0.21515452923700001
ACH-000167,-0.082480770206
ACH-000168,-0.175135150023
ACH-000169,-0.09026218933189999
ACH-000178,-0.109189011063
ACH-000182,-0.221412165118
ACH-000183,-0.0660702090715
ACH-000188,-0.174636608653
ACH-000189,-0.585898808197
ACH-000190,-0.132362947039
ACH-000198,-0.053486925077599994
ACH-000204,-0.28897898065
ACH-000206,-0.242462699849
ACH-000207,-0.0407945146877
ACH-000211,-0.061044946954800006
ACH-000215,0.08648185378939999
ACH-000221,0.140364419195
ACH-000222,-0.048735484507800006
ACH-000223,-0.028695326554999998
ACH-000226,-0.05732474113199999
ACH-000227,-0.37517246979900004
ACH-000228,-0.08141936506289998
ACH-000231,-0.345399248262
ACH-000232,-0.036295906533300004
ACH-000233,-0.146312993687
ACH-000234,0.0673355088091
ACH-000235,-0.04683779206
ACH-000237,-0.198648321903
ACH-000238,0.00412776187187
ACH-000243,-0.172620436009
ACH-000244,0.165194831115
ACH-000246,-0.0964452962919
ACH-000248,-0.23167024695799998
ACH-000250,-0.14695042080600001
ACH-000251,-0.07155178206280001
ACH-000253,-0.0334547505253
ACH-000255,-0.101391623817
ACH-000256,-0.12496066685599999
ACH-000257,-0.339535206651
