,STRIP1 (85369)
ACH-000004,-0.419935925501
ACH-000007,-0.624953844334
ACH-000009,-0.840634517493
ACH-000011,-0.8114078898129999
ACH-000012,-0.481646788526
ACH-000013,-0.987368332503
ACH-000014,-0.672768450043
ACH-000015,-0.769058377993
ACH-000017,-0.5610815299449999
ACH-000018,-0.633886555091
ACH-000019,-0.793992175794
ACH-000021,-0.995325447416
ACH-000022,-0.36180851297
ACH-000025,-0.787350339317
ACH-000028,-0.80298922595
ACH-000030,-0.623139537792
ACH-000035,-0.9236784638600001
ACH-000036,-0.35354257133100003
ACH-000037,-0.186338420095
ACH-000039,-0.710802031565
ACH-000040,-0.576696401477
ACH-000041,-0.681294802969
ACH-000042,-0.752871618031
ACH-000045,-0.709943563916
ACH-000047,-0.6967828556800001
ACH-000052,-0.748221092593
ACH-000053,-0.298649163083
ACH-000054,-0.438788930681
ACH-000055,-0.479806949054
ACH-000060,-0.648602121466
ACH-000067,-0.548228672822
ACH-000070,-0.932642448172
ACH-000075,-0.42683392158699995
ACH-000078,-0.38719708857199997
ACH-000082,-0.784226775026
ACH-000085,-0.79811781312
ACH-000086,-0.566260149601
ACH-000087,-0.522394693589
ACH-000092,-0.875360331552
ACH-000095,-0.9197258991539999
ACH-000097,-0.3442604972300001
ACH-000098,-0.610320687336
ACH-000099,-0.560512033135
ACH-000108,-0.703427003699
ACH-000113,-0.6874752748890001
ACH-000115,-0.488609267666
ACH-000116,-0.706577220931
ACH-000118,-0.374401417109
ACH-000120,-0.769356154079
ACH-000123,-0.615235995576
ACH-000127,-0.610037917315
ACH-000128,-0.7141730173849999
ACH-000132,-1.12035681002
ACH-000133,-0.398788225676
ACH-000137,-0.762219693021
ACH-000138,-0.912895004428
ACH-000142,-0.756256434663
ACH-000143,-0.233556537634
ACH-000146,-0.45914110398999997
ACH-000148,-0.525277549547
ACH-000150,-1.09846460531
ACH-000152,-0.811420598647
ACH-000153,-1.03687129461
ACH-000159,-0.494592822984
ACH-000160,-0.32784171391100003
ACH-000163,-0.618792475097
ACH-000167,-0.8718749127490001
ACH-000168,-0.562185817994
ACH-000169,-0.49645046159100004
ACH-000178,-0.52135667876
ACH-000182,-0.327804920685
ACH-000183,-1.18331817597
ACH-000188,-0.640037180494
ACH-000189,-0.471806378442
ACH-000190,-0.692611300961
ACH-000198,-0.978978326667
ACH-000204,-0.890513953688
ACH-000206,-0.41547094813900004
ACH-000207,-1.08232163602
ACH-000211,-0.5744569406610001
ACH-000215,-0.522369600999
ACH-000221,-0.7067187432969999
ACH-000222,-0.434106096178
ACH-000223,-0.376360999432
ACH-000226,-0.46805011332400004
ACH-000227,-0.6429275035249999
ACH-000228,-0.589666275375
ACH-000231,-0.382443260711
ACH-000232,-0.46035449176200005
ACH-000233,-0.384046902317
ACH-000234,-0.6996431777259999
ACH-000235,-0.47738103179799996
ACH-000237,-0.594255960688
ACH-000238,-0.95238462638
ACH-000243,-0.40925774816
ACH-000244,-0.662359900668
ACH-000246,-0.798429890217
ACH-000248,-0.51994679013
ACH-000250,-0.404528580934
ACH-000251,-0.696256329891
ACH-000253,-0.767549663814
ACH-000255,-0.751229841108
ACH-000256,-0.852883368483
ACH-000257,-0.48022937168799995
ACH-000258,-0.563720569495
ACH-000259,-0.6302465060760001
ACH-000260,-0.710968035333
ACH-000261,-0.458369524222
ACH-000262,-0.5353893967800001
ACH-000263,-0.665179127558
ACH-000264,-0.710189655256
ACH-000265,-0.6711774847930001
