,PELP1 (27043)
ACH-000004,-1.45006535572
ACH-000007,-1.55839439264
ACH-000009,-1.7945542965299999
ACH-000011,-1.6314719444699999
ACH-000012,-1.42179861166
ACH-000013,-1.5585531346200001
ACH-000014,-1.50964613241
ACH-000015,-1.514815148
ACH-000017,-1.6681076441100002
ACH-000018,-1.5844212784099998
ACH-000019,-1.2360471229799999
ACH-000021,-1.3931269680399998
ACH-000022,-1.55240192701
ACH-000025,-1.27109958071
ACH-000028,-1.2379582165799998
ACH-000030,-1.48908583308
ACH-000035,-1.47574367856
ACH-000036,-1.55752265689
ACH-000037,-2.35590020135
ACH-000039,-1.57233995397
ACH-000040,-1.61697997426
ACH-000041,-1.83375364741
ACH-000042,-1.6988201197
ACH-000045,-1.56685577732
ACH-000047,-1.29650767494
ACH-000052,-1.4646439197299999
ACH-000053,-1.54969356387
ACH-000054,-1.4934194476700002
ACH-000055,-1.4810447634600001
ACH-000060,-1.81158824378
ACH-000067,-1.6503586722299999
ACH-000070,-1.29385551347
ACH-000075,-1.29158413896
ACH-000078,-1.5958378068599999
ACH-000082,-1.24391307099
ACH-000085,-1.9986732062299999
ACH-000086,-1.54456326204
ACH-000087,-1.28624233721
ACH-000092,-1.21342623653
ACH-000095,-1.45274724924
ACH-000097,-1.66162314194
ACH-000098,-1.7503414447999999
ACH-000099,-1.65584221415
ACH-000108,-1.5261231695500002
ACH-000113,-1.28500801109
ACH-000115,-1.23153201306
ACH-000116,-1.5111205453100003
ACH-000118,-1.4132562604899999
ACH-000120,-1.43379385223
ACH-000123,-1.47696539223
ACH-000127,-1.50750639852
ACH-000128,-1.51472554977
ACH-000132,-1.30145579384
ACH-000133,-1.5015726877899997
ACH-000137,-1.2108989045
ACH-000138,-1.6733479157700002
ACH-000142,-1.5548315449
ACH-000143,-1.68758928017
ACH-000146,-1.67806908768
ACH-000148,-1.60544166401
ACH-000150,-1.49003287772
ACH-000152,-1.55249217648
ACH-000153,-1.826123167
ACH-000159,-1.7143841162
ACH-000160,-1.13037425581
ACH-000163,-1.50266635372
ACH-000167,-1.22290443574
ACH-000168,-1.56615269936
ACH-000169,-1.4148277619499998
ACH-000178,-1.4516628359900001
ACH-000182,-1.6692226588699999
ACH-000183,-1.6910428009399998
ACH-000188,-1.55178957102
ACH-000189,-1.28306700855
ACH-000190,-1.05901927363
ACH-000198,-1.4127727905899998
ACH-000204,-1.4965654473199999
ACH-000206,-1.3688073570700001
ACH-000207,-1.23561173497
