,SMG9 (56006)
ACH-000004,-0.07033757702539999
ACH-000007,-0.13021396552
ACH-000009,-0.242414152999
ACH-000011,-0.139928901906
ACH-000012,-0.280436646828
ACH-000013,-0.33976105957099995
ACH-000014,-0.161752252906
ACH-000015,-0.366348388936
ACH-000017,-0.403248919904
ACH-000018,-0.260417079146
ACH-000019,-0.33056574141399997
ACH-000021,-0.037413006327300005
ACH-000022,-0.21456148862100002
ACH-000025,0.0502504745675
ACH-000028,-0.184073716562
ACH-000030,-0.18418611395999998
ACH-000035,-0.366560990364
ACH-000036,-0.277873260475
ACH-000037,-0.0210689752672
ACH-000039,0.0614831194615
ACH-000040,-0.0022357991337100002
ACH-000041,-0.217006052782
ACH-000042,-0.185777719541
ACH-000045,-0.124909061888
ACH-000047,-0.168587402998
ACH-000052,0.0287033163538
ACH-000053,-0.209721733983
ACH-000054,-0.0735063015423
ACH-000055,-0.22886270759
ACH-000060,0.0006034694984330001
ACH-000067,-0.20590062254900002
ACH-000070,-0.161815668895
ACH-000075,-0.4073309049
ACH-000078,-0.189288659591
ACH-000082,-0.29546836779
ACH-000085,-0.345305045092
ACH-000086,-0.40828057480700003
ACH-000087,-0.0392972118816
ACH-000092,-0.30921031515299996
ACH-000095,-0.284389980836
ACH-000097,-0.0971676140597
ACH-000098,-0.31339948065
ACH-000099,-0.252578558847
ACH-000108,-0.130956792682
ACH-000113,-0.281543351757
ACH-000115,-0.32539640105
ACH-000116,0.0624438607338
ACH-000118,-0.42571516464000003
ACH-000120,0.0106065780874
ACH-000123,-0.23910382240699998
ACH-000127,-0.10274630400000001
ACH-000128,-0.0722835818618
ACH-000132,-0.18586242791299998
ACH-000133,-0.34649982537199997
ACH-000137,-0.143940217851
ACH-000138,-0.383429534387
ACH-000142,-0.43752281286899997
ACH-000143,-0.147263954261
ACH-000146,-0.049338976558699996
ACH-000148,-0.177733879443
ACH-000150,-0.128639398011
ACH-000152,-0.22914673770100003
ACH-000153,-0.164612388741
ACH-000159,-0.41963949060999994
ACH-000160,-0.199398730713
ACH-000163,-0.24854739028099998
ACH-000167,-0.177050407712
ACH-000168,-0.297070783647
ACH-000169,-0.33893678337099997
ACH-000178,-0.00021491683994400001
ACH-000182,-0.020822361128
ACH-000183,-0.335039182355
ACH-000188,-0.0422110231394
ACH-000189,0.00370733081363
ACH-000190,-0.16184570589199998
ACH-000198,-0.453256092707
ACH-000204,-0.49024829020099997
