,ANKDD1A (348094)
ACH-000004,-0.309546370555
ACH-000007,-0.181843823169
ACH-000009,-0.24487085088500002
ACH-000011,0.0190102272374
ACH-000012,-0.141658972828
ACH-000013,-0.08593551855319999
ACH-000014,-0.0342385343915
ACH-000015,0.045584560465299996
ACH-000017,-0.06241335682569999
ACH-000018,-0.0366614702617
ACH-000019,-0.138106143336
ACH-000021,-0.114805870297
ACH-000022,-0.215539865867
ACH-000025,-0.0326110254303
ACH-000028,-0.09204660994950001
ACH-000030,-0.0135432283522
ACH-000035,-0.07830471092289999
ACH-000036,0.150821210957
ACH-000037,0.009009519815389999
ACH-000039,0.11809308933399999
ACH-000040,0.0465702540591
ACH-000041,-0.07317483594680001
ACH-000042,-0.109437411577
ACH-000045,0.0416233531409
ACH-000047,-0.11710703003100001
ACH-000052,-0.124941778459
ACH-000053,-0.00264834333878
ACH-000054,0.00196926960027
ACH-000055,0.120654422293
ACH-000060,0.17299033641800002
ACH-000067,-0.037497186518
ACH-000070,0.224602196303
ACH-000075,-0.0148794229207
ACH-000078,0.034530308414599996
ACH-000082,0.034694348993900004
ACH-000085,0.0975495654501
ACH-000086,-0.07499417806269999
ACH-000087,-0.11495181376399999
ACH-000092,-0.0163898146701
ACH-000095,0.07369146685660001
ACH-000097,-0.042915000805099995
ACH-000098,0.012480241187799999
ACH-000099,-0.129297188514
ACH-000108,-0.0733819746156
ACH-000113,-0.06706378101169999
ACH-000115,-0.11693350468800001
ACH-000116,-0.14182988182
ACH-000118,-0.0953433028727
ACH-000120,-0.25487042413600003
ACH-000123,0.0221793376155
ACH-000127,0.06419228906169999
ACH-000128,-0.0624440375518
ACH-000132,-0.241676634645
ACH-000133,-0.005753050396210001
ACH-000137,-0.12812845844
ACH-000138,-0.0597563786794
ACH-000142,-0.0521844927078
ACH-000143,-0.125045508682
ACH-000146,0.00125577783608
ACH-000148,0.0302251426591
ACH-000150,-0.204427754136
ACH-000152,0.0545060465783
ACH-000153,0.17150145307
ACH-000159,-0.0388261227058
ACH-000160,-0.0560495755776
ACH-000163,0.011315527004499998
ACH-000167,-0.11606547678899999
ACH-000168,-0.14721531253599998
ACH-000169,-0.005795173418350001
ACH-000178,-0.0381934804415
ACH-000182,-0.103608277438
ACH-000183,0.16686803060799998
ACH-000188,-0.0420881552994
ACH-000189,-0.388849196396
ACH-000190,-0.17892073605099998
ACH-000198,-0.00230804790154
ACH-000204,-0.0806170300924
ACH-000206,0.022404722726699997
ACH-000207,0.03860170821
ACH-000211,0.024594661437400002
ACH-000215,-0.135401224171
ACH-000221,-0.20931855851199999
ACH-000222,-0.1257818127
ACH-000223,-0.056052374375800004
ACH-000226,-0.08997556531539999
ACH-000227,0.268508202101
ACH-000228,0.111014500339
ACH-000231,-0.0277141391491
ACH-000232,0.118754214968
ACH-000233,-0.093386077168
ACH-000234,0.013779723357799999
ACH-000235,-0.11360199855900001
ACH-000237,0.0360350392195
ACH-000238,-0.0752846164044
ACH-000243,-0.19539407303599998
ACH-000244,-0.16093479400900002
ACH-000246,0.0171725149574
ACH-000248,0.12369600612
ACH-000250,-0.00661957227021
ACH-000251,-0.153045421827
ACH-000253,-0.00998761729884
ACH-000255,-0.198237346856
ACH-000256,-0.0284236878771
ACH-000257,-0.09481271465189998
ACH-000258,0.133153169016
ACH-000259,-0.105285478463
ACH-000260,-0.0661410215159
ACH-000261,-0.16798206116
ACH-000262,0.0714984968403
ACH-000263,0.14819652543700002
ACH-000264,-0.07434553467560001
ACH-000265,-0.22460689787500002
ACH-000266,-0.1354799119
ACH-000272,-0.08176978013510001
ACH-000273,-0.09511066496670001
ACH-000274,-0.0156750702503
ACH-000277,-0.196396265738
ACH-000278,0.08261561429650001
ACH-000279,-0.0580393866459
ACH-000280,-0.133783190888
ACH-000281,-0.20770632732299998
ACH-000288,-0.14750802145199998
ACH-000291,-0.123849442878
ACH-000293,-0.07897883743810001
