,IPCEF1 (26034)
ACH-000004,-0.0338895076492
ACH-000007,0.158394888815
ACH-000009,0.036544242029199994
ACH-000011,-0.0337768815643
ACH-000012,-0.124583995985
ACH-000013,0.0501348157051
ACH-000014,-0.06566130590340001
ACH-000015,-0.0710944599602
ACH-000017,-0.0274441766528
ACH-000018,-0.0871465380205
ACH-000019,0.127606392312
ACH-000021,-0.25858470449
ACH-000022,0.0261715096174
ACH-000025,0.0808306335232
ACH-000028,0.0202886170421
ACH-000030,-0.0471469887498
ACH-000035,0.034936616662800006
ACH-000036,0.111652132446
ACH-000037,-0.236061364125
ACH-000039,-0.460974405982
ACH-000040,-0.0840822589074
ACH-000041,-0.09733778448960001
ACH-000042,-0.0928851589061
ACH-000045,-0.123510848588
ACH-000047,-0.27510268055500003
ACH-000052,0.296477247655
ACH-000053,-0.0514315660375
ACH-000054,-0.20030082224399998
ACH-000055,0.10810101473200001
ACH-000060,-0.00391058355916
ACH-000067,-0.062430760688899994
ACH-000070,0.128105225759
ACH-000075,-0.00953723157663
ACH-000078,-0.108827477772
ACH-000082,-0.205667085896
ACH-000085,-0.0488469482244
ACH-000086,-0.07937608940600001
ACH-000087,0.207771027755
ACH-000092,-0.09602694726250001
ACH-000095,-0.042255779369400004
ACH-000097,-0.08946835291869999
ACH-000098,-0.114897449262
ACH-000099,-0.08659237945530002
ACH-000108,0.057400933518400005
ACH-000113,-0.104563097195
ACH-000115,0.15908456765
ACH-000116,0.0192194598905
ACH-000118,-0.0568132536821
ACH-000120,-0.0298938560442
ACH-000123,-0.222048678215
ACH-000127,0.0018577452698199997
ACH-000128,-0.18494230408300003
ACH-000132,-0.0415562733321
ACH-000133,-0.112757083937
ACH-000137,0.0601005047584
ACH-000138,-0.154954405112
ACH-000142,0.0715233628135
ACH-000143,0.014595162032899999
ACH-000146,-0.07142405605100001
ACH-000148,-0.16522150400900001
ACH-000150,-0.0471776685991
ACH-000152,-0.127078790522
ACH-000153,-0.23944785361200002
ACH-000159,-0.0496565778877
ACH-000160,-0.132062283313
ACH-000163,-0.100208030356
