,MAFG (4097)
ACH-000004,-0.34556055522
ACH-000007,-0.0146424914381
ACH-000009,-0.260438400444
ACH-000011,-0.31486121498
ACH-000012,-0.103752438131
ACH-000013,-0.28224040349
ACH-000014,0.060870749810800005
ACH-000015,-0.236620522401
ACH-000017,-0.36798572960299997
ACH-000018,-0.00204307548729
ACH-000019,-0.152617218315
ACH-000021,-0.125621600857
ACH-000022,-0.0924160495129
ACH-000025,-0.23270156925500002
ACH-000028,-0.167784721806
ACH-000030,-0.0477913411555
ACH-000035,-0.0200584004721
ACH-000036,-0.21358173557500001
ACH-000037,-0.219172233299
ACH-000039,-0.107288834695
ACH-000040,-0.178861036213
ACH-000041,-0.26389582184300003
ACH-000042,-0.318185921812
ACH-000045,-0.17843692820999998
ACH-000047,-0.359911714882
ACH-000052,-0.145884653003
ACH-000053,-0.122148263203
ACH-000054,-0.32788210195399997
ACH-000055,-0.227736876076
ACH-000060,-0.417905512294
ACH-000067,-0.262635719777
ACH-000070,0.0330108947916
ACH-000075,-0.19817098828699997
ACH-000078,-0.36526753251500005
ACH-000082,-0.133596988173
ACH-000085,-0.271354384685
ACH-000086,-0.0590065661215
ACH-000087,-0.40957419331600003
ACH-000092,0.10602381203099999
ACH-000095,-0.263826290181
ACH-000097,-0.187978607243
ACH-000098,-0.0793800688632
ACH-000099,-0.3737970198800001
ACH-000108,-0.182188566902
ACH-000113,-0.46073300510799997
ACH-000115,-0.369203226639
ACH-000116,-0.289259691905
ACH-000118,-0.177102046127
ACH-000120,-0.675694315083
ACH-000123,-0.318801378294
ACH-000127,-0.107542127303
ACH-000128,-0.246915652192
ACH-000132,-0.114574916024
ACH-000133,-0.12323575240599999
ACH-000137,-0.09970817166410001
ACH-000138,-0.147811903857
ACH-000142,-0.410118749023
ACH-000143,-0.27699604155499996
ACH-000146,-0.212151734604
ACH-000148,-0.205602328393
ACH-000150,-0.0683036857132
ACH-000152,-0.23265921121599997
ACH-000153,-0.109064807949
ACH-000159,-0.284529609301
ACH-000160,-0.102791926093
ACH-000163,-0.244360386506
ACH-000167,-0.0421694010356
ACH-000168,-0.687359888286
ACH-000169,-0.22250845858399998
ACH-000178,-0.029352542561699998
ACH-000182,-0.22207043597800002
ACH-000183,-0.204577461697
ACH-000188,-0.21853546036999996
ACH-000189,0.049031751566199995
ACH-000190,-0.0047571616648
ACH-000198,-0.348114809239
ACH-000204,-0.123146261852
ACH-000206,-0.028106850389
ACH-000207,-0.146597166453
ACH-000211,-0.125541120283
ACH-000215,-0.285362059425
ACH-000221,-0.22387026766399998
ACH-000222,-0.24698642968600001
ACH-000223,0.00656470452774
ACH-000226,-0.123840001618
ACH-000227,-0.152387215734
ACH-000228,0.047207095315199996
ACH-000231,-0.325999244718
ACH-000232,-0.184944914827
ACH-000233,-0.129770204223
ACH-000234,-0.6007193916870001
ACH-000235,-0.163007254278
ACH-000237,-0.531100708045
ACH-000238,-0.323390477843
ACH-000243,-0.19906194269400002
ACH-000244,-0.247581702504
ACH-000246,-0.218493400341
ACH-000248,-0.790388611178
ACH-000250,-0.323014445145
ACH-000251,-0.144721153589
ACH-000253,-0.24524386433000003
ACH-000255,-0.256201242595
ACH-000256,-0.5275088323730001
ACH-000257,-0.543099159816
ACH-000258,-0.309360439027
ACH-000259,-0.253006720127
ACH-000260,-0.356166178631
ACH-000261,-0.286520615616
ACH-000262,-0.245172687966
ACH-000263,-0.0814376824252
ACH-000264,-0.143674396931
ACH-000265,0.09724558972169998
ACH-000266,-0.324440415667
ACH-000272,-0.356365581015
ACH-000273,-0.0939207052376
ACH-000274,-0.275859045133
ACH-000277,-0.261505823441
ACH-000278,-0.36367515123099997
ACH-000279,-0.292812698567
ACH-000280,-0.18374517109900002
ACH-000281,-0.511600914824
ACH-000288,-0.391256653248
ACH-000291,-0.23112672586599997
ACH-000293,-0.08224348314060001
ACH-000294,-0.160591549643
ACH-000295,-0.48514651211099996
ACH-000296,-0.153773500555
ACH-000302,-0.34052377664300004
ACH-000304,-0.272697258451
ACH-000307,-0.24280841901
ACH-000308,-0.30922171508699997
ACH-000310,-0.414474170739
ACH-000311,-0.200764259104
ACH-000312,-0.34919207953500003
ACH-000315,0.137735287416
ACH-000316,-0.474224275014
ACH-000317,-0.0790222690361
ACH-000318,-0.10119619022
ACH-000319,-0.119592226743
ACH-000320,-0.170682440762
ACH-000322,-0.334848089455
ACH-000323,-0.385178810759
ACH-000324,-0.32598609663
ACH-000329,-0.348883978181
ACH-000330,0.046387406161400004
ACH-000331,-0.0526181270395
ACH-000332,-0.191740539248
ACH-000334,0.159578516535
ACH-000335,0.246441451969
ACH-000336,-0.48010351059399997
ACH-000337,-0.169320933196
ACH-000339,-0.251624717078
ACH-000341,-0.00998284700397
ACH-000348,-0.291917587132
ACH-000350,-0.363597956211
ACH-000352,-0.40447577397699996
ACH-000356,-0.206965111897
ACH-000361,-0.388705540554
ACH-000362,-0.228841855334
ACH-000363,-0.0575003502659
ACH-000364,-0.071674028969
ACH-000365,-0.0700857375991
ACH-000366,-0.487649888667
ACH-000368,-0.248170255187
ACH-000374,-0.30749435976100004
ACH-000375,-0.255925681266
ACH-000376,-0.0518453656241
ACH-000381,-0.0676792393549
ACH-000383,-0.198315759175
ACH-000387,-0.23459361554000002
ACH-000389,-0.22999208169100002
ACH-000390,-0.113268803711
ACH-000393,-0.0970938559281
ACH-000395,-0.304553303821
ACH-000397,-0.23243370316700002
ACH-000401,-0.48412814280199995
ACH-000402,-0.262619012884
ACH-000403,-0.329559352512
ACH-000404,-0.559497120458
ACH-000406,-0.0737640976013
ACH-000407,-0.43387333789899996
ACH-000408,-0.0470312961912
ACH-000410,-0.103913101618
