,BOP1 (23246)
ACH-000004,-1.0304572434600001
ACH-000007,-1.31160448588
ACH-000009,-1.06850462718
ACH-000011,-1.39023262806
ACH-000012,-1.0412224991299999
ACH-000013,-1.1447769617799999
ACH-000014,-0.798299476399
ACH-000015,-1.07117059696
ACH-000017,-1.2552947499
ACH-000018,-1.12498895875
ACH-000019,-0.8745145755949999
ACH-000021,-1.1413978908700002
ACH-000022,-1.0643991889
ACH-000025,-1.08122623609
ACH-000028,-1.1852054026
ACH-000030,-1.02494851415
ACH-000035,-1.20301243404
ACH-000036,-1.34169452748
ACH-000037,-1.15363197358
ACH-000039,-1.1542025522200001
ACH-000040,-1.2220649685200002
ACH-000041,-0.9769342750259999
ACH-000042,-1.07282688474
ACH-000045,-0.992302968144
ACH-000047,-1.14174917306
ACH-000052,-0.997018133099
ACH-000053,-0.7773866256190001
ACH-000054,-1.19772474676
ACH-000055,-0.790756426192
ACH-000060,-0.951919688567
ACH-000067,-1.07025011829
ACH-000070,-0.8582183717749999
ACH-000075,-1.1961292439
ACH-000078,-0.82008614748
ACH-000082,-0.916906513467
ACH-000085,-1.23632978865
ACH-000086,-0.918358805341
ACH-000087,-0.901957700879
ACH-000092,-1.27701777747
ACH-000095,-0.856055001998
ACH-000097,-1.12110797577
ACH-000098,-1.14279657725
ACH-000099,-0.924879455158
ACH-000108,-1.21503961827
ACH-000113,-0.9418273579530001
ACH-000115,-0.896223202138
ACH-000116,-0.856839897394
ACH-000118,-1.01847915705
ACH-000120,-1.20463819337
ACH-000123,-0.880045544658
ACH-000127,-1.04725386846
ACH-000128,-1.1205547355299998
ACH-000132,-1.02257425069
ACH-000133,-1.18414449025
ACH-000137,-0.8174836910459999
ACH-000138,-1.2748920077099999
ACH-000142,-1.08811129204
ACH-000143,-0.7256185282250001
ACH-000146,-0.811247268107
ACH-000148,-0.79307639265
ACH-000150,-1.21776018823
ACH-000152,-1.2299093657100002
ACH-000153,-1.1756450724
ACH-000159,-1.37838439586
ACH-000160,-1.1751696961700002
ACH-000163,-1.1318811712299999
ACH-000167,-1.08478105521
ACH-000168,-0.926084311291
ACH-000169,-1.07090222092
ACH-000178,-1.15388618387
ACH-000182,-0.9710132480920001
ACH-000183,-1.04461681706
ACH-000188,-1.15629514782
ACH-000189,-1.03341619329
ACH-000190,-0.837638508257
ACH-000198,-0.842845004313
ACH-000204,-1.1244703828899998
ACH-000206,-1.0288174214299999
ACH-000207,-0.8602085819419999
ACH-000211,-1.25221731214
ACH-000215,-1.0448619402200001
ACH-000221,-0.8687400353210001
