,EYA3 (2140)
ACH-000004,-0.150887371404
ACH-000007,-0.078382278789
ACH-000009,-0.20034222621199999
ACH-000011,-0.138002683436
ACH-000012,-0.30173280858199997
ACH-000013,-0.299357319509
ACH-000014,-0.153901599191
ACH-000015,-0.161463098188
ACH-000017,-0.0310937752409
ACH-000018,-0.535986817083
ACH-000019,-0.20612513417199999
ACH-000021,-0.10302759048599999
ACH-000022,-0.11420990024
ACH-000025,-0.25779892488899997
ACH-000028,-0.148873452877
ACH-000030,-0.212394447241
ACH-000035,-0.348085685475
ACH-000036,-0.10593640302999999
ACH-000037,-0.10764363243899999
ACH-000039,0.06675020265630001
ACH-000040,-0.372124279102
ACH-000041,-0.295574056642
ACH-000042,-0.127454916173
ACH-000045,-0.118907624911
ACH-000047,-0.0291416541557
ACH-000052,-0.284361957657
ACH-000053,-0.16212509006200002
ACH-000054,-0.20179669319899998
ACH-000055,-0.194120807632
ACH-000060,-0.157587000139
ACH-000067,-0.263064777838
ACH-000070,-0.07098421468669999
ACH-000075,-0.17089612447799998
ACH-000078,-0.322903214001
ACH-000082,-0.019325652401
ACH-000085,-0.168304063485
ACH-000086,-0.0907258268307
ACH-000087,-0.197826359381
ACH-000092,-0.232774065942
ACH-000095,-0.160409899387
ACH-000097,-0.197507408147
ACH-000098,-0.08567571812510001
ACH-000099,-0.153755027191
ACH-000108,-0.045774434115000005
ACH-000113,-0.0564733451412
ACH-000115,0.07047548450069999
ACH-000116,-0.085373096829
ACH-000118,-0.126747732132
ACH-000120,-0.0652602664286
ACH-000123,-0.215080017071
ACH-000127,-0.259060047346
ACH-000128,-0.327445655673
ACH-000132,-0.05816867427590001
ACH-000133,-0.24329217171999998
ACH-000137,-0.38070660734800005
ACH-000138,-0.227040795758
ACH-000142,-0.0124333252314
ACH-000143,-0.157329343447
ACH-000146,0.112106670297
ACH-000148,-0.15369531659299998
ACH-000150,-0.442060545141
ACH-000152,-0.214982453721
ACH-000153,-0.301685769863
ACH-000159,-0.213243969606
ACH-000160,0.330546914297
ACH-000163,-0.17974363753699998
ACH-000167,0.507609331536
ACH-000168,-0.319591239344
ACH-000169,-0.152315757883
ACH-000178,-0.330121069789
ACH-000182,-0.159737141411
ACH-000183,-0.226733918172
ACH-000188,-0.176814479216
ACH-000189,-0.37654878713600004
ACH-000190,0.297860930345
ACH-000198,-0.280785118464
ACH-000204,-0.199914410487
ACH-000206,-0.273235726859
ACH-000207,-0.050035709649099994
ACH-000211,-0.131881213354
ACH-000215,-0.18968448200899998
ACH-000221,-0.0688362654736
ACH-000222,-0.101334314021
ACH-000223,-0.206912162587
ACH-000226,-0.0924150227147
ACH-000227,-0.155367942918
ACH-000228,-0.159621241603
ACH-000231,-0.0776040077834
ACH-000232,-0.110121183509
ACH-000233,-0.0493330550983
ACH-000234,-0.00444571642942
ACH-000235,-0.17601698539500002
ACH-000237,-0.144281806195
ACH-000238,-0.0856956938603
ACH-000243,-0.12906581982100002
ACH-000244,-0.0641872765872
ACH-000246,-0.083452553776
ACH-000248,-0.016167616827200002
ACH-000250,-0.273910665919
ACH-000251,-0.21153346868
ACH-000253,-0.24798281308800002
ACH-000255,-0.243109801263
ACH-000256,-0.027467240861900003
ACH-000257,-0.33683130351999996
ACH-000258,-0.0652363280388
ACH-000259,-0.10852264762
ACH-000260,-0.145454150943
ACH-000261,-0.0570916676418
ACH-000262,-0.48051737464500005
ACH-000263,-0.391160795123
ACH-000264,-0.235979151017
ACH-000265,-0.11993566953700001
ACH-000266,-0.157681920326
ACH-000272,-0.145587137819
ACH-000273,-0.0434027995066
ACH-000274,-0.293971383502
ACH-000277,-0.2289893484
ACH-000278,-0.13702378579399999
ACH-000279,-0.226453855919
ACH-000280,-0.10817460079800001
ACH-000281,-0.21846635203899997
ACH-000288,-0.34476168872100005
ACH-000291,-0.23598982208500002
ACH-000293,-0.34918961138599997
ACH-000294,-0.0490384275325
ACH-000295,0.249124143917
ACH-000296,-0.199060182927
ACH-000302,-0.107518236317
ACH-000304,-0.198700166589
ACH-000307,0.0196206764652
ACH-000308,-0.0360823907207
ACH-000310,-0.38893299004
ACH-000311,-0.334603419405
ACH-000312,-0.31693080314
ACH-000315,-0.0319189425069
ACH-000316,-0.271120885213
ACH-000317,-0.180346490029
ACH-000318,-0.110648278717
ACH-000319,-0.013798796793100001
ACH-000320,-0.23782591335099998
ACH-000322,-0.00518796021996
ACH-000323,-0.239457484454
ACH-000324,-0.0845514450911
ACH-000329,-0.147760302715
ACH-000330,-0.11084769116399999
ACH-000331,-0.333181335011
ACH-000332,-0.25987688768399997
ACH-000334,-0.137547733834
ACH-000335,-0.342731053196
ACH-000336,-0.26957739512699996
ACH-000337,-0.136532858347
ACH-000339,-0.22645793886799997
ACH-000341,-0.30628421743900003
ACH-000348,-0.0613243311556
ACH-000350,-0.22619147434599998
ACH-000352,-0.0645689097005
ACH-000356,-0.035757943735099995
ACH-000361,-0.452049013117
ACH-000362,-0.305575249976
ACH-000363,0.037488727209
ACH-000364,-0.325312831102
ACH-000365,-0.270828051422
ACH-000366,-0.11989221038799999
ACH-000368,-0.31533229068199997
ACH-000374,-0.283881816046
ACH-000375,-0.143570397067
ACH-000376,-0.10585825876
ACH-000381,-0.171325865451
