,HMGB4 (127540)
ACH-000004,-0.0013265898741099999
ACH-000007,0.0329831352665
ACH-000009,0.0977811877179
ACH-000011,0.11496828444
ACH-000012,0.1254911453
ACH-000013,0.10462334142100001
ACH-000014,0.243781953011
ACH-000015,0.19736704860800003
ACH-000017,0.07821313501419999
ACH-000018,0.28294210885800003
ACH-000019,0.110188970724
ACH-000021,0.294020569251
ACH-000022,0.24935194937600003
ACH-000025,0.0825223003464
ACH-000028,0.10420067007000001
ACH-000030,0.107051898758
ACH-000035,0.11587129931500001
ACH-000036,0.17957003715599998
ACH-000037,-0.0915200276219
ACH-000039,0.294996581502
ACH-000040,0.067152441898
ACH-000041,0.144410228607
ACH-000042,0.17497523994800002
ACH-000045,0.245864381239
ACH-000047,0.111342433833
ACH-000052,0.183340981608
ACH-000053,0.10273407044600001
ACH-000054,0.0834628115073
ACH-000055,0.172723505394
ACH-000060,-0.275661636031
ACH-000067,0.0656638710561
ACH-000070,0.10963674542199998
ACH-000075,0.009237370787749999
ACH-000078,0.141456570367
ACH-000082,0.09970908138149999
ACH-000085,-0.05185124665159999
ACH-000086,0.0502930987032
ACH-000087,0.12413498221
ACH-000092,0.07012423487819999
ACH-000095,0.0499984164159
ACH-000097,-0.0674310304977
ACH-000098,0.140219911139
ACH-000099,0.17130973696600002
ACH-000108,0.10624567684599999
ACH-000113,0.12485966842900001
ACH-000115,0.227893652538
ACH-000116,0.061463035502500006
ACH-000118,0.10335728725299999
ACH-000120,0.114433174049
ACH-000123,0.116898144238
ACH-000127,0.13152556609000002
ACH-000128,0.136298025907
ACH-000132,0.028384079488499997
ACH-000133,0.214917298512
ACH-000137,0.0824851949008
ACH-000138,0.107859766888
ACH-000142,0.17415742934300002
ACH-000143,0.09924082483680001
ACH-000146,0.054806118106300004
ACH-000148,0.167109965124
ACH-000150,-0.027678802879
ACH-000152,0.12134223603800001
ACH-000153,0.206034970821
ACH-000159,0.30316064304400003
ACH-000160,0.42109214846299997
ACH-000163,0.148414630428
ACH-000167,0.481078730878
ACH-000168,0.030389281977
ACH-000169,-0.029527790683499998
ACH-000178,-0.009336837379110001
ACH-000182,0.0761354836021
ACH-000183,-0.0317420783116
ACH-000188,0.0508209584373
ACH-000189,0.172478517147
ACH-000190,0.31173657744600003
ACH-000198,0.096232026674
ACH-000204,0.00384091713343
ACH-000206,-0.0504537736414
ACH-000207,0.177239635673
ACH-000211,0.21343891948
ACH-000215,0.039158062276
ACH-000221,0.306675012646
ACH-000222,0.170069821859
ACH-000223,0.128820601086
ACH-000226,0.216236094687
ACH-000227,-0.0441119795527
ACH-000228,0.110212844715
ACH-000231,0.0907792326132
ACH-000232,0.167660962578
ACH-000233,0.097253074101
ACH-000234,0.22960594114500002
ACH-000235,0.129349706669
ACH-000237,0.102561308333
ACH-000238,0.10227626195699999
ACH-000243,0.0120744499186
ACH-000244,0.0216756839222
ACH-000246,0.0635576972048
ACH-000248,0.259681183929
ACH-000250,0.0820567863173
ACH-000251,0.12378697166300001
ACH-000253,0.166408956574
ACH-000255,0.0250060599082
ACH-000256,0.195613193629
ACH-000257,0.21552550796300002
ACH-000258,0.12468964714099999
ACH-000259,0.130083496209
ACH-000260,0.131810542866
ACH-000261,0.183062136777
ACH-000262,0.10804405202299999
ACH-000263,0.125616538233
ACH-000264,0.199590149129
ACH-000265,0.0625796969815
ACH-000266,0.137619629369
ACH-000272,0.100080201623
ACH-000273,0.157470086093
ACH-000274,0.0421598470672
ACH-000277,-0.00586134833645
ACH-000278,0.15158449957200001
ACH-000279,0.05570356963959999
ACH-000280,0.0851438381484
ACH-000281,0.320904969057
ACH-000288,-0.0362748257875
ACH-000291,0.155084567317
ACH-000293,0.266146609142
ACH-000294,0.187024156784
ACH-000295,0.140354720555
ACH-000296,0.409164288525
ACH-000302,-0.054608324413700005
ACH-000304,0.10310829293500001
ACH-000307,0.09649042999919999
ACH-000308,0.19034113010899997
ACH-000310,-0.132674621928
ACH-000311,0.0649919707692
ACH-000312,0.0493423481891
ACH-000315,0.14708440325799998
ACH-000316,0.152356180567
ACH-000317,0.12421491363199999
ACH-000318,0.157601214522
ACH-000319,0.134529365601
ACH-000320,0.184155395132
ACH-000322,0.0189414959976
ACH-000323,0.09119361243589999
ACH-000324,0.07157185739630001
ACH-000329,0.06609420049819999
ACH-000330,0.0474443109966
ACH-000331,0.0602133928266
ACH-000332,0.061581179115399995
ACH-000334,0.0563190348087
ACH-000335,0.0343083541132
ACH-000336,0.224831035095
ACH-000337,-0.05026936703430001
ACH-000339,0.13952786933800002
ACH-000341,0.09717927197069999
ACH-000348,0.0955807183404
ACH-000350,0.0433470586129
ACH-000352,0.150794638167
ACH-000356,0.122326107717
ACH-000361,0.10047903636
ACH-000362,0.107831017546
ACH-000363,0.16490873682600002
ACH-000364,0.048739189337499995
ACH-000365,0.141327300181
ACH-000366,0.126258772479
ACH-000368,0.0597890411211
ACH-000374,0.166399560266
ACH-000375,0.165828162328
ACH-000376,0.0867882906291
ACH-000381,0.17350346811700001
ACH-000383,0.09372921396839999
ACH-000387,0.174544134075
ACH-000389,0.16531560264200001
ACH-000390,0.007490760784850001
ACH-000393,0.12316865031199999
ACH-000395,0.07349683766739999
ACH-000397,0.0503809692031
ACH-000401,0.277320059872
ACH-000402,0.15885130601800002
ACH-000403,0.048017701361
ACH-000404,0.171687889488
ACH-000406,0.08687736520739998
ACH-000407,0.189752540192
ACH-000408,0.30827482156999997
ACH-000410,0.043980710456
ACH-000411,0.07152619765660001
ACH-000414,0.146857934614
ACH-000415,0.058427296008800006
ACH-000416,0.12429679336300001
ACH-000420,0.011495719183200002
ACH-000421,0.177894674443
ACH-000424,0.147211864369
ACH-000425,0.056248731350400004
ACH-000426,0.234597776794
ACH-000427,-0.0323514990743
ACH-000433,0.0386838917543
ACH-000436,0.0987801294965
ACH-000444,0.19208206409000003
ACH-000445,0.19449426090799998
ACH-000448,0.145836337787
ACH-000450,0.20868104654300001
ACH-000452,0.116754030352
ACH-000454,-0.0146859418784
ACH-000458,0.0399510861843
ACH-000459,-0.0632198507343
ACH-000460,0.22264390273600002
ACH-000461,0.00208829674501
ACH-000463,-0.0930581963315
ACH-000464,0.047332825713300004
ACH-000466,0.196542671687
ACH-000467,0.15298425387
ACH-000468,0.16824839089699997
ACH-000469,0.043335388184000005
ACH-000470,0.214346196697
ACH-000471,0.160573875353
ACH-000472,0.204846449685
ACH-000473,0.287234033188
ACH-000475,0.0275957529801
ACH-000476,0.1085020602
ACH-000477,0.15150839922599998
ACH-000480,0.0863658891196
ACH-000481,0.24233105458
ACH-000483,0.210542868562
ACH-000484,0.142695842751
ACH-000485,0.059092914496599994
ACH-000486,0.20766877816799997
ACH-000487,0.12602911192
ACH-000488,0.13972912946799998
ACH-000490,0.0864579491423
ACH-000491,-0.0980047778446
ACH-000495,-0.055453364353
ACH-000496,0.140325303576
ACH-000499,0.157555303476
ACH-000500,0.370366110776
ACH-000502,0.153599638254
ACH-000503,0.061308685322000005
