,MECR (51102)
ACH-000004,-0.292841352737
ACH-000007,0.0890715068616
ACH-000009,-0.245236201492
ACH-000011,-0.185268030072
ACH-000012,-0.517388107664
ACH-000013,-0.357877619501
ACH-000014,-0.394631792422
ACH-000015,-0.184302132523
ACH-000017,-0.17586909362599998
ACH-000018,-0.364578941447
ACH-000019,-0.04365035317200001
ACH-000021,-0.0798337648735
ACH-000022,-0.10808967075300001
ACH-000025,-0.78109123796
ACH-000028,-0.337662374898
ACH-000030,-0.0697714862919
ACH-000035,-0.386035161488
ACH-000036,-0.288987800751
ACH-000037,-0.398590934947
ACH-000039,0.0427705542165
ACH-000040,-0.240573832513
ACH-000041,-0.159972301625
ACH-000042,-0.103953436298
ACH-000045,0.0195484110945
ACH-000047,-0.084005963571
ACH-000052,-0.245690176166
ACH-000053,-0.107001024316
ACH-000054,-0.156513705916
ACH-000055,-0.201678953603
ACH-000060,-0.147027916224
ACH-000067,-0.0542811006888
ACH-000070,-0.8161252081460001
ACH-000075,-0.274300126902
ACH-000078,-0.07610630249110001
ACH-000082,-0.24602545087799998
ACH-000085,-0.36431692582599995
ACH-000086,-0.299673131881
ACH-000087,-0.439640630993
ACH-000092,-0.437459207287
ACH-000095,0.022517210831400004
ACH-000097,-0.168206552805
ACH-000098,-0.384462129901
ACH-000099,-0.32632069972800004
ACH-000108,-0.0428825059665
ACH-000113,-0.194823694673
ACH-000115,-0.221840679507
ACH-000116,-0.113491867641
ACH-000118,-0.31132988729899996
ACH-000120,-0.148343919927
ACH-000123,-0.0977836630901
ACH-000127,-0.328660494757
ACH-000128,-0.29589467797200003
ACH-000132,-0.215949228993
ACH-000133,-0.342120868159
ACH-000137,-0.31148993870999997
ACH-000138,-0.333436195713
ACH-000142,-0.406588535001
ACH-000143,-0.145945638819
ACH-000146,-0.08533457588580001
ACH-000148,-0.421011548655
ACH-000150,-0.397920894031
ACH-000152,-0.249728399112
ACH-000153,-0.329934968867
ACH-000159,-0.202354953563
ACH-000160,-0.041067787447300004
ACH-000163,-0.48530919522200006
ACH-000167,-0.316208282329
ACH-000168,-0.251175349775
ACH-000169,-0.297437677888
ACH-000178,-0.061551194468900006
ACH-000182,0.0164540634508
ACH-000183,-0.0297618239539
ACH-000188,-0.486427808199
ACH-000189,-0.392905367782
ACH-000190,-0.468598686014
ACH-000198,-0.23090621312100001
ACH-000204,-0.220766129926
ACH-000206,0.061836472645199994
ACH-000207,-0.482070813491
ACH-000211,-0.0680436553135
ACH-000215,-0.439505060985
