,ARHGAP20 (57569)
ACH-000004,0.0823300107558
ACH-000007,-0.0665829352948
ACH-000009,0.259307596424
ACH-000011,0.142460168208
ACH-000012,0.0788685723004
ACH-000013,0.134347827856
ACH-000014,0.06843156762659999
ACH-000015,0.1346069217
ACH-000017,0.149009740541
ACH-000018,0.22071434835700002
ACH-000019,0.365310566829
ACH-000021,0.202128497199
ACH-000022,0.200908264049
ACH-000025,0.248857986759
ACH-000028,0.0934813136265
ACH-000030,0.17158896818500002
ACH-000035,0.236204167172
ACH-000036,0.18127361662900002
ACH-000037,0.246034696487
ACH-000039,-0.255851231188
ACH-000040,0.183573031372
ACH-000041,0.121238639553
ACH-000042,0.12554201127599998
ACH-000045,0.036048704877199994
ACH-000047,0.0831659659928
ACH-000052,0.126334661022
ACH-000053,0.10116277374299999
ACH-000054,0.123192005386
ACH-000055,0.142675920743
ACH-000060,0.225479760617
ACH-000067,0.28681600974800003
ACH-000070,0.0443569849646
ACH-000075,0.241572224757
ACH-000078,0.07974874362420001
ACH-000082,0.133119932101
ACH-000085,0.008270507678369999
ACH-000086,0.057730293357300004
ACH-000087,0.421805465289
ACH-000092,0.20235572671799998
ACH-000095,0.21510030075199998
ACH-000097,0.185746269574
ACH-000098,0.0485225288175
ACH-000099,0.150870163261
ACH-000108,0.29924411158799996
ACH-000113,0.06908723185219999
ACH-000115,0.253628101014
ACH-000116,0.0291539558663
ACH-000118,0.24768808561
ACH-000120,0.152289691444
ACH-000123,0.0334037757517
ACH-000127,0.24978589326900003
ACH-000128,0.0495470817636
ACH-000132,0.152755636719
ACH-000133,0.22105289494199998
ACH-000137,-0.15214686653200002
ACH-000138,0.0272205121049
ACH-000142,-0.0027647936488400006
ACH-000143,0.279313788392
ACH-000146,0.0746953515035
ACH-000148,0.143901501702
ACH-000150,0.13354827930299998
ACH-000152,-0.00699920596545
ACH-000153,-0.022811135964200004
ACH-000159,0.257072375722
ACH-000160,0.144789682425
ACH-000163,0.38588220051399996
ACH-000167,0.398546048695
ACH-000168,0.089513995441
ACH-000169,0.173779100421
ACH-000178,0.231564420686
ACH-000182,0.162977387739
ACH-000183,0.237928537239
ACH-000188,0.0804119683179
ACH-000189,0.056386986837099994
ACH-000190,0.142203018677
