,NBPF6 (653149)
ACH-000004,-0.168298831882
ACH-000007,-0.462841806697
ACH-000009,-0.330670514974
ACH-000011,-0.262020532583
ACH-000012,-0.368499633842
ACH-000013,-0.270410794538
ACH-000014,-0.29747537674
ACH-000015,-0.461890934036
ACH-000017,-0.179646753827
ACH-000018,-0.33403002814800004
ACH-000019,-0.371309894458
ACH-000021,-0.24500888205200003
ACH-000022,-0.166362335144
ACH-000025,-0.374226346858
ACH-000028,-0.513772857342
ACH-000030,-0.144806654187
ACH-000035,-0.236383345577
ACH-000036,-0.539457237236
ACH-000037,-0.19442233168900003
ACH-000039,-0.128982199998
ACH-000040,-0.509914056751
ACH-000041,-0.205005361766
ACH-000042,-0.276116710552
ACH-000045,-0.463776058841
ACH-000047,-0.37105263182
ACH-000052,-0.356106269548
ACH-000053,-0.5279938613499999
ACH-000054,-0.477754443279
ACH-000055,-0.37066315141
ACH-000060,-0.186832527788
ACH-000067,-0.357614767274
ACH-000070,-0.0743977946259
ACH-000075,-0.336435688962
ACH-000078,-0.6891392772470001
ACH-000082,-0.19269451375500002
ACH-000085,-0.19712008447999999
ACH-000086,-0.51622833778
ACH-000087,-0.329324649725
ACH-000092,-0.572865799878
ACH-000095,-0.22452266789099998
ACH-000097,-0.44357581078599995
ACH-000098,-0.38419473430100004
ACH-000099,0.0417394598202
ACH-000108,-0.33622415613300005
ACH-000113,-0.340829857742
ACH-000115,0.0577017734059
ACH-000116,-0.24223445528
ACH-000118,-0.288937303995
ACH-000120,-0.1060362982
ACH-000123,-0.24381970935800001
ACH-000127,-0.304094767984
ACH-000128,-0.32919309148000003
ACH-000132,0.00271857095103
ACH-000133,-0.284266901198
ACH-000137,-0.440276571792
ACH-000138,-0.327742179926
ACH-000142,-0.282020542538
ACH-000143,-0.46549265185000005
ACH-000146,-0.505367597613
ACH-000148,-0.281492551508
ACH-000150,-0.39176469391400004
ACH-000152,-0.251260737046
ACH-000153,-0.243616151786
ACH-000159,-0.36090673108300003
ACH-000160,0.113149700271
ACH-000163,-0.16524680333
ACH-000167,-0.67297922277
ACH-000168,-0.265365218415
ACH-000169,-0.263785934622
