,RPN2 (6185)
ACH-000004,-1.41426163227
ACH-000007,-1.5518901373500003
ACH-000009,-0.782574000611
ACH-000011,-1.26703967844
ACH-000012,-0.940262887027
ACH-000013,-0.866978966343
ACH-000014,-0.91344239859
ACH-000015,-0.8808486213779999
ACH-000017,-1.02179244287
ACH-000018,-0.873312011982
ACH-000019,-0.725542605055
ACH-000021,-0.833284129549
ACH-000022,-1.0410004287299999
ACH-000025,-1.2508914542799998
ACH-000028,-0.899455583105
ACH-000030,-0.954602426789
ACH-000035,-0.906465526792
ACH-000036,-0.8132729420550001
ACH-000037,-0.362583232838
ACH-000039,-1.17687050116
ACH-000040,-0.8118089640289999
ACH-000041,-1.01214218684
ACH-000042,-0.9352095088850001
ACH-000045,-0.868232911013
ACH-000047,-0.9863042142890001
ACH-000052,-0.863628702565
ACH-000053,-1.0091397014599999
ACH-000054,-0.7804229125900001
ACH-000055,-1.16812682362
ACH-000060,-0.9906119404520001
ACH-000067,-0.608532304411
ACH-000070,-0.9011424321060001
ACH-000075,-0.941964165562
ACH-000078,-0.984492101039
ACH-000082,-1.15775472642
ACH-000085,-0.835813419393
ACH-000086,-1.03934808886
ACH-000087,-1.09915523338
ACH-000092,-0.9582742227
ACH-000095,-0.850875235024
ACH-000097,-0.995209044338
ACH-000098,-0.953646521807
ACH-000099,-0.8501201379309999
ACH-000108,-1.14987080575
ACH-000113,-1.07073870721
ACH-000115,-1.33509834678
ACH-000116,-0.982020361484
ACH-000118,-1.0659589638299998
ACH-000120,-1.01246189631
ACH-000123,-1.1172232284299999
ACH-000127,-0.552664757727
ACH-000128,-0.7087569609800001
ACH-000132,-0.9509621339659999
ACH-000133,-1.11059196179
ACH-000137,-0.7733471580850001
ACH-000138,-1.00363342808
ACH-000142,-0.9397564329960001
ACH-000143,-1.0929620175499999
ACH-000146,-0.844240187022
ACH-000148,-0.9444553532340001
ACH-000150,-1.2551239983
ACH-000152,-0.71377487727
ACH-000153,-0.84306696423
ACH-000159,-0.522931525174
ACH-000160,-1.18875492237
ACH-000163,-1.33872887922
ACH-000167,-1.03286920949
ACH-000168,-0.796493208899
ACH-000169,-1.05353567488
ACH-000178,-0.9298259053010001
ACH-000182,-0.7718116096250001
ACH-000183,-0.88503485529
ACH-000188,-1.07141779299
ACH-000189,-0.697626324141
ACH-000190,-1.04090947618
ACH-000198,-0.713143991123
ACH-000204,-0.9499152604180001
ACH-000206,-1.26672316961
ACH-000207,-1.04172314793
ACH-000211,-1.08322441054
ACH-000215,-0.848194561267
ACH-000221,-0.664264905458
ACH-000222,-1.3510867198899998
ACH-000223,-0.802429208651
ACH-000226,-1.06556320029
ACH-000227,-0.8524776202619999
ACH-000228,-1.17371600285
ACH-000231,-0.814942831685
ACH-000232,-1.0662064548999999
ACH-000233,-0.881134473875
ACH-000234,-0.9348135340289999
ACH-000235,-0.9160294463140001
ACH-000237,-0.9448356984899999
ACH-000238,-0.964110642791
ACH-000243,-1.02493999723
ACH-000244,-1.34989586641
ACH-000246,-0.9433049322139999
ACH-000248,-0.989389864412
ACH-000250,-0.945868287468
ACH-000251,-0.6803315331219999
ACH-000253,-0.783664351515
ACH-000255,-1.03115893606
ACH-000256,-0.7674306756620001
ACH-000257,-1.08866554577
ACH-000258,-1.12980186768
ACH-000259,-1.04573079231
ACH-000260,-0.999984056802
ACH-000261,-1.0647212538500002
ACH-000262,-0.902420084595
ACH-000263,-0.78215395701
ACH-000264,-1.0846998670299999
ACH-000265,-0.8330334752040001
ACH-000266,-0.999699295089
ACH-000272,-1.17296031335
ACH-000273,-0.870455560218
ACH-000274,-1.05350918722
ACH-000277,-1.2381888134799999
ACH-000278,-1.0624581102700001
ACH-000279,-0.602622680434
ACH-000280,-1.09568552403
ACH-000281,-0.551238734628
ACH-000288,-0.640231253225
ACH-000291,-0.8846160025390001
ACH-000293,-0.624649825387
ACH-000294,-0.856198396458
ACH-000295,-1.21856565019
ACH-000296,-0.7710596313279999
ACH-000302,-1.0469815493
ACH-000304,-1.02323259594
ACH-000307,-0.575509127013
ACH-000308,-0.9503848680149999
ACH-000310,-0.658716699745
ACH-000311,-0.895259633138
ACH-000312,-0.9544935072130001
ACH-000315,-0.9103659703560001
ACH-000316,-1.0418143308
ACH-000317,-1.25561362812
ACH-000318,-1.2737270654100001
ACH-000319,-0.834547366178
ACH-000320,-0.917793024578
ACH-000322,-1.19067511373
ACH-000323,-0.76477183106
ACH-000324,-1.1248394994700002
ACH-000329,-0.673445189518
ACH-000330,-1.08380731945
ACH-000331,-1.13720543113
ACH-000332,-0.9750105444580001
ACH-000334,-0.473338116271
ACH-000335,-0.879820273512
ACH-000336,-1.0306687168700002
ACH-000337,-0.818873256255
ACH-000339,-0.879853130202
ACH-000341,-0.825696412166
ACH-000348,-1.19512225235
ACH-000350,-1.0950920643700002
ACH-000352,-0.9550096879090001
ACH-000356,-0.772641268944
