,SAMD4B (55095)
ACH-000004,-0.063834582775
ACH-000007,-1.00578933383
ACH-000009,-0.553465936075
ACH-000011,-0.627962351309
ACH-000012,-0.291998422874
ACH-000013,-0.913042810959
ACH-000014,-0.154926242586
ACH-000015,-0.562458418626
ACH-000017,-1.0
ACH-000018,-0.54222181447
ACH-000019,-0.507889677296
ACH-000021,-0.191996746572
ACH-000022,-0.912307329867
ACH-000025,-0.18908884033
ACH-000028,-0.280044858051
ACH-000030,-0.666967897595
ACH-000035,-0.7137280901199999
ACH-000036,-0.74899227405
ACH-000037,-0.0519653284808
ACH-000039,-0.17589681437600002
ACH-000040,-0.327753540779
ACH-000041,-0.451490055796
ACH-000042,-0.3511751168
ACH-000045,-0.490034664897
ACH-000047,-0.5009718065550001
ACH-000052,-0.558722968704
ACH-000053,-0.223060837492
ACH-000054,-0.413242762509
ACH-000055,-0.283752529186
ACH-000060,-0.40193574871
ACH-000067,-0.12268193796700001
ACH-000070,-0.335399339224
ACH-000075,-0.08822267725220001
ACH-000078,-0.250206682238
ACH-000082,-0.12411347787100001
ACH-000085,-0.200472096971
ACH-000086,-0.265023112836
ACH-000087,-0.514918962285
ACH-000092,-0.353803783555
ACH-000095,-0.441049251945
ACH-000097,-1.1091388933700002
ACH-000098,-0.7591307286329999
ACH-000099,-0.309313825205
ACH-000108,-0.0581095696389
ACH-000113,-0.418936078619
ACH-000115,-0.464905565301
ACH-000116,-0.554559180555
ACH-000118,-0.142911374473
ACH-000120,-0.303029974794
ACH-000123,-0.05662380031909999
ACH-000127,-0.54042385433
ACH-000128,-0.447493453975
ACH-000132,-0.244943121512
ACH-000133,-0.397769214481
ACH-000137,-0.78147700419
ACH-000138,-0.289726187093
ACH-000142,-0.5883663913620001
ACH-000143,-0.65931572353
ACH-000146,-0.817116747687
ACH-000148,-0.267619026414
ACH-000150,-0.285467151882
ACH-000152,-0.492449672795
ACH-000153,-0.351167016306
ACH-000159,-0.338493750473
ACH-000160,-0.47460039283999994
ACH-000163,-0.374784661419
ACH-000167,-0.505316422473
ACH-000168,-0.6566124155349999
ACH-000169,-0.305955568281
ACH-000178,-0.545252255299
ACH-000182,-0.218439213563
ACH-000183,-0.344497793072
ACH-000188,-0.242909194754
ACH-000189,-0.6663148956
ACH-000190,-0.253371704148
ACH-000198,-0.407490355386
ACH-000204,-0.25941901271400003
ACH-000206,-0.0654577025932
ACH-000207,-0.33027474627500003
ACH-000211,-0.194559613548
ACH-000215,-0.35521310974
ACH-000221,-0.265576328651
ACH-000222,-1.1599423247799998
ACH-000223,-0.447488573861
ACH-000226,-0.162789032017
ACH-000227,-0.16936154073100002
ACH-000228,0.0718006038742
ACH-000231,-0.211282158002
ACH-000232,-0.45084480502499996
ACH-000233,-0.044967851899300006
ACH-000234,-0.456099041538
ACH-000235,-0.278942028543
ACH-000237,-0.361292978825
ACH-000238,-0.233994006274
ACH-000243,-0.369363178554
ACH-000244,-0.587550509067
ACH-000246,-0.472285011422
ACH-000248,-0.5026245120880001
ACH-000250,-0.39019675485399996
ACH-000251,-0.48387329017499997
ACH-000253,-0.8481835060100001
ACH-000255,-0.0573353302969
ACH-000256,-0.272287331516
ACH-000257,-0.188729759298
ACH-000258,-1.42197827995
ACH-000259,-0.244143447802
ACH-000260,-0.39245182696500003
ACH-000261,-0.378213251683
ACH-000262,-0.8447233653740001
ACH-000263,-0.774706699539
ACH-000264,-0.18723359602000003
ACH-000265,-0.215359865867
ACH-000266,-0.34271092431100003
ACH-000272,-0.352515874264
ACH-000273,-0.7355023141439999
ACH-000274,-0.430811420221
ACH-000277,-0.769071807178
ACH-000278,-0.215362778454
ACH-000279,-0.425986283498
ACH-000280,-0.614514025365
ACH-000281,-0.46115607378999995
ACH-000288,-0.373883807217
ACH-000291,-0.810801779065
ACH-000293,-0.17200957110100001
ACH-000294,-0.7895644973520001
ACH-000295,0.0328125214968
ACH-000296,-0.250443688563
ACH-000302,-0.5747424241260001
ACH-000304,-0.130097411554
ACH-000307,-0.217347792086
ACH-000308,-0.461003647953
ACH-000310,0.028075340161399998
ACH-000311,-0.37334402330099997
ACH-000312,-0.0258254126105
ACH-000315,-0.327729109905
ACH-000316,-0.709726027772
ACH-000317,-0.212683710005
ACH-000318,-0.834472684007
ACH-000319,-0.08818975638639999
ACH-000320,-0.0785642797
ACH-000322,-0.0562265898099
ACH-000323,-0.269581646244
ACH-000324,-0.36993228938199996
ACH-000329,-0.24872769860999996
ACH-000330,-0.7327577794779999
ACH-000331,-0.328111460688
ACH-000332,-0.654385835367
