,NEK4 (6787)
ACH-000004,-0.21912315721900003
ACH-000007,-0.0327454257944
ACH-000009,-0.333029156466
ACH-000011,-0.00719425078533
ACH-000012,-0.16502612707999997
ACH-000013,-0.14036977851399998
ACH-000014,-0.21293935065699998
ACH-000015,-0.201447358143
ACH-000017,-0.395529156824
ACH-000018,-0.066659227153
ACH-000019,-0.538310962074
ACH-000021,-0.19404361454
ACH-000022,-0.103036210353
ACH-000025,-0.44338132618
ACH-000028,-0.339951112519
ACH-000030,-0.160625464284
ACH-000035,-0.0201570778922
ACH-000036,-0.170621200331
ACH-000037,-0.0207244446382
ACH-000039,-0.346267212157
ACH-000040,-0.17622538875399998
ACH-000041,-0.21092961803100002
ACH-000042,-0.29518309784
ACH-000045,-0.051913089353
ACH-000047,-0.16426494789100002
ACH-000052,0.204346764317
ACH-000053,-0.128980802669
ACH-000054,-0.220471291382
ACH-000055,-0.107958125018
ACH-000060,-0.103062786618
ACH-000067,-0.239926780899
ACH-000070,-0.32999099644499996
ACH-000075,-0.366711397403
ACH-000078,-0.160424835163
ACH-000082,-0.0010107924365000001
ACH-000085,-0.0207935995083
ACH-000086,-0.0386310061632
ACH-000087,-0.184069795442
ACH-000092,-0.175170415535
ACH-000095,-0.299128318638
ACH-000097,-0.230610768412
ACH-000098,-0.20597907753199998
ACH-000099,-0.158170176699
ACH-000108,-0.24525357804099998
ACH-000113,-0.041420443927
ACH-000115,-0.24808915457800002
ACH-000116,-0.233366425464
ACH-000118,-0.27002195386100003
ACH-000120,-0.350204829398
ACH-000123,-0.227468881516
ACH-000127,-0.21869710825199998
ACH-000128,-0.098331435309
ACH-000132,-0.143942627054
ACH-000133,-0.040338540859500005
ACH-000137,-0.157206952373
ACH-000138,-0.125072805089
ACH-000142,-0.189592146171
ACH-000143,-0.411405796709
ACH-000146,-0.135241780259
ACH-000148,-0.121664044389
ACH-000150,-0.425870702704
ACH-000152,-0.109100114276
ACH-000153,-0.0675899442869
ACH-000159,-0.13533641726
ACH-000160,-0.216162274945
ACH-000163,-0.33038918478100004
ACH-000167,-0.187084439645
ACH-000168,-0.11135583933700001
ACH-000169,-0.0701683306752
ACH-000178,-0.10531980317399998
ACH-000182,-0.17592268059900001
ACH-000183,-0.0316505082934
ACH-000188,-0.37253404143200003
ACH-000189,-0.219252546956
ACH-000190,-0.310197875097
ACH-000198,0.0318502122211
ACH-000204,0.161307116401
ACH-000206,-0.112516177468
ACH-000207,-0.326522335792
ACH-000211,-0.221250893907
ACH-000215,-0.10388406475199999
ACH-000221,-0.184441374751
ACH-000222,0.039085303842099996
ACH-000223,-0.130879417743
ACH-000226,-0.0708190901684
ACH-000227,-0.588014421638
ACH-000228,-0.289889843501
ACH-000231,-0.214600729875
ACH-000232,-0.21007906449900002
ACH-000233,-0.09651480473589999
ACH-000234,-0.24593489899300003
ACH-000235,-0.210286030496
ACH-000237,-0.20203779950999998
ACH-000238,-0.128281719204
ACH-000243,-0.210550467502
ACH-000244,-0.21725217923700002
ACH-000246,-0.212750502632
ACH-000248,0.0185187799317
ACH-000250,-0.12979068977
ACH-000251,-0.141678810241
ACH-000253,-0.0950079456247
ACH-000255,-0.23468860020100002
ACH-000256,-0.11978395398399999
ACH-000257,-0.394715152103
ACH-000258,-0.102311186438
ACH-000259,-0.09179468183319998
ACH-000260,-0.207696937902
ACH-000261,-0.140286180931
ACH-000262,-0.11477947686
ACH-000263,-0.7384453769179999
ACH-000264,-0.40167650870399996
ACH-000265,-0.282852026173
ACH-000266,-0.274491831887
