,ING4 (51147)
ACH-000004,0.31122582978700003
ACH-000007,0.45931398128600004
ACH-000009,0.249905524606
ACH-000011,0.38095506416599995
ACH-000012,0.176652249348
ACH-000013,0.271403947125
ACH-000014,0.426044731514
ACH-000015,0.192941773226
ACH-000017,0.16860136042999999
ACH-000018,0.273854459054
ACH-000019,0.23420523828
ACH-000021,0.218566529675
ACH-000022,0.17202183601399998
ACH-000025,0.22453031562800002
ACH-000028,0.370081170294
ACH-000030,0.184490283315
ACH-000035,0.19276879215700002
ACH-000036,0.133252499075
ACH-000037,0.227635827324
ACH-000039,0.160960903058
ACH-000040,0.229239068208
ACH-000041,0.17237433099100002
ACH-000042,0.164620091745
ACH-000045,0.136847118542
ACH-000047,0.259741288827
ACH-000052,0.17134968585000002
ACH-000053,0.251165234063
ACH-000054,0.184530498074
ACH-000055,0.234034308831
ACH-000060,0.163825162234
ACH-000067,0.226973804804
ACH-000070,0.0982171377464
ACH-000075,0.319654654093
ACH-000078,0.222848956243
ACH-000082,0.145981158877
ACH-000085,0.19961321974
ACH-000086,0.190091723707
ACH-000087,0.352542846579
ACH-000092,0.24362933874200002
ACH-000095,0.19960780217399998
ACH-000097,0.144027994554
ACH-000098,0.23635197324499999
ACH-000099,0.310498866781
ACH-000108,0.203121340544
ACH-000113,0.182098872509
ACH-000115,0.126744782027
ACH-000116,0.194267831443
ACH-000118,0.209747761281
ACH-000120,0.199816231468
ACH-000123,0.220926277097
ACH-000127,0.28225079228100003
ACH-000128,0.042115145149
ACH-000132,0.19372335050500003
ACH-000133,0.243551846307
ACH-000137,0.0919659819547
ACH-000138,0.218646459221
ACH-000142,0.257156097902
ACH-000143,0.312674713541
ACH-000146,0.163365401459
ACH-000148,0.351726234517
ACH-000150,0.00531713911746
ACH-000152,0.183509592912
ACH-000153,0.027206089554099998
ACH-000159,0.10423665090399999
ACH-000160,0.326007326707
ACH-000163,0.147227749827
ACH-000167,0.146359842795
ACH-000168,0.133604830572
ACH-000169,0.17159465106
ACH-000178,0.140995006387
ACH-000182,0.258972043062
ACH-000183,0.206732613777
