,GLS (2744)
ACH-000004,-0.177932954762
ACH-000007,-0.289763940193
ACH-000009,-0.0776724185567
ACH-000011,-0.554388350868
ACH-000012,0.24702250459300001
ACH-000013,-0.0406251234005
ACH-000014,-0.08913424817309999
ACH-000015,0.0933962084292
ACH-000017,-0.318713467533
ACH-000018,-0.41588541412
ACH-000019,-0.242724930641
ACH-000021,-0.0416175948889
ACH-000022,0.00899196140321
ACH-000025,-0.186790268931
ACH-000028,0.008173011361350001
ACH-000030,-0.0459429339999
ACH-000035,-0.107458325556
ACH-000036,-0.345007413312
ACH-000037,-0.35297091299500005
ACH-000039,0.08743866653589999
ACH-000040,0.00201992313146
ACH-000041,-0.0648205308952
ACH-000042,-0.0126225105558
ACH-000045,-0.29338555259599997
ACH-000047,0.0438605732337
ACH-000052,0.150132665213
ACH-000053,-0.377160177424
ACH-000054,-0.132641956732
ACH-000055,-0.0639171834559
ACH-000060,-0.0791343840611
ACH-000067,-0.28695542496
ACH-000070,0.0300295793313
ACH-000075,-0.250767605758
ACH-000078,-0.0570330160283
ACH-000082,-0.069700956457
ACH-000085,0.033106445159800005
ACH-000086,-0.0761893548822
ACH-000087,-0.11403635177200001
ACH-000092,-0.242336115269
ACH-000095,0.041179023089999996
ACH-000097,-0.07547240514839999
ACH-000098,-0.134782971728
ACH-000099,-0.10433556503699999
ACH-000108,-0.165666305239
ACH-000113,-0.7216854687340001
ACH-000115,-0.159855624951
ACH-000116,-0.0951984549969
ACH-000118,0.00917162210878
ACH-000120,-0.117583279755
ACH-000123,0.008771724658469999
ACH-000127,-0.310740415059
ACH-000128,-0.0997711641366
ACH-000132,-0.325539936708
ACH-000133,-0.26426294758200003
ACH-000137,-0.0332235067523
ACH-000138,-0.055593427207500004
ACH-000142,0.0492344659339
ACH-000143,-0.168072079494
ACH-000146,-0.45691830180299997
ACH-000148,-0.12188877807199999
ACH-000150,-0.06045822985669999
ACH-000152,-0.154489729354
ACH-000153,-0.255010551132
ACH-000159,-0.27632273552
ACH-000160,0.233367915407
ACH-000163,-0.0654297600109
ACH-000167,0.26769707004099996
ACH-000168,-0.16613507568900002
ACH-000169,0.033652488613400006
ACH-000178,-0.237210355321
ACH-000182,0.0830323113887
ACH-000183,-0.136364678188
ACH-000188,-0.031491570164200004
ACH-000189,0.0277272605033
ACH-000190,0.0789050623136
ACH-000198,-0.729723001046
ACH-000204,-0.47844907126599995
ACH-000206,-0.089376221558
ACH-000207,-0.26472908198600004
ACH-000211,-0.022037948139900003
ACH-000215,0.013180385054699999
ACH-000221,-0.353280350742
ACH-000222,-0.200346190519
ACH-000223,-0.0782399803333
ACH-000226,-0.763292621424
ACH-000227,-0.105352183378
ACH-000228,0.0339185353712
ACH-000231,-0.115518581416
ACH-000232,0.0768764269768
ACH-000233,-0.58593799795
ACH-000234,-0.18168550051399998
ACH-000235,-0.877253369967
ACH-000237,-0.0172194378102
ACH-000238,-0.0649897227088
ACH-000243,-0.08823031171080001
ACH-000244,0.0996648822104
ACH-000246,-0.133394222746
ACH-000248,-0.45325291318800004
ACH-000250,-0.46916901154299995
ACH-000251,-0.49222966795900003
ACH-000253,-0.107687883297
ACH-000255,-0.43007800093500004
ACH-000256,0.0532795753495
ACH-000257,-0.026775920747599997
ACH-000258,-0.272985727764
ACH-000259,0.0981173979029
ACH-000260,-0.11149571170700001
ACH-000261,-0.038915447379900006
ACH-000262,0.39943474823299996
ACH-000263,-0.10775834093
ACH-000264,0.155772865387
ACH-000265,-0.109279103974
ACH-000266,-0.0399826890233
ACH-000272,-0.212444142567
ACH-000273,-0.21384298156599998
ACH-000274,-0.25463156797200004
ACH-000277,-0.45083035414300004
ACH-000278,-0.316085614214
ACH-000279,-0.148150498245
ACH-000280,-0.0326332594371
ACH-000281,-0.20013240121
