,TCTE3 (6991)
ACH-000004,0.105678261633
ACH-000007,-0.027745135764999998
ACH-000009,0.11592688079199999
ACH-000011,-0.05288449586900001
ACH-000012,-0.0380461526617
ACH-000013,0.052598304100800006
ACH-000014,-0.158907211653
ACH-000015,0.14567330755400001
ACH-000017,0.0226088329078
ACH-000018,0.211974006903
ACH-000019,-0.0655017309254
ACH-000021,-0.110371951861
ACH-000022,-0.112682185051
ACH-000025,0.08839640178089998
ACH-000028,0.107551890221
ACH-000030,0.0941176383127
ACH-000035,0.047888927452400004
ACH-000036,-0.0282904893707
ACH-000037,-0.19179386155499997
ACH-000039,-0.154975910085
ACH-000040,-0.172031014552
ACH-000041,-0.056199069906599994
ACH-000042,-0.179959336575
ACH-000045,-0.277779899155
ACH-000047,-0.054573881309000004
ACH-000052,0.299408490049
ACH-000053,0.00213797899513
ACH-000054,-0.114538069845
ACH-000055,0.174655921327
ACH-000060,-0.0368124968419
ACH-000067,0.100563472632
ACH-000070,-0.0899979957502
ACH-000075,0.051860884781599996
ACH-000078,-0.124210694938
ACH-000082,-0.0773257058791
ACH-000085,0.120071477121
ACH-000086,-0.065386884622
ACH-000087,-0.0848140610716
ACH-000092,-0.0698072013658
ACH-000095,-0.0289687730132
ACH-000097,0.123787342158
ACH-000098,0.04110187002869999
ACH-000099,-0.16808448884799998
ACH-000108,-7.91756670321e-05
ACH-000113,-0.0350185580401
ACH-000115,-0.131657592442
ACH-000116,0.113665584306
ACH-000118,-0.054657774374799996
ACH-000120,-0.22488548641399997
ACH-000123,0.07420457538269999
ACH-000127,0.0550890895206
ACH-000128,0.18980261494399997
ACH-000132,-0.0720354740484
ACH-000133,0.053211041945599995
ACH-000137,-0.165009834357
ACH-000138,-0.0718918905319
ACH-000142,0.0867616432941
ACH-000143,-0.026709894382500002
ACH-000146,-0.0715942470339
ACH-000148,-0.122561367719
ACH-000150,-0.180582432777
ACH-000152,-0.103862129318
ACH-000153,0.262707957484
ACH-000159,-0.0630856103977
ACH-000160,-0.0854614612466
ACH-000163,-0.048588581636100005
ACH-000167,-0.006909954201589999
ACH-000168,-0.030100052898
ACH-000169,-0.059605852638300004
ACH-000178,-0.158509074921
ACH-000182,-0.08602737284810001
ACH-000183,-0.026418286886400005
ACH-000188,-0.157293213856
ACH-000189,0.27906492706999997
ACH-000190,-0.050856560220499995
ACH-000198,-0.0827459737912
ACH-000204,-0.0896868749448
ACH-000206,-0.154719772314
ACH-000207,-0.308487301652
ACH-000211,-0.0265798781967
ACH-000215,-0.0747905679888
ACH-000221,-0.020332775499799997
ACH-000222,-0.0148003267756
ACH-000223,-0.04179586142419999
ACH-000226,0.0794707451074
ACH-000227,-0.251039835705
ACH-000228,-0.0332751572993
ACH-000231,-0.029472099392400003
ACH-000232,-0.016713763785299998
ACH-000233,0.04346750446809999
ACH-000234,-0.0846039324696
ACH-000235,-0.115103234753
ACH-000237,0.148874353581
ACH-000238,0.134146498405
ACH-000243,0.0235885308288
ACH-000244,0.0686090798157
ACH-000246,-0.17216003380199998
ACH-000248,0.203095234098
ACH-000250,-0.094377603149
ACH-000251,0.0612046989331
ACH-000253,-0.109627919261
ACH-000255,0.007320690734200001
ACH-000256,-0.0485929441632
ACH-000257,0.468549633024
ACH-000258,0.100156048043
ACH-000259,-0.08878450029370001
ACH-000260,-0.00369605608741
ACH-000261,-0.0761032008167
ACH-000262,0.302748764336
ACH-000263,-0.0989875992757
ACH-000264,-0.158017248511
ACH-000265,0.08296708766939999
ACH-000266,-0.0726847745663
ACH-000272,-0.12947943759000002
ACH-000273,-0.06859975069180001
ACH-000274,-0.0889896411804
ACH-000277,0.06538056861359999
ACH-000278,0.0255027144748
ACH-000279,-0.09825953354669999
ACH-000280,-0.00213230629571
ACH-000281,0.0777536517117
ACH-000288,-0.20478633743500002
ACH-000291,0.0687426156915
ACH-000293,-0.083134674158
ACH-000294,-0.16097052845100002
ACH-000295,-0.0590243374229
