,ACADS (35)
ACH-000004,-0.17430089261300002
ACH-000007,0.013054881916200002
ACH-000009,-0.21770765995400002
ACH-000011,-0.317726127179
ACH-000012,-0.225682635158
ACH-000013,-0.162673530403
ACH-000014,-0.142496108587
ACH-000015,-0.25613382003
ACH-000017,-0.106076105361
ACH-000018,-0.199213229278
ACH-000019,-0.0665327616398
ACH-000021,-0.401372745528
ACH-000022,-0.278355928155
ACH-000025,-0.153972923311
ACH-000028,0.109741405396
ACH-000030,-0.121776928434
ACH-000035,-0.11667309107000001
ACH-000036,-0.0107278023403
ACH-000037,-0.340053731923
ACH-000039,-0.16996823069699998
ACH-000040,-0.0140742495538
ACH-000041,-0.22434212866099998
ACH-000042,-0.259019152969
ACH-000045,-0.0542954267999
ACH-000047,-0.22522060679000003
ACH-000052,0.117435930735
ACH-000053,-0.158975985797
ACH-000054,-0.186470244151
ACH-000055,-0.128992230848
ACH-000060,-0.100528829833
ACH-000067,-0.133037786551
ACH-000070,-0.24674283524500001
ACH-000075,-0.025268813649400004
ACH-000078,-0.379700786844
ACH-000082,-0.0646774786592
ACH-000085,-0.105901193415
ACH-000086,-0.270749846719
ACH-000087,-0.34405479475999995
ACH-000092,-0.07683311220439999
ACH-000095,-0.15145787127399998
ACH-000097,-0.042483477993
ACH-000098,-0.145788098594
ACH-000099,-0.19010639395799997
ACH-000108,-0.231343288907
ACH-000113,-0.136971656635
ACH-000115,-0.106631973255
ACH-000116,-0.223498887325
ACH-000118,-0.38862233232
ACH-000120,-0.21351360391399998
ACH-000123,-0.12137194853199999
ACH-000127,-0.157625357403
ACH-000128,-0.08509950207999999
ACH-000132,-0.032576995378799996
ACH-000133,-0.03919586650930001
ACH-000137,-0.147747789304
ACH-000138,-0.2106203524
ACH-000142,-0.253806078755
ACH-000143,-0.10861870653200001
ACH-000146,-0.19744234395
ACH-000148,-0.142392822102
ACH-000150,-0.266619322846
ACH-000152,-0.110626514558
ACH-000153,0.0363210044469
ACH-000159,-0.159503499497
ACH-000160,-0.12313532636399999
ACH-000163,-0.22176743853599998
ACH-000167,0.0535875860669
ACH-000168,-0.264927550344
ACH-000169,-0.0285541720787
ACH-000178,0.0976651361092
ACH-000182,-0.175305472254
ACH-000183,-0.288558972987
ACH-000188,-0.122555006668
ACH-000189,0.0780745736885
ACH-000190,-0.178419542703
ACH-000198,-0.153313157186
ACH-000204,-0.400786081284
ACH-000206,-0.22683223410599998
ACH-000207,0.0024078270833899997
ACH-000211,-0.132613246114
ACH-000215,-0.139333059494
ACH-000221,-0.05948925631580001
ACH-000222,-0.439106057478
ACH-000223,-0.155239048686
ACH-000226,-0.24558094707699998
ACH-000227,-0.19568334647
ACH-000228,-0.0494207963578
ACH-000231,-0.133126931557
ACH-000232,-0.281126717033
ACH-000233,-0.117476632477
ACH-000234,-0.136164385802
ACH-000235,-0.182487071735
ACH-000237,-0.256203718673
ACH-000238,-0.0560850892122
ACH-000243,-0.139862293326
ACH-000244,-0.053404115858699995
ACH-000246,-0.01823872158
ACH-000248,-0.255261753129
ACH-000250,-0.18458170231600002
ACH-000251,-0.42069433088299996
ACH-000253,-0.0796978605512
ACH-000255,-0.0723089545993
ACH-000256,-0.23593319050099998
ACH-000257,-0.0953590524553
ACH-000258,-0.404960962794
ACH-000259,-0.298497349705
ACH-000260,-0.0948712712521
ACH-000261,-0.09190657192610001
ACH-000262,-0.020590674260599996
ACH-000263,-0.117052175853
ACH-000264,-0.19054130359000002
ACH-000265,-0.28341679483000004
ACH-000266,-0.268642429929
ACH-000272,-0.0841091319152
ACH-000273,-0.14058415343900002
ACH-000274,-0.110332623019
ACH-000277,-0.316357153457
ACH-000278,-0.319175003855
ACH-000279,-0.28438000756
ACH-000280,-0.217119502392
ACH-000281,-0.445109772195
ACH-000288,-0.18407491434099998
ACH-000291,-0.105910439003
ACH-000293,-0.0494293443365
ACH-000294,-0.24954826417
ACH-000295,-0.13543960685999998
ACH-000296,-0.30623281173
ACH-000302,-0.19291517414
ACH-000304,-0.468674534882
ACH-000307,-0.181700147921
ACH-000308,-0.106874000268
ACH-000310,-0.19117849423500002
ACH-000311,-0.0340848215591
ACH-000312,-0.21083004488600002
ACH-000315,-0.419711020188
ACH-000316,-0.310513665326
ACH-000317,-0.0162830259667
ACH-000318,-0.35509051056100005
ACH-000319,-0.19317263458
ACH-000320,-0.185582711962
ACH-000322,-0.24095995444200002
ACH-000323,-0.23552971278999998
ACH-000324,-0.185526304062
ACH-000329,-0.22553242376
ACH-000330,-0.175292869064
ACH-000331,-0.305267189737
ACH-000332,-0.267104013662
ACH-000334,-0.44661394076800004
ACH-000335,-0.348146548188
ACH-000336,0.305706806735
ACH-000337,-0.31350542122499997
ACH-000339,-0.146814807691
ACH-000341,0.0364275763691
ACH-000348,-0.22725192431400001
ACH-000350,-0.37628439614
ACH-000352,-0.220467851506
ACH-000356,-0.216287578807
ACH-000361,-0.13358034966
ACH-000362,-0.11497283147399999
ACH-000363,-0.304041879051
ACH-000364,-0.0872977993555
ACH-000365,-0.213648315831
ACH-000366,-0.12805820932
ACH-000368,-0.054177839988099996
ACH-000374,-0.139241081995
ACH-000375,-0.022102029473599995
ACH-000376,-0.12684259827299998
ACH-000381,-0.19651993334399998
ACH-000383,-0.268403235377
ACH-000387,-0.24437648177299998
ACH-000389,-0.0899818936582
ACH-000390,-0.063164176303
ACH-000393,-0.134809847516
ACH-000395,-0.350598705016
ACH-000397,-0.127506560225
ACH-000401,-0.133063137567
ACH-000402,-0.51119723445
ACH-000403,-0.122708829155
ACH-000404,0.120502034224
ACH-000406,-0.21581762791200002
ACH-000407,-0.13390830742100002
ACH-000408,-0.156314514579
ACH-000410,-0.18248618825100002
ACH-000411,-0.169374963643
ACH-000414,-0.24987102206300002
ACH-000415,-0.10934209977
ACH-000416,-0.13293097384400002
ACH-000420,-0.31006112198
ACH-000421,-0.223319733018
ACH-000424,-0.366768704721
ACH-000425,-0.265514745951
ACH-000426,0.0825674301381
ACH-000427,0.04310120879340001
ACH-000433,-0.235706515491
ACH-000436,0.0007248858927530001
ACH-000444,-0.37110189361400003
ACH-000445,-0.461428168067
ACH-000448,-0.218673487975
ACH-000450,-0.0317752015516
ACH-000452,-0.187930783508
ACH-000454,-0.278677538457
ACH-000458,-0.14162472138
ACH-000459,-0.30131757011
ACH-000460,-0.10623247841
ACH-000461,-0.08634769191880001
ACH-000463,-0.155737165437
ACH-000464,-0.236115159521
ACH-000466,-0.0806410792767
ACH-000467,-0.328617553494
ACH-000468,-0.43540749159500003
ACH-000469,-0.068438373277
ACH-000470,-0.321543148652
ACH-000471,-0.146208700341
ACH-000472,-0.147861515233
ACH-000473,-0.228836083445
ACH-000475,-0.260620616435
ACH-000476,-0.07590503317269999
ACH-000477,0.17687932374200002
ACH-000480,-0.21230363227600002
ACH-000481,-0.208889669535
ACH-000483,-0.322008366272
ACH-000484,0.000876788536533
ACH-000485,-0.278687500572
ACH-000486,-0.14052556247700002
ACH-000487,-0.366085044196
ACH-000488,-0.268135092064
ACH-000490,-0.166084339101
ACH-000491,-0.10759379236700001
ACH-000495,-0.0396327101153
ACH-000496,-0.35589005219000003
ACH-000499,-0.520261061837
ACH-000500,0.0775210709163
ACH-000502,-0.186080754399
ACH-000503,-0.284799511211
ACH-000505,-0.290026600029
ACH-000507,-0.11729129066600001
ACH-000510,-0.141896536277
ACH-000511,-0.329533785121
ACH-000512,-0.21359095579
ACH-000516,-0.0172201815923
ACH-000517,-0.180016107281
ACH-000518,-0.211017032812
ACH-000520,-0.303418103363
ACH-000521,-0.101872548573
ACH-000522,-0.102343423083
ACH-000524,-0.139298226276
ACH-000527,-0.183337604335
ACH-000528,-0.22848239965999997
ACH-000537,-0.107563364056
ACH-000541,-0.358477227147
ACH-000542,-0.186423775878
ACH-000544,-0.08524004819810001
ACH-000545,0.0678863376631
ACH-000547,-0.23413143289299998
ACH-000548,-0.103810473806
ACH-000549,-0.20846766575999998
ACH-000550,-0.263815831934
ACH-000552,-0.10136490949799999
ACH-000556,-0.17151990953899998
ACH-000557,-0.0424725086486
ACH-000570,-0.373456716523
ACH-000571,-0.176235067287
ACH-000573,-0.156225969849
ACH-000576,-0.238611691609
ACH-000580,0.212056174564
ACH-000584,-0.19656981708000001
ACH-000585,-0.188610049523
ACH-000588,0.07836627771980001
ACH-000589,-0.25076784718600004
ACH-000591,-0.50680882115
ACH-000593,-0.133267821136
ACH-000600,-0.0662117338917
ACH-000601,-0.163248758574
ACH-000604,0.0222670091218
ACH-000605,-0.103565867677
ACH-000606,-0.19833470264800002
ACH-000608,-0.10710735034499999
ACH-000614,-0.0571322687749
ACH-000616,-0.12132549801100001
ACH-000618,-0.18910191675700003
ACH-000619,-0.0717583329113
ACH-000620,-0.189719672054
ACH-000621,-0.270515944911
ACH-000622,-0.12098515815300001
ACH-000623,-0.08891250138399999
ACH-000624,-0.140632984546
ACH-000627,-0.21871495366399998
ACH-000630,-0.148277199472
ACH-000632,-0.120841415867
ACH-000633,-0.144727612424
ACH-000637,-0.0910985896125
ACH-000638,-0.18392839772599998
ACH-000646,-0.09016654587799999
ACH-000647,-0.09705089500469999
ACH-000648,-0.12185398718599999
ACH-000649,-0.09089287098099999
ACH-000651,-0.26807578961
ACH-000652,-0.24512100844700002
ACH-000653,-0.07113138694789999
ACH-000657,-0.142350739947
ACH-000658,0.09362667258639999
ACH-000661,-0.09039635944760001
ACH-000662,-0.440951188555
ACH-000663,-0.212776144677
ACH-000665,-0.14501591748099998
ACH-000671,0.0421801109968
ACH-000673,-0.0147920347761
ACH-000676,-0.193117692442
ACH-000677,-0.13375865872099998
ACH-000681,-0.347720683307
ACH-000682,-0.234379622464
ACH-000683,-0.198463896809
ACH-000684,0.304931861214
ACH-000688,0.0920798354295
ACH-000693,-0.198528222357
ACH-000694,-0.170790718213
ACH-000695,0.0712891764817
ACH-000696,-0.08848852800450001
ACH-000697,-0.200327745259
ACH-000699,-0.110277671338
ACH-000701,-0.160028735611
ACH-000706,-0.121143160851
ACH-000711,-0.124198562334
ACH-000713,-0.13376536053899998
ACH-000714,-0.20303976369899998
ACH-000718,-0.309631996778
ACH-000720,-0.141364760403
ACH-000721,-0.15812668178300002
ACH-000724,0.104628108033
ACH-000725,-0.0915299671123
ACH-000732,-0.018829850025900003
ACH-000734,0.0298658260205
ACH-000735,-0.184202084852
ACH-000736,-0.118881500109
ACH-000738,-0.08855405264149999
ACH-000746,-0.187198315572
ACH-000747,-0.278246141214
