,TP53I3 (9540)
ACH-000004,-0.513672969654
ACH-000007,-0.384357717747
ACH-000009,-0.444126165775
ACH-000011,-0.320343333772
ACH-000012,-0.23113803946400002
ACH-000013,-0.174954888803
ACH-000014,-0.20596565684999998
ACH-000015,-0.212608429425
ACH-000017,-0.559225303843
ACH-000018,-0.233301647649
ACH-000019,-0.398294538874
ACH-000021,-0.36830609647699997
ACH-000022,-0.408382659432
ACH-000025,-0.42292276975800003
ACH-000028,-0.147637354334
ACH-000030,-0.224843881532
ACH-000035,-0.32731642705200004
ACH-000036,-0.349470589724
ACH-000037,-0.6181871669169999
ACH-000039,-0.0560644101382
ACH-000040,-0.18569961449
ACH-000041,-0.22633496667800002
ACH-000042,-0.45000198986199996
ACH-000045,-0.289734928106
ACH-000047,-0.295244682952
ACH-000052,-0.23370670116599998
ACH-000053,-0.202233374315
ACH-000054,-0.23064194631499998
ACH-000055,-0.267974675323
ACH-000060,-0.475858209813
ACH-000067,-0.0934102838177
ACH-000070,-0.38635709519699996
ACH-000075,-0.34710081427
ACH-000078,-0.418494813404
ACH-000082,-0.40121450919699997
ACH-000085,-0.48118559002899997
ACH-000086,-0.318944219428
ACH-000087,-0.0846984595146
ACH-000092,-0.618308341967
ACH-000095,-0.477781582406
ACH-000097,-0.308864890319
ACH-000098,-0.397116441082
ACH-000099,-0.47620239372100004
ACH-000108,-0.42833956173500004
ACH-000113,-0.42949336433300006
ACH-000115,-0.388114016685
ACH-000116,-0.45263563541599994
ACH-000118,-0.142172840653
ACH-000120,-0.275241428731
ACH-000123,-0.262267422342
ACH-000127,-0.484210257029
ACH-000128,-0.26059839196400003
ACH-000132,-0.301411366513
ACH-000133,-0.345489282578
ACH-000137,-0.46812450366
ACH-000138,-0.358532366615
ACH-000142,-0.496711718022
ACH-000143,-0.21354046279
ACH-000146,-0.511546061733
ACH-000148,-0.18413868443599998
ACH-000150,-0.205696549087
ACH-000152,-0.464284673385
ACH-000153,-0.0934811211785
