,MOBP (4336)
ACH-000004,-0.06291094780119999
ACH-000007,0.149079493352
ACH-000009,-0.0156772993528
ACH-000011,-0.31870575643800003
ACH-000012,0.10651402574300001
ACH-000013,-0.113742659428
ACH-000014,0.157741841469
ACH-000015,-0.194339176922
ACH-000017,-0.31510848035300004
ACH-000018,0.0063352257221
ACH-000019,-0.154540097043
ACH-000021,-0.059891000093599996
ACH-000022,-0.004890909408399999
ACH-000025,-0.125614934479
ACH-000028,-0.00333269348121
ACH-000030,0.041064029340900005
ACH-000035,-0.012998063656500001
ACH-000036,-0.07369206447210001
ACH-000037,-0.0346900254011
ACH-000039,0.160476459275
ACH-000040,0.137859031766
ACH-000041,-0.266081290601
ACH-000042,-0.227286651327
ACH-000045,0.0570299196618
ACH-000047,-0.220480097332
ACH-000052,0.038965814882199995
ACH-000053,-0.0914208035736
ACH-000054,-0.0647990605892
ACH-000055,-0.24108381371399998
ACH-000060,-0.223492118629
ACH-000067,-0.163001294219
ACH-000070,-0.11750321175100001
ACH-000075,-0.135078668619
ACH-000078,-0.107086681601
ACH-000082,-0.021867755793599997
ACH-000085,-0.11969992769099999
ACH-000086,0.018616380249
ACH-000087,0.0278217652518
ACH-000092,-0.0977384293417
ACH-000095,0.0514428793631
ACH-000097,0.045054782988
ACH-000098,-0.2152740019
ACH-000099,0.0302491241789
ACH-000108,-0.06261866816060001
ACH-000113,-0.0786228089247
ACH-000115,0.04528919857469999
ACH-000116,-0.048184374470699995
ACH-000118,-0.0759408698724
ACH-000120,-0.13735382970100002
ACH-000123,-0.093476667174
ACH-000127,-0.0037656022204
ACH-000128,-0.152073613841
ACH-000132,-0.0328951826899
ACH-000133,-0.0008379059228969999
ACH-000137,0.023418644401400002
ACH-000138,-0.32387067167800004
ACH-000142,-0.17564869653
ACH-000143,-0.0627483972455
ACH-000146,-0.17145176013799998
ACH-000148,0.06677215006130001
ACH-000150,-0.151269085159
ACH-000152,0.0453076960272
ACH-000153,-0.15827627630000002
ACH-000159,0.0317611257328
ACH-000160,0.12344032137800001
ACH-000163,0.018494205895
ACH-000167,0.006175200073159999
ACH-000168,0.225914555284
ACH-000169,-0.110616354411
ACH-000178,-0.0473080597386
ACH-000182,-0.0875510910699
ACH-000183,-0.05084179148990001
ACH-000188,-0.22021631936099997
ACH-000189,0.21143105695099998
ACH-000190,0.021043720093000002
ACH-000198,-0.0127202802745
ACH-000204,-0.0936821369854
ACH-000206,-0.057069436892999995
ACH-000207,-0.117726117672
ACH-000211,-0.104926515612
ACH-000215,0.0324056069672
ACH-000221,-0.141065657136
ACH-000222,-0.328005373088
ACH-000223,-0.06439082255890001
ACH-000226,0.0467221535327
ACH-000227,-0.21648815496800003
ACH-000228,-0.127818395282
ACH-000231,-0.103863142258
ACH-000232,-0.0686138901444
ACH-000233,0.056070595041300006
ACH-000234,-0.14814780951099998
ACH-000235,-0.0624893826795
ACH-000237,-0.095312341721
ACH-000238,-0.19353514920899997
ACH-000243,-0.08918556421060002
ACH-000244,0.08862330842669999
ACH-000246,0.062573893235
ACH-000248,-0.0812870760187
ACH-000250,0.0653294534145
ACH-000251,-0.10786661112500001
ACH-000253,-0.015006048586200001
ACH-000255,0.03469094537840001
ACH-000256,0.0208515412626
ACH-000257,0.0821386303238
ACH-000258,-0.11101199796399999
ACH-000259,-0.07698166593889999
ACH-000260,-0.11196129387599998
ACH-000261,-0.025724387629700002
ACH-000262,-0.0997212886319
ACH-000263,-0.23340541411600002
ACH-000264,-0.09608952709429999
ACH-000265,-0.101750875088
ACH-000266,-0.0987197767054
ACH-000272,0.10364494802799999
ACH-000273,-0.07923891310719999
ACH-000274,-0.173338312508
ACH-000277,0.034943476646400004
ACH-000278,-0.011691996800200001
