,CEBPB (1051)
ACH-000004,-0.0702343996818
ACH-000007,-0.314576189553
ACH-000009,-0.359793574172
ACH-000011,-0.578336787363
ACH-000012,-0.101628050103
ACH-000013,-0.48209583700099995
ACH-000014,-0.576311865326
ACH-000015,0.047192383680600004
ACH-000017,-1.08258791071
ACH-000018,-0.34220117181000004
ACH-000019,-0.324151345126
ACH-000021,-0.109847275449
ACH-000022,-0.0822758943405
ACH-000025,-0.00515801962729
ACH-000028,-0.240211959305
ACH-000030,-0.296524929066
ACH-000035,-0.151327318941
ACH-000036,-0.21609603583099998
ACH-000037,-0.139588012052
ACH-000039,-0.04369905162959999
ACH-000040,-0.31515998395100003
ACH-000041,-0.26091877055199997
ACH-000042,-0.7522015579539999
ACH-000045,-0.0867927347415
ACH-000047,-0.323573619488
ACH-000052,-0.36589278553099996
ACH-000053,0.460366578927
ACH-000054,-0.242112568356
ACH-000055,-0.338151479712
ACH-000060,-0.174761089066
ACH-000067,-0.46380558885799994
ACH-000070,-0.159818223043
ACH-000075,-0.465123621947
ACH-000078,-0.0893103119097
ACH-000082,-0.33421317413199997
ACH-000085,-0.415174551879
ACH-000086,-0.133059780525
ACH-000087,-0.126308323503
ACH-000092,-0.267414971351
ACH-000095,-0.15311482045
ACH-000097,-0.65345610435
ACH-000098,0.085298264396
ACH-000099,-0.11672373266899999
ACH-000108,-0.0406846291559
ACH-000113,-0.0408639127275
ACH-000115,-0.101894187168
ACH-000116,-0.274661833343
ACH-000118,-0.232158506238
ACH-000120,-0.15219185115
ACH-000123,-0.0425131421541
ACH-000127,-0.20181367533199998
ACH-000128,-0.327244714003
ACH-000132,-0.101403485678
ACH-000133,-0.420451961667
ACH-000137,-0.287697573495
ACH-000138,-0.401062150357
ACH-000142,-0.217770995016
ACH-000143,-0.14073085076199998
ACH-000146,-0.186689637337
ACH-000148,-0.09049028427889999
ACH-000150,-0.107038077828
ACH-000152,-0.254799948281
ACH-000153,-0.30272116357900003
ACH-000159,-0.30646327235
ACH-000160,-0.196761069742
ACH-000163,-0.233638075946
ACH-000167,-0.531556984466
ACH-000168,-0.58850972515
ACH-000169,-0.0960063976723
ACH-000178,-0.38533832373800003
ACH-000182,-0.522007767593
ACH-000183,-0.179585493638
ACH-000188,0.0239358040631
ACH-000189,-0.0115239388607
ACH-000190,-0.284000363168
ACH-000198,-0.26852499876499997
ACH-000204,-0.302770839672
ACH-000206,-0.253560678357
ACH-000207,-0.482853979273
ACH-000211,-0.0380518409045
ACH-000215,-0.33710748261999995
ACH-000221,-0.121917462381
ACH-000222,-0.493018497429
ACH-000223,-0.276118005015
ACH-000226,-0.21237343278700002
ACH-000227,-0.11951666251700001
ACH-000228,-0.0500888804769
ACH-000231,-0.33804350846000003
ACH-000232,-0.0470548940957
ACH-000233,-0.369149663469
ACH-000234,-0.49428208968000004
ACH-000235,-0.384007226162
ACH-000237,0.11988293558
ACH-000238,-0.38520891176600003
ACH-000243,-0.376358714961
ACH-000244,0.26128478098499996
ACH-000246,-0.19507807137299998
ACH-000248,-0.611334645946
