,SUGP2 (10147)
ACH-000004,-0.189699024204
ACH-000007,-0.299323213276
ACH-000009,-0.224418354477
ACH-000011,-0.147449173046
ACH-000012,-0.23922953605099997
ACH-000013,-0.303096651181
ACH-000014,-0.38429272554899996
ACH-000015,-0.409268323882
ACH-000017,-0.502360380579
ACH-000018,-0.40843250781199997
ACH-000019,-0.370944331577
ACH-000021,-0.599979198938
ACH-000022,-0.183549286175
ACH-000025,-0.146790041735
ACH-000028,-0.316602337829
ACH-000030,-0.400974857287
ACH-000035,-0.278536004082
ACH-000036,-0.302023429446
ACH-000037,-0.26168128223299997
ACH-000039,-0.479218545057
ACH-000040,-0.325495466531
ACH-000041,-0.213454035058
ACH-000042,-0.5737053949149999
ACH-000045,-0.39399553194
ACH-000047,-0.29131810528700003
ACH-000052,-0.010141819039299999
ACH-000053,-0.182997175061
ACH-000054,-0.290990441332
ACH-000055,-0.419750655012
ACH-000060,-0.197134902029
ACH-000067,-0.0410677030895
ACH-000070,-0.27174724753699997
ACH-000075,-0.257816891704
ACH-000078,-0.313739010581
ACH-000082,-0.222145369308
ACH-000085,-0.378377740152
ACH-000086,-0.132580855838
ACH-000087,-0.204616360669
ACH-000092,-0.350581782391
ACH-000095,-0.271757376377
ACH-000097,-0.336167204573
ACH-000098,-0.36887013455
ACH-000099,-0.33333882204
ACH-000108,-0.27571041132
ACH-000113,-0.344011909978
ACH-000115,-0.38770630913500004
ACH-000116,-0.229382603468
ACH-000118,-0.359821733345
ACH-000120,-0.364840148506
ACH-000123,-0.184989130119
ACH-000127,-0.406315345663
ACH-000128,-0.638436510778
ACH-000132,-0.32626083090999997
ACH-000133,0.0139804638252
ACH-000137,-0.41075966579499995
ACH-000138,-0.40300757920999997
ACH-000142,-0.34076723409500004
ACH-000143,-0.42535188378399996
ACH-000146,-0.323287123554
ACH-000148,-0.323084488369
ACH-000150,-0.530874446841
ACH-000152,-0.046242654609000004
ACH-000153,0.0391770076898
ACH-000159,-0.290332634024
ACH-000160,-0.230568649007
ACH-000163,-0.204320077631
ACH-000167,-0.217768518109
ACH-000168,-0.49327942869999997
ACH-000169,-0.15895095035499998
ACH-000178,-0.185185967717
ACH-000182,-0.255819769763
ACH-000183,-0.289862466455
ACH-000188,-0.163531127444
ACH-000189,-0.385591458964
ACH-000190,-0.436882583911
ACH-000198,-0.12078175765900001
ACH-000204,-0.232043448402
ACH-000206,-0.11469948641899999
ACH-000207,-0.142103948944
ACH-000211,-0.38892581975400004
ACH-000215,-0.23628195238699998
ACH-000221,-0.37218870937799997
ACH-000222,-0.007346068260680001
ACH-000223,-0.21237918753499999
ACH-000226,-0.0643514809278
ACH-000227,-0.36801666696099994
ACH-000228,-0.5224562785970001
ACH-000231,-0.252841224204
ACH-000232,-0.328905747624
ACH-000233,-0.433537167608
ACH-000234,-0.536127394993
ACH-000235,-0.320628656618
ACH-000237,-0.36185995486100003
ACH-000238,-0.09659707629629999
ACH-000243,-0.38246857049099997
ACH-000244,0.0062735579553
ACH-000246,-0.0928550151831
ACH-000248,-0.521842311395
ACH-000250,-0.270459491286
ACH-000251,-0.46058155724699995
ACH-000253,-0.23438709852899997
ACH-000255,-0.41964475213799995
ACH-000256,0.036265170306300006
ACH-000257,0.370795440247
ACH-000258,-0.292639912739
ACH-000259,-0.164715734671
ACH-000260,-0.277089674819
ACH-000261,-0.329740393219
ACH-000262,-0.15828123975199998
ACH-000263,-0.541549968334
ACH-000264,-0.146240397835
ACH-000265,-0.33513453261799997
ACH-000266,-0.296421369569
ACH-000272,-0.30833780657
ACH-000273,-0.172203954585
ACH-000274,-0.15060493932
ACH-000277,0.0403066853925
ACH-000278,-0.385794971035
ACH-000279,-0.149934743192
ACH-000280,-0.0807640782867
ACH-000281,-0.18879407727000003
ACH-000288,-0.232732377998
ACH-000291,-0.18042717706300002
ACH-000293,-0.22350169152399998
ACH-000294,-0.5781890122300001
ACH-000295,-0.19969850602000003
ACH-000296,-0.371457168373
ACH-000302,-0.36648005372299997
ACH-000304,0.0774181559876
ACH-000307,-0.24409846721200001
ACH-000308,-0.202120596999
ACH-000310,-0.5396219992369999
ACH-000311,0.0630223827255
ACH-000312,-0.19970616021499998
ACH-000315,-0.300348031875
ACH-000316,-0.121469742272
ACH-000317,-0.502140306457
ACH-000318,-0.415745109106
ACH-000319,-0.0985971032848
ACH-000320,-0.141684709529
ACH-000322,-0.215289689674
ACH-000323,-0.42333006396
ACH-000324,-0.058300148121
ACH-000329,-0.16764110908399998
ACH-000330,-0.268846285979
ACH-000331,-0.282880685962
ACH-000332,-0.284297832864
ACH-000334,-0.385833968108
ACH-000335,-0.269758354285
ACH-000336,-0.24614872449099998
ACH-000337,-0.160829765216
ACH-000339,-0.263015656109
ACH-000341,-0.344925204478
ACH-000348,-0.43766121445600004
