,CPD (1362)
ACH-000004,-0.0811419137549
ACH-000007,-0.651537117927
ACH-000009,-0.226317544397
ACH-000011,-0.124756003267
ACH-000012,-0.017336906878099998
ACH-000013,-0.17971600195
ACH-000014,-0.005055854862
ACH-000015,-0.09646877999060001
ACH-000017,-0.359614732162
ACH-000018,-0.167414125563
ACH-000019,0.0924795429234
ACH-000021,-0.23747541830200003
ACH-000022,-0.453730378825
ACH-000025,-0.214767077336
ACH-000028,-0.21461684564199998
ACH-000030,-0.274648021681
ACH-000035,-0.45165335611199997
ACH-000036,-0.837833937635
ACH-000037,0.0140742310745
ACH-000039,-0.420378593939
ACH-000040,-0.63170424155
ACH-000041,-0.69766418963
ACH-000042,-0.125624066482
ACH-000045,-0.1932421898
ACH-000047,-0.039246880955699996
ACH-000052,-0.526779947968
ACH-000053,-0.270754667625
ACH-000054,-0.0257429342483
ACH-000055,0.142147238241
ACH-000060,-0.22808373291499998
ACH-000067,-0.8259820524629999
ACH-000070,-0.31586759224
ACH-000075,-0.669662112143
ACH-000078,-0.404122810177
ACH-000082,-0.427029697276
ACH-000085,0.014177250652499999
ACH-000086,-0.25310743911999994
ACH-000087,-0.5165299367849999
ACH-000092,-0.0340314415575
ACH-000095,-0.331303722604
ACH-000097,-0.190627823679
ACH-000098,-0.823460714665
ACH-000099,-0.422414779054
ACH-000108,-0.362986882329
ACH-000113,-0.21541254266999998
ACH-000115,-0.9537845435860001
ACH-000116,-0.123803323331
ACH-000118,-0.08597618503219999
ACH-000120,-0.377354404202
ACH-000123,-0.267941236697
ACH-000127,-0.39145829097900003
ACH-000128,-0.0099024977423
ACH-000132,-0.101281512158
ACH-000133,-0.421200258215
ACH-000137,-0.08763175679960002
ACH-000138,-0.110986366294
ACH-000142,-0.423766034441
ACH-000143,-0.240814338981
ACH-000146,-0.22449719485
ACH-000148,-0.257145166816
ACH-000150,-0.0637619181277
ACH-000152,-0.083567668392
ACH-000153,-0.546731421272
ACH-000159,-0.46784206091700004
ACH-000160,-0.0945932553771
ACH-000163,-0.38000494739699997
ACH-000167,-0.06491765402319999
ACH-000168,-0.444948829297
ACH-000169,-0.23052997653
ACH-000178,-0.0684899566374
ACH-000182,-0.232890247688
ACH-000183,-0.67110639651
ACH-000188,-0.0677845456854
ACH-000189,0.155716071073
ACH-000190,-0.0887546817022
ACH-000198,-0.0990973239181
